Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.5495,404,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,netshort,drama shorts,soapbox drama,reels short,popular dramas,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ao/app/netshort-popular-dramas-tv/id6504849169?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.70676,24554,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,web latest,latest version,chatgpt,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ao/app/chatgpt/id6448311069?uo=4
3,MULTICAIXA Express,Trending,"EMIS, S.A",Finance,3.56495,3549,2019-03-22,Free,de,multicaixa,ao,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,multicaixa express,multicaixa,entregas ilimitadas,bai particular,sua msica,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ao/app/multicaixa-express/id1433675921?uo=4
4,Google - More ways to search,Trending,Google,Utilities,4.56152,5681,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,vintage camera,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ao/app/google-more-ways-to-search/id284815942?uo=4
5,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.65507,79856,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,savetiktok video,tiktok videos,tiktok studio,tiktok video,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ao/app/tiktok-videos-music-live/id835599320?uo=4
6,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.50785,9363,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,com udio,bookingcom travel,mulher com,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ao/app/capcut-photo-video-editor/id1500855883?uo=4
7,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.37517,135115,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for facebook,facebook partner,meet people,facebook,people,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ao/app/facebook/id284882215?uo=4
8,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.53189,109002,2011-07-10,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,videos music,connect the,fruit connect,connect sweet,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ao/app/instagram/id389801252?uo=4
9,Threads,Trending,"Instagram, Inc.",Social Networking,4.41782,6139,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,unicorn https,https traffic,instagram,threads,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ao/app/threads/id6446901002?uo=4
10,Google Chrome,Trending,Google,Utilities,4.60968,8629,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,google,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ao/app/google-chrome/id535886823?uo=4
11,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.37185,133278,2011-10-14,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,imointernational calls,voice calls,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ao/app/whatsapp-messenger/id310633997?uo=4
12,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.50617,1053,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,telegram,data,for whatsapp,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/ao/app/telegram-messenger/id686449807?uo=4
13,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.22972,5202,2011-07-13,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shareit transfer,file shareshare,shareshare music,transfer share,share files,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ao/app/snapchat-chat-with-friends/id447188370?uo=4
14,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.31961,60450,2011-10-19,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat chat,chat with,snapchat,chatgpt,chat,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/ao/app/messenger/id454638411?uo=4
15,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.48841,25613,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,build and,simcity buildit,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ao/app/whatsapp-business/id1386412985?uo=4
16,"Yango: taxi, food, delivery",Trending,YHub ZAF (Pty) Ltd,Travel,4.80233,66473,2018-10-04,Free,yango,ride,service,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yango lite,yango pro,lite yango,yango deli,yango taxi,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ao/app/yango-taxi-food-delivery/id1437157286?uo=4
17,Amerigo File Manager,Trending,IdeaSolutions S.r.l.,Utilities,4.39353,51752,2013-03-05,Free,files,cloud,allows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,total files,share files,icloud drive,soundcloud the,cloud musicdownload,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ao/app/amerigo-file-manager/id605569663?uo=4
18,Gmail - Email by Google,Trending,Google,Productivity,4.57874,6706,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,google,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ao/app/gmail-email-by-google/id422689480?uo=4
