Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Temu: compra como millonario,Trending,Temu,Shopping,3.77006,1583,2022-08-31,Gratis,temu,de,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu compra,temu coupons,delivery app,temu,temupilih,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ar/app/temu-compra-como-millonario/id1641486558?uo=4
2,SHEIN-Compras en línea,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.65724,3924,2014-05-20,Gratis,en,de,shein,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,delivery,sheincompras,compras online,motos taxi,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/ar/app/shein-compras-en-l%C3%ADnea/id878577184?uo=4
3,ChatGPT,Trending,OpenAI,Productivity,4.88785,142729,2023-05-25,Gratis,de,una,un,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,mario run,delivery,compras online,motos taxi,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/ar/app/chatgpt/id6448311069?uo=4
4,"Uber: Autos, motos, taxi y más",Trending,"Uber Technologies, Inc.",Travel,4.88304,541461,2010-05-21,Gratis,de,uber,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,uber autos,uber driver,uber eats,delivery,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ar/app/uber-autos-motos-taxi-y-m%C3%A1s/id368677368?uo=4
5,Mercado Libre: Compras Online,Trending,MercadoLibre,Shopping,4.81752,984645,2011-09-09,Gratis,de,en,online,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,delivery,compras online,motos taxi,mercado libre,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ar/app/mercado-libre-compras-online/id463624852?uo=4
6,Mi Argentina,Trending,Presidencia de la Nación Argentina,Productivity,1.75084,22837,2016-05-05,Gratis,de,tu,tus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,imprime tus,como tus,tus amigos,tus fotos,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ar/app/mi-argentina/id1107620792?uo=4
7,Google Maps,Trending,Google,Navigation,4.81458,249243,2012-12-13,Gratis,de,con,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,con amigos,snapchat conecta,grfico con,conecta con,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ar/app/google-maps/id585027354?uo=4
8,Threads,Trending,"Instagram, Inc.",Social Networking,4.6388,37353,2023-07-05,Gratis,de,con,instagram,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,con amigos,snapchat conecta,grfico con,conecta con,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ar/app/threads/id6446901002?uo=4
9,CapCut - Editor de videos,Trending,Bytedance Pte. Ltd,Photo & Video,4.56052,15184,2020-04-14,Gratis,de,capcut,más,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,delivery,compras online,motos taxi,mercado libre,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ar/app/capcut-editor-de-videos/id1500855883?uo=4
10,DiDi Pasajero: Auto y Moto,Trending,DiDi,Travel,4.66748,20826,2018-04-23,Gratis,de,didi,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delivery app,delivery,compras online,motos taxi,mercado libre,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ar/app/didi-pasajero-auto-y-moto/id1362398401?uo=4
