Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,jö Bonus Club,Trending,Unser Ö-Bonus Club GmbH,Shopping,4.34429,2036,2019-04-28,Gratis,du,und,jö,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/j%C3%B6-bonus-club/id1456364903?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.82372,57834,2023-05-30,Gratis,oder,ein,chatgpt,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wahrheit oder,oder pflicht,ein online,steig ein,oder,100,100,100,100,90,https://apps.apple.com/at/app/chatgpt/id6448311069?uo=4
3,ID Austria,Trending,Bundesministerium für Digitalisierung und Wirtschaftsstandort,Productivity,1.95904,293,2019-03-22,Gratis,id,austria,id austria,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fr sterreich,atrust signatur,meine gk,wetter fr,wetter,75,75,75,75,65,https://apps.apple.com/at/app/id-austria/id1454775189?uo=4
4,foodora Essen & Lebensmittel,Trending,OnlinePizza Norden AB,Food & Drink,3.79601,1505,2011-03-09,Gratis,und,foodora,du,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/foodora-essen-lebensmittel/id421369701?uo=4
5,Temu: Shoppe wie Milliardäre,Trending,Temu,Shopping,4.64032,13393,2022-08-31,Gratis,temu,und,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/temu-shoppe-wie-milliard%C3%A4re/id1641486558?uo=4
6,SPAR,Trending,SPAR Österreichische Warenhandels-AG,Shopping,4.70869,144500,2023-07-31,Gratis,sie,der,und,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fragen sie,sie etwas,epaper der,der standard,mit freunden,100,100,100,100,100,https://apps.apple.com/at/app/spar/id6448124258?uo=4
7,Splash - Party Spiele,Trending,Cranberry Apps,Entertainment,4.82362,10154,2025-04-12,Gratis,und,für,wir,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/splash-party-spiele/id6744290388?uo=4
8,Google,Trending,Google,Utilities,4.58193,31289,2019-02-12,Gratis,du,die,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,asos die,die beste,die sims,die presse,google maps,100,100,100,100,100,https://apps.apple.com/at/app/google/id284815942?uo=4
9,EasyPark parken - Park App,Trending,Easy Park AS,Travel,4.84015,25424,2011-07-25,Gratis,der,easypark,und,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,epaper der,der standard,mit freunden,und podcasts,shop und,100,100,100,100,100,https://apps.apple.com/at/app/easypark-parken-park-app/id449594317?uo=4
10,Google Maps,Trending,Google,Navigation,4.64957,98689,2012-12-13,Gratis,und,mit,du,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/google-maps/id585027354?uo=4
11,Booking.com: Hotel Angebote,Trending,Booking.com,Travel,4.81765,103028,2010-04-14,Gratis,sie,und,finden,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fragen sie,sie etwas,mit freunden,und podcasts,shop und,100,100,100,100,100,https://apps.apple.com/at/app/booking-com-hotel-angebote/id367003839?uo=4
12,Threads,Trending,"Instagram, Inc.",Social Networking,4.57056,6774,2023-12-14,Gratis,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,instagram unfollowers,reports instagram,instagram,threads,analytics reports,100,100,90,90,75,https://apps.apple.com/at/app/threads/id6446901002?uo=4
13,Duolingo – Sprachkurse,Trending,Duolingo,Education,4.67265,68706,2012-11-13,Gratis,und,duolingo,von,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/duolingo-sprachkurse/id570060128?uo=4
14,Microsoft Authenticator,Trending,Microsoft Corporation,Productivity,4.6824,7245,2015-05-30,Gratis,sie,microsoft,die,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fragen sie,sie etwas,microsoft 365,microsoft teams,microsoft excel,100,100,100,100,100,https://apps.apple.com/at/app/microsoft-authenticator/id983156458?uo=4
15,NetShort -Beliebte Dramen & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.58094,525,2024-07-13,Gratis,netshort,die,und,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,netshort beliebte,asos die,die beste,die sims,die presse,100,100,100,100,100,https://apps.apple.com/at/app/netshort-beliebte-dramen-tv/id6504849169?uo=4
16,George Österreich,Trending,Erste Bank und Sparkassen,Finance,4.8136,364631,2015-01-02,Gratis,und,george,sie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/george-%C3%B6sterreich/id947829367?uo=4
17,CapCut - Foto & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.58707,10227,2020-04-14,Gratis,capcut,und,mit,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/capcut-foto-video-editor/id1500855883?uo=4
18,Google Chrome,Trending,Google,Utilities,4.63069,18670,2012-06-28,Gratis,sie,chrome,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fragen sie,sie etwas,google chrome,chrome valley,google maps,100,100,100,100,100,https://apps.apple.com/at/app/google-chrome/id535886823?uo=4
19,BILLA,Trending,BILLA AG,Shopping,4.54685,16915,2010-06-24,Gratis,sie,und,billa,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fragen sie,sie etwas,mit freunden,und podcasts,shop und,100,100,100,100,100,https://apps.apple.com/at/app/billa/id378479081?uo=4
20,Klarna | Shop now. Pay later.,Trending,Klarna Bank AB,Shopping,4.78728,42794,2016-06-22,Gratis,du,und,klarna,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/klarna-shop-now-pay-later/id1115120118?uo=4
21,SHEIN - Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.39713,9191,2014-05-20,Gratis,shein,und,jetzt,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/shein-shopping-online/id878577184?uo=4
22,Ticketmaster - Tickets kaufen,Trending,Ticketmaster,Entertainment,4.47058,85,2025-05-05,Gratis,und,zu,tickets,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/ticketmaster-tickets-kaufen/id500003565?uo=4
23,Uber - Fahrt bestellen,Trending,"Uber Technologies, Inc.",Travel,4.84156,65906,2010-05-21,Gratis,uber,und,du,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,uber eats,mit freunden,und podcasts,shop und,und live,100,100,100,100,100,https://apps.apple.com/at/app/uber-fahrt-bestellen/id368677368?uo=4
24,Amazon,Trending,Amazon,Shopping,4.75749,84231,2010-01-13,Gratis,amazon,und,sie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,amazon fire,amazon prime,amazon music,amazon alexa,mit freunden,100,100,100,100,100,https://apps.apple.com/at/app/amazon/id348712880?uo=4
25,Mein dm,Trending,dm-drogerie markt GmbH + Co. KG,Shopping,4.87633,16107,2019-11-10,Gratis,und,dm,du,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/mein-dm/id1186271926?uo=4
26,INFINITY Signatur App,Trending,Raiffeisen Software GmbH,Finance,4.09999,10,2024-07-23,Gratis,infinity,signatur,pushtan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,infinity loop,infinity signatur,infinity nikki,spushtan fr,infinity,100,100,100,100,90,https://apps.apple.com/at/app/infinity-signatur-app/id6469034332?uo=4
27,Vinted – Second-hand verkaufen,Trending,Vinted Limited,Shopping,4.8158,49452,2013-04-11,Gratis,du,und,die,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/vinted-second-hand-verkaufen/id632064380?uo=4
28,ÖBB Tickets,Trending,ÖBB-Personenverkehr AG,Travel,1.93096,4215,2015-10-31,Gratis,und,die,öbb,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/%C3%B6bb-tickets/id1041401604?uo=4
29,Austrian,Trending,Austrian Airlines AG,Travel,4.78056,9114,2010-11-05,Gratis,sie,und,austrian,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fragen sie,sie etwas,mit freunden,und podcasts,shop und,100,100,100,100,100,https://apps.apple.com/at/app/austrian/id400224803?uo=4
30,Ryanair,Trending,Ryanair Ltd.,Travel,4.48125,24742,2012-03-13,Gratis,sie,die,ryanair,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fragen sie,sie etwas,asos die,die beste,die sims,100,100,100,100,100,https://apps.apple.com/at/app/ryanair/id504270602?uo=4
31,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.66484,299747,2010-10-06,Gratis,und,instagram,deine,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/instagram/id389801252?uo=4
32,Amazon Prime Video,Trending,AMZN Mobile LLC,Entertainment,4.63719,39748,2017-12-06,Gratis,die,sie,und,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,asos die,die beste,die sims,die presse,fragen sie,100,100,100,100,100,https://apps.apple.com/at/app/amazon-prime-video/id545519333?uo=4
33,Airbnb,Trending,"Airbnb, Inc.",Travel,4.73183,7704,2010-11-10,Gratis,und,du,die,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/airbnb/id401626263?uo=4
34,IKEA,Trending,Inter IKEA Systems B.V.,Shopping,4.76316,7098,2021-02-01,Gratis,ikea,du,deine,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ikea home,deine freunde,bereal deine,jobs deine,deine jobbrse,100,100,100,100,100,https://apps.apple.com/at/app/ikea/id1452164827?uo=4
35,willhaben,Trending,willhaben.at,Shopping,4.81536,220995,2013-06-23,Gratis,und,marktplatz,dein,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/willhaben/id660325616?uo=4
36,Revolut Bank Mobile Finanzen,Trending,Revolut Ltd,Finance,4.86154,16619,2015-03-01,Gratis,und,mit,der,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/revolut-bank-mobile-finanzen/id932493382?uo=4
37,GetYourGuide: Planen & buchen,Trending,GetYourGuide,Travel,4.85187,21602,2013-09-19,Gratis,und,du,mit,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/getyourguide-planen-buchen/id705079381?uo=4
38,Lidl Plus,Trending,Lidl Digital International GmbH & Co. KG,Shopping,4.71278,99678,2018-02-26,Gratis,lidl,plus,lidl plus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,plus500 trading,lidl plus,plus,plus500,for whatsapp,100,100,90,90,75,https://apps.apple.com/at/app/lidl-plus/id1238611143?uo=4
39,Meine ÖGK,Trending,Osterreichische Gesundheitskasse,Health & Fitness,3.33096,281,2022-03-02,Gratis,und,ögk,der,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/meine-%C3%B6gk/id1593432832?uo=4
40,Spotify Musik und Podcasts,Trending,Spotify,Music,4.76398,526429,2011-11-15,Gratis,und,spotify,musik,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/spotify-musik-und-podcasts/id324684580?uo=4
41,WetterOnline mit RegenRadar,Trending,WetterOnline - Meteorologische Dienstleistungen GmbH,Weather,4.60815,79916,2012-08-01,Gratis,und,wetter,die,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/wetteronline-mit-regenradar/id545993260?uo=4
42,UK ETA,Trending,Home Office,Utilities,2.86207,29,2023-10-23,Gratis,uk,travel,eta,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dating chat,meet app,radarbot blitzer,linkedin businessnetzwerk,flo perioden,75,75,75,75,75,https://apps.apple.com/at/app/uk-eta/id6444912481?uo=4
43,YAZIO: Kalorien Zähler & Diät,Trending,YAZIO,Health & Fitness,4.71739,30701,2015-01-06,Gratis,und,yazio,fasten,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,und podcasts,shop und,und live,musik und,100,100,100,100,100,https://apps.apple.com/at/app/yazio-kalorien-z%C3%A4hler-di%C3%A4t/id946099227?uo=4
