Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.85991,37168,2023-05-25,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,latest deals,compare latest,chatgpt,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/az/app/chatgpt/id6448311069?uo=4
2,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.78301,1378,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,behavior agreement,rental agreement,netshort,agreement,drama shorts,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/az/app/netshort-popular-dramas-tv/id6504849169?uo=4
3,SİMA - Rəqəmsal İmza,Trending,Data Processing Center of the Ministry of Communications and High Technologies,Business,4.92511,21645,2022-05-05,Free,və,si,imza,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,start singing,singing,bina tap,namaz vaxti,qurani krim,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/az/app/si-ma-r%C9%99q%C9%99msal-i-mza/id1602500636?uo=4
4,StardustTV - Short Drama&Movie,Trending,"Hongxing Media Co., Limited",Entertainment,4.84151,1855,2024-07-03,Free,stardusttv,subscription,viewing,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,stardusttv,paracroviewing,clap detector,and movies,reels short,90.0,90.0,75.0,75.0,75.0,https://apps.apple.com/az/app/stardusttv-short-drama-movie/id6502377927?uo=4
5,GIO: AI Headshot Generator Pro,Trending,Prequel Inc.,Photo & Video,4.70794,315,2023-08-15,Free,ai,gio,photo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,photo video,online marketplace,photo enhancer,video editor,zoom workplace,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/az/app/gio-ai-headshot-generator-pro/id6449296449?uo=4
6,ShortMax - Watch Dramas & Show,Trending,SHORTTV LIMITED,Entertainment,4.8,20,2023-09-11,Free,shortmax,dramas,drama,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,watch dramas,domireelshort dramas,shortmax,dramas,dramabiteshort dramas,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/az/app/shortmax-watch-dramas-show/id6464002625?uo=4
7,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.79753,10565,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,alibabacom b2b,bookingcom travel,temu,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/az/app/temu-shop-like-a-billionaire/id1641486558?uo=4
8,Google Maps,Trending,Google,Navigation,4.89185,5215,2023-10-06,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,real boxing,real city,real driving,real racing,real,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/az/app/google-maps/id585027354?uo=4
9,mygov,Trending,Innovation and Digital Development Agency,Productivity,4.11301,407,2021-01-06,Free,və,mygov,dövlət,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mygov davlat,mygov checker,mygov,bina tap,namaz vaxti,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/az/app/mygov/id1533956540?uo=4
10,Getcontact,Trending,GETVERIFY LDA,Utilities,4.7441,45666,2016-04-06,Free,getcontact,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,getcontact backup,alibabacom b2b,bookingcom travel,getcontact,alibabacom,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/az/app/getcontact/id1010631459?uo=4
11,Micro Drama - Short Drama&Show,Trending,乔丹 俞,Entertainment,5.0,7,2025-03-24,Free,drama,dramas,micro,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,domireelshort dramas,watch dramas,micro breaker,dramas,micro,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/az/app/micro-drama-short-drama-show/id6738779896?uo=4
12,Araz Supermarket,Trending,Araz Supermarket LLC,Shopping,3.70856,374,2019-10-14,Free,araz,alış,keşbek,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,baku electronics,mobile kredit,onlayn alveri,abb mobile,qarderob,75.0,75.0,75.0,75.0,65.0,https://apps.apple.com/az/app/araz-supermarket/id1478404022?uo=4
13,"Yango: taxi, food, delivery",Trending,YHub ZAF (Pty) Ltd,Travel,4.95966,77856,2018-11-28,Free,yango,ride,service,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,taxi service,ride,service,taxi food,more than,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/az/app/yango-taxi-food-delivery/id1437157286?uo=4
14,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.81351,61488,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bolt food,bolt browser,bolt request,bolt driver,bolt,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/az/app/bolt-request-a-ride/id675033630?uo=4
15,Threads,Trending,"Instagram, Inc.",Social Networking,4.81138,8472,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,threads,for whatsapp,telegram messenger,for twitter,messenger duo,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/az/app/threads/id6446901002?uo=4
16,VPN - Fast VPN Super ™,Trending,TOPAPPS TECH PTE LTD,Productivity,4.74758,4342,2020-10-22,Free,vpn,fast,fast vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vpn 360,turbo vpn,super vpn,vpn proxy,secure vpn,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/vpn-fast-vpn-super/id1528940523?uo=4
17,Google - More ways to search,Trending,Google,Utilities,4.72069,8410,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/google-more-ways-to-search/id284815942?uo=4
18,Waze Navigation & Live Traffic,Trending,Waze Inc.,Navigation,4.73214,3625,2011-07-09,Free,waze,road,live,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,german road,bike racingroad,road racer,offroad truck,extreme offroad,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/waze-navigation-live-traffic/id323229106?uo=4
19,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.68655,13058,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alibabacom b2b,bookingcom travel,video editor,videos music,alibabacom,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/az/app/capcut-photo-video-editor/id1500855883?uo=4
20,Birmarket: Online Shopping App,Trending,"KOMPITO TEKHNOLOGII, TOV",Shopping,4.66383,4343,2019-04-30,Free,və,birmarket,təklif,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,birmarket online,birmarket,bina tap,namaz vaxti,qurani krim,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/az/app/birmarket-online-shopping-app/id1458111389?uo=4
21,Smart Customs,Trending,State Customs Committee of Azerbaijan Republic,Travel,4.87388,154803,2020-02-27,Free,customs,application,committee,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,restore customs,valley customs,smart customs,jewish committee,committee app,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/smart-customs/id1500376466?uo=4
22,ABB mobile: Kredit & Ödəniş,Trending,International Bank Of Azerbaijan Ojsc,Finance,4.8552,111339,2017-10-18,Free,və,ilə,abb,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bina tap,namaz vaxti,qurani krim,mobile bank,mlak,75.0,75.0,75.0,75.0,65.0,https://apps.apple.com/az/app/abb-mobile-kredit-%C3%B6d%C9%99ni%C5%9F/id1251456175?uo=4
23,m10 — Digital Wallet,Trending,PashaPay LLC,Finance,4.92353,72042,2022-09-28,Free,və,m10,bank,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mobile bank,m10 wallet,pasha bank,bank,leobank,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/az/app/m10-digital-wallet/id1642308007?uo=4
24,Birbank,Trending,Kapital Bank OJSC,Finance,4.88265,191121,2018-01-04,Free,və,ilə,birbank,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bina tap,namaz vaxti,qurani krim,mobile bank,mlak,75.0,75.0,75.0,75.0,65.0,https://apps.apple.com/az/app/birbank/id1293207342?uo=4
25,Dual Messenger & Duo Web,Trending,菲 张,Social Networking,4.66667,15,2024-10-23,Free,dual,backup,messages,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dual messenger,dual app,for dual,dual chat,plus dual,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/dual-messenger-duo-web/id6698874872?uo=4
26,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,4.11026,3510,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,use color,use with,use unicode,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/telegram-messenger/id686449807?uo=4
27,Gmail - Email by Google,Trending,Google,Productivity,4.81531,7147,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,for gmail,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/gmail-email-by-google/id422689480?uo=4
28,Bakcell,Trending,BAKCELL MMC,Lifestyle,4.83751,71419,2022-10-06,Free,imkanı,və,etmək,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bina tap,namaz vaxti,qurani krim,mobile bank,mlak,75.0,75.0,75.0,75.0,65.0,https://apps.apple.com/az/app/bakcell/id6443623307?uo=4
29,Wolt Delivery: Food and more,Trending,Wolt Oy,Food & Drink,4.86432,30189,2015-06-24,Free,wolt,order,food,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wolt delivery,wolt courier,order taxi,and order,wolt,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/az/app/wolt-delivery-food-and-more/id943905271?uo=4
30,Azercell,Trending,Azercell Telecom LLC,Business,4.90377,33721,2019-05-19,Free,azercell,application,subscribers,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,azercell kids,azercell biznes,subscribers for,subscribers live,subscribers counter,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/azercell/id1459102065?uo=4
31,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.85063,51544,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,build and,simcity buildit,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/whatsapp-business/id1386412985?uo=4
32,Speak & Learn English: Learna,Trending,Codeway Dijital Hizmetler Anonim Sirketi,Education,4.80844,2276,2024-09-25,Free,english,learna,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,english dictionary,english language,minute english,ewa english,englishrussian dictionary,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/speak-learn-english-learna/id6478287397?uo=4
33,WePlay - Game & Party,Trending,WEJOY PTE. LTD.,Entertainment,4.63122,8821,2023-09-17,Free,weplay,party,image,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chat party,stickman party,watch party,party,online chat,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/az/app/weplay-game-party/id1589399089?uo=4
34,Mobil Notariat,Trending,Ministry of Justice of the Republic of Azerbaijan,Business,4.96011,52420,2019-02-15,Free,notariat,və,mobil,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mobile bank,mobile kredit,pubg mobile,abb mobile,mobil b,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/mobil-notariat/id1453025726?uo=4
35,Trendyol: Fashion & Trends,Trending,trendyol.com,Shopping,4.87819,155618,2012-05-10,Free,trendyol,fashion,collection,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,trendyol go,trendyol seller,trendyol fashion,luxury fashion,online fashion,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/az/app/trendyol-fashion-trends/id524362642?uo=4
36,Nar+,Trending,Azerfon LLC,Lifestyle,2.33086,269,2022-12-17,Free,və,üçün,nar,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,nar biznes,nar ecza,bina tap,namaz vaxti,qurani krim,100.0,100.0,75.0,75.0,75.0,https://apps.apple.com/az/app/nar/id6444889671?uo=4
