Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,DAZN: Stream Live Sports,Trending,DAZN Limited,Sports,4.44858,7604,2020-11-12,Free,dazn,sports,including,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dazn stream,sports fc,including lowcost,including dont,including complete,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/be/app/dazn-stream-live-sports/id1129523589?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.80578,76299,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,chatgpt,latest,chat assistant,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/be/app/chatgpt/id6448311069?uo=4
3,"Ticketmaster－Buy, Sell Tickets",Trending,Ticketmaster,Entertainment,4.69487,721,2025-05-05,Free,tickets,buy,sell,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,flight tickets,sell tickets,buy sell,vivino buy,buy the,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/be/app/ticketmaster-buy-sell-tickets/id500003565?uo=4
4,SkinVision - Find Skin Cancer,Trending,SkinVision B.V.,Medical,4.29101,646,2012-09-15,Free,skin,skinvision,cancer,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,find skin,skin cancer,and skins,skins for,cancer risk,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/be/app/skinvision-find-skin-cancer/id545293136?uo=4
5,My bpost,Trending,bpost,Utilities,4.16293,7635,2018-12-17,Free,parcel,post,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for parcels,parcel tracking,from picplaypost,parcel,parcels,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/be/app/my-bpost/id1279683771?uo=4
6,Polarsteps,Trending,Polarsteps B.V.,Travel,4.80117,14737,2015-03-23,Free,polarsteps,travel,track,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bookingcom travel,travel deals,polarsteps,travel,tracker roamwise,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/be/app/polarsteps/id947925763?uo=4
7,Google - More ways to search,Trending,Google,Utilities,4.55069,51096,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job search,fotorus camera,vintage camera,camera studio,camera remote,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/be/app/google-more-ways-to-search/id284815942?uo=4
8,Booking.com Travel Deals,Trending,Booking.com,Travel,4.69747,113814,2010-04-14,Free,travel,holiday,booking,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bookingcom travel,travel deals,vrbo holiday,holiday rentals,hotel booking,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/be/app/booking-com-travel-deals/id367003839?uo=4
9,itsme,Trending,Belgian Mobile ID SA,Utilities,4.77675,659272,2017-05-29,Free,itsme,data,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,itsme,prosoccerdata,spy network,its me,and more,90.0,90.0,75.0,75.0,75.0,https://apps.apple.com/be/app/itsme/id1181309300?uo=4
10,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.64415,20916,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,temu,temupilih,shop like,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/be/app/temu-shop-like-a-billionaire/id1641486558?uo=4
11,Waze Navigation & Live Traffic,Trending,Waze Inc.,Navigation,4.7477,62927,2009-08-01,Free,waze,road,live,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,waze navigation,live traffic,road wanted,smashy road,risky road,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/be/app/waze-navigation-live-traffic/id323229106?uo=4
12,Threads,Trending,"Instagram, Inc.",Social Networking,4.55649,11418,2023-12-14,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram,threads,preview planner,unfollowers followers,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/be/app/threads/id6446901002?uo=4
13,Duolingo - Language Lessons,Trending,Duolingo,Education,4.65706,113622,2012-11-13,Free,duolingo,language,learn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,new language,busuu language,language learning,language lessons,language,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/be/app/duolingo-language-lessons/id570060128?uo=4
14,Revolut - Mobile Finance,Trending,Revolut Ltd,Finance,4.81033,30658,2015-03-01,Free,money,fees,revolut,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,money games,tycoon money,money buster,revolut 18,revolut business,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/be/app/revolut-mobile-finance/id932493382?uo=4
15,Airbnb,Trending,"Airbnb, Inc.",Travel,4.64703,12197,2010-11-10,Free,airbnb,find,services,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shazam find,find family,find music,life360 find,airbnb,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/be/app/airbnb/id401626263?uo=4
16,Google Chrome,Trending,Google,Utilities,4.58594,33976,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job search,search,google chrome,indeed job,more ways,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/be/app/google-chrome/id535886823?uo=4
17,Amazon Prime Video,Trending,AMZN Mobile LLC,Entertainment,4.54544,12049,2016-12-14,Free,prime,video,movies,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/be/app/amazon-prime-video/id545519333?uo=4
18,Google Maps,Trending,Google,Navigation,4.57229,137142,2012-12-13,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bereal photos,real racing,photo realtime,realtime effects,bereal,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/be/app/google-maps/id585027354?uo=4
19,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.52594,848,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,toolbox for,genius sign,app made,and pdf,french verbs,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/be/app/netshort-popular-dramas-tv/id6504849169?uo=4
