Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,IХВеt:StretchNow,New Discovery,VOLOS 1XBET SRL,Entertainment,4.7234,47,2025-06-15,Free,stretch,iхвеt,stretchnow,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,stretch guy,audiostretch lite,studio stretch,stretch,stretching,100,100,100,90,90,https://apps.apple.com/bf/app/i%D1%85%D0%B2%D0%B5t-stretchnow/id6746807867?uo=4
2,Wave - Mobile Money,Trending,Wave Mobile Money,Finance,4.52193,3830,2021-01-26,Free,money,mali,senegal,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sank money,mobile money,coris money,mymoov mali,radio mali,100,100,100,100,100,https://apps.apple.com/bf/app/wave-mobile-money/id1523884528?uo=4
3,ChatGPT,Trending,OpenAI,Productivity,4.61409,6924,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,chat assistant,100,100,90,90,75,https://apps.apple.com/bf/app/chatgpt/id6448311069?uo=4
4,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.50889,281,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,movies box,watch movies,movies,shows,itunes store,100,100,90,90,75,https://apps.apple.com/bf/app/moviebox-movies-tv-shows/id6746160403?uo=4
5,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.54727,3448,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alibabacom b2b,bookingcom travel,widget capitalcom,video editor,videos music,100,100,100,100,100,https://apps.apple.com/bf/app/capcut-photo-video-editor/id1500855883?uo=4
6,Google - More ways to search,Trending,Google,Utilities,4.48869,2124,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,camera remote,100,100,100,100,100,https://apps.apple.com/bf/app/google-more-ways-to-search/id284815942?uo=4
7,Orange Max it - Burkina Faso,Trending,Orange Burkina Faso SA,Productivity,3.25907,799,2021-02-17,Free,de,et,vos,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,xender file,xender,file shareshare,shareshare music,cycle tracking,100,90,75,75,75,https://apps.apple.com/bf/app/orange-max-it-burkina-faso/id1553774707?uo=4
8,AI Cleaner: Clean Up Storage,Trending,"GRIMLAX TRADE, S.L.",Utilities,4.34434,212,2023-10-30,Free,ai,cleaner,ai cleaner,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ai emoji,rizzkey ai,cleaner clean,storage cleaner,phone cleaner,100,100,100,100,100,https://apps.apple.com/bf/app/ai-cleaner-clean-up-storage/id6448330325?uo=4
9,YouTube,Trending,Google,Photo & Video,4.4214,36497,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,videos,snapchat chat,with friends,chat with,100,90,75,75,75,https://apps.apple.com/bf/app/youtube/id544007664?uo=4
10,Google Maps,Trending,Google,Navigation,4.55117,6811,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,real racing,real club,real,mobile football,fc mobile,100,100,90,75,75,https://apps.apple.com/bf/app/google-maps/id585027354?uo=4
