Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,手机克隆-换机助手&安云手机换机,Trending,泉东 葛,Utilities,0.0,0,2024-07-28,Free,换新手机,照片,视频,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video creator,color line,add grid,hug video,creator digiart,75,75,75,75,75,https://apps.apple.com/bm/app/%E6%89%8B%E6%9C%BA%E5%85%8B%E9%9A%86-%E6%8D%A2%E6%9C%BA%E5%8A%A9%E6%89%8B-%E5%AE%89%E4%BA%91%E6%89%8B%E6%9C%BA%E6%8D%A2%E6%9C%BA/id6560117810?uo=4
2,Google - More ways to search,Trending,Google,Utilities,4.72857,70,2024-01-05,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,word search,job search,100,100,100,100,100,https://apps.apple.com/bm/app/google-more-ways-to-search/id284815942?uo=4
3,Threads,Trending,"Instagram, Inc.",Social Networking,4.56604,159,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,unicorn https,https now,https only,100,100,100,100,100,https://apps.apple.com/bm/app/threads/id6446901002?uo=4
4,ChatGPT,Trending,OpenAI,Productivity,4.85379,342,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,chatgpt,editor scanner,the bear,100,100,90,75,75,https://apps.apple.com/bm/app/chatgpt/id6448311069?uo=4
5,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.79192,1461,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok studio,save tiktok,tiktok video,music and,100,100,100,100,100,https://apps.apple.com/bm/app/tiktok-videos-music-live/id835599320?uo=4
6,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.75893,112,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,alibabacom,100,100,100,100,90,https://apps.apple.com/bm/app/capcut-photo-video-editor/id1500855883?uo=4
7,Airbnb,Trending,"Airbnb, Inc.",Travel,4.84768,151,2011-07-09,Free,airbnb,find,services,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,find family,shazam find,find music,life360 find,freelance services,100,100,100,100,100,https://apps.apple.com/bm/app/airbnb/id401626263?uo=4
8,Butterfield Card Alerts,Trending,The Bank of N. T. Butterfield & Son Ltd.,Finance,4.34426,61,2020-12-19,Free,alerts,butterfield,card,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,card alerts,butterfield card,butterfield cards,butterfield and,butterfield online,100,100,100,100,100,https://apps.apple.com/bm/app/butterfield-card-alerts/id1523780364?uo=4
9,Amazon - Shopping made easy,Trending,AMZN Mobile LLC,Shopping,4.79464,224,2011-07-09,Free,amazon,notice,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,amazon prime,amazon fire,amazon alexa,weather noticedaily,noticedaily forecasts,100,100,100,100,100,https://apps.apple.com/bm/app/amazon-shopping-made-easy/id297606951?uo=4
10,Butterfield Online Banking,Trending,The Bank of N. T. Butterfield & Son Ltd.,Finance,1.88889,9,2023-04-10,Free,online,butterfield,butterfield online,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,online backup,sheinshopping online,online banking,butterfield online,butterfield cards,100,100,100,100,100,https://apps.apple.com/bm/app/butterfield-online-banking/id6446785656?uo=4
