Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.88206,13269,2023-05-25,Gratis,de,una,un,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ktaxi una,una app,mario run,videos,ringtune,100,100,100,90,90,https://apps.apple.com/bo/app/chatgpt/id6448311069?uo=4
2,"Yango: viajes, comida, envios",Trending,YHub ZAF (Pty) Ltd,Travel,4.87797,47095,2018-10-04,Gratis,de,en,yango,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yango lite,yango pro,yango viajes,videos,yango,100,100,100,90,90,https://apps.apple.com/bo/app/yango-viajes-comida-envios/id1437157286?uo=4
3,Yape Bolivia,Trending,Banco de Crédito de Bolivia S.A.,Finance,3.0285,386,2016-09-02,Gratis,de,yape,bolivia,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yape bolivia,money bolivia,king bolivia,sports bolivia,videos,100,100,100,100,90,https://apps.apple.com/bo/app/yape-bolivia/id1135987447?uo=4
4,Demus: Streaming de Música,Trending,Simon Zvara,Music,0.0,0,2024-01-30,Gratis,de,tu,tus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tus beneficios,como tus,tus amigos,videos,google chrome,100,100,100,90,75,https://apps.apple.com/bo/app/demus-streaming-de-m%C3%BAsica/id6474685600?uo=4
5,Takenos,Trending,Takenos Inc.,Finance,4.73585,53,2024-07-03,Gratis,en,poder,tus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,builder poder,poder mercante,tus beneficios,como tus,tus amigos,100,100,100,100,100,https://apps.apple.com/bo/app/takenos/id6499217598?uo=4
6,Threads,Trending,"Instagram, Inc.",Social Networking,4.62601,1837,2023-07-05,Gratis,de,con,instagram,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram stories,videos,instagram,google chrome,100,100,90,90,75,https://apps.apple.com/bo/app/threads/id6446901002?uo=4
7,Google Maps,Trending,Google,Navigation,4.74924,21060,2013-07-17,Gratis,de,con,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/bo/app/google-maps/id585027354?uo=4
8,CapCut - Editor de videos,Trending,Bytedance Pte. Ltd,Photo & Video,4.66084,3373,2020-04-14,Gratis,de,capcut,más,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,capcut,google chrome,picsart ia,ia editor,90,90,75,75,75,https://apps.apple.com/bo/app/capcut-editor-de-videos/id1500855883?uo=4
9,El correo electr. de Google,Trending,Google,Productivity,4.75988,4556,2011-11-02,Gratis,de,con,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,google maps,google drive,videos,google,100,100,100,90,90,https://apps.apple.com/bo/app/el-correo-electr-de-google/id422689480?uo=4
10,Altoke BancoSol,Trending,Banco Solidario S.A. (BO),Finance,3.11364,88,2024-05-09,Gratis,altoke,de,bancosol,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,altoke bancosol,bancosol empresas,altoke,bancosol,videos,100,100,90,90,90,https://apps.apple.com/bo/app/altoke-bancosol/id6479173387?uo=4
