Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Temu:Compre como um bilionário,Trending,Temu,Shopping,4.31587,34793,2022-08-31,Grátis,temu,e,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,magalu compras,compras com,converse com,com amigos,100,100,100,100,100,https://apps.apple.com/br/app/temu-compre-como-um-bilion%C3%A1rio/id1641486558?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.92073,750665,2023-05-25,Grátis,de,ou,um,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,delivery,vdeo,tudo online,shopee compre,100,90,90,75,75,https://apps.apple.com/br/app/chatgpt/id6448311069?uo=4
3,Amazon Shopping,Trending,AMZN Mobile LLC,Shopping,4.767,142013,2010-11-14,Grátis,amazon,de,e,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,amazon prime,amazon shopping,amazon music,amazon alexa,pedir delivery,100,100,100,100,100,https://apps.apple.com/br/app/amazon-shopping/id297606951?uo=4
4,gov.br,Trending,Servicos e Informacoes do Brasil,Utilities,4.80708,3763744,2020-05-20,Grátis,e,para,gov,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,para motorista,para crianas,jogos para,sou govbr,100,100,100,100,100,https://apps.apple.com/br/app/gov-br/id1506827551?uo=4
5,Mercado Livre: Compras Online,Trending,MercadoLibre,Shopping,4.86545,5655855,2011-09-09,Grátis,e,de,online,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,pedir delivery,tudo online,vender online,compras online,100,100,100,100,100,https://apps.apple.com/br/app/mercado-livre-compras-online/id463624852?uo=4
6,SHEIN - Compras Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.70206,376196,2014-05-20,Grátis,de,e,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,google maps,magalu compras,compras com,converse com,100,100,100,100,100,https://apps.apple.com/br/app/shein-compras-online/id878577184?uo=4
7,Shopee: Compre de Tudo Online,Trending,SHPS I Private Limited,Shopping,4.79448,1280171,2019-10-24,Grátis,e,de,shopee,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,pedir delivery,shopee compre,google,youtube,100,100,100,90,90,https://apps.apple.com/br/app/shopee-compre-de-tudo-online/id1481812175?uo=4
8,Mercado Pago: banco digital,Trending,MercadoLibre,Finance,4.84621,2002752,2014-12-17,Grátis,de,e,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,google maps,para motorista,para crianas,jogos para,100,100,100,100,100,https://apps.apple.com/br/app/mercado-pago-banco-digital/id925436649?uo=4
9,Google Maps,Trending,Google,Navigation,4.83425,1290157,2012-12-13,Grátis,e,de,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,pedir delivery,magalu compras,compras com,converse com,100,100,100,100,100,https://apps.apple.com/br/app/google-maps/id585027354?uo=4
10,Threads,Trending,"Instagram, Inc.",Social Networking,4.716,364287,2023-07-05,Grátis,de,com,e,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,magalu compras,compras com,converse com,com amigos,100,100,100,100,100,https://apps.apple.com/br/app/threads/id6446901002?uo=4
11,Google,Trending,Google,Utilities,4.7888,707692,2019-02-12,Grátis,de,e,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,google maps,google drive,google chrome,google fotos,100,100,100,100,100,https://apps.apple.com/br/app/google/id284815942?uo=4
12,Carteira de Trabalho Digital,Trending,Servicos e Informacoes do Brasil,Utilities,3.92621,137453,2017-11-20,Grátis,de,trabalho,de trabalho,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,trabalho digital,delivery,vdeo,trabalho,100,100,90,90,90,https://apps.apple.com/br/app/carteira-de-trabalho-digital/id1295257499?uo=4
13,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.62744,24217,2022-08-07,Grátis,de,com,você,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,magalu compras,compras com,converse com,com amigos,100,100,100,100,100,https://apps.apple.com/br/app/reelshort-stream-drama-tv/id1636235979?uo=4
14,Google Gemini,Trending,Google,Productivity,4.85727,92526,2024-11-11,Grátis,gemini,e,de,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google gemini,gemini buy,google maps,pedir delivery,gemini,100,100,100,100,90,https://apps.apple.com/br/app/google-gemini/id6477489729?uo=4
15,CapCut - Editor de vídeo,Trending,Bytedance Pte. Ltd,Photo & Video,4.76818,258156,2020-04-14,Grátis,de,capcut,e,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,google maps,delivery,vdeo,google,100,100,90,90,90,https://apps.apple.com/br/app/capcut-editor-de-v%C3%ADdeo/id1500855883?uo=4
16,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.81475,29198,2013-08-14,Grátis,de,e,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,google maps,para motorista,para crianas,jogos para,100,100,100,100,100,https://apps.apple.com/br/app/telegram-messenger/id686449807?uo=4
17,DramaBox - Filmes e Dramas,Trending,STORYMATRIX PTE. LTD.,Entertainment,4.85967,90600,2024-05-07,Grátis,de,para,dramabox,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,para motorista,para crianas,jogos para,delivery,100,100,100,100,90,https://apps.apple.com/br/app/dramabox-filmes-e-dramas/id6445905219?uo=4
18,"InfinitePay Tap, Conta, Cartão",Trending,"CloudWalk, Inc.",Finance,4.85531,420623,2020-06-18,Grátis,e,de,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,pedir delivery,para motorista,para crianas,jogos para,100,100,100,100,100,https://apps.apple.com/br/app/infinitepay-tap-conta-cart%C3%A3o/id1506929912?uo=4
19,Serasa: Consulta CPF e Score,Trending,Serasa Experian,Finance,4.82958,806430,2016-04-26,Grátis,de,e,serasa,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,google maps,delivery,vdeo,google,100,100,90,90,90,https://apps.apple.com/br/app/serasa-consulta-cpf-e-score/id1102452668?uo=4
20,Meu INSS - Central de Serviços,Trending,Servicos e Informacoes do Brasil,Productivity,4.82812,979158,2017-11-14,Grátis,de,inss,você,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,delivery,vdeo,tudo online,shopee compre,100,90,90,75,75,https://apps.apple.com/br/app/meu-inss-central-de-servi%C3%A7os/id1243048358?uo=4
21,TikTok,Trending,TikTok Ltd.,Entertainment,4.85902,2215700,2014-04-02,Grátis,de,e,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,google maps,magalu compras,compras com,converse com,100,100,100,100,100,https://apps.apple.com/br/app/tiktok/id835599320?uo=4
22,Canva: editor de foto e vídeo,Trending,Canva,Photo & Video,4.92087,2571426,2014-10-15,Grátis,de,e,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,google maps,para motorista,para crianas,jogos para,100,100,100,100,100,https://apps.apple.com/br/app/canva-editor-de-foto-e-v%C3%ADdeo/id897446215?uo=4
23,FGTS,Trending,Caixa Econômica Federal,Finance,4.84876,2818033,2016-03-30,Grátis,de,e,saque,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pedir delivery,google maps,delivery,vdeo,google,100,100,90,90,90,https://apps.apple.com/br/app/fgts/id1038441027?uo=4
