Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.73662,1420,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,chatgpt,for kids,personal assistant,masha and,the bear,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/bt/app/chatgpt/id6448311069?uo=4
2,Bhutan NDI,Trending,Druk Holding and Investments Limited,Business,2.375,112,2022-12-21,Free,bhutan,credentials,ndi,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,samuh bhutan,bhutan tax,bhutan calendar,bhutan ndi,ndi screen,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/bt/app/bhutan-ndi/id1645493166?uo=4
3,Google Maps,Trending,Google,Navigation,4.70435,1035,2014-08-21,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,google maps,maps gps,mapsme offline,offline maps,maps,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/bt/app/google-maps/id585027354?uo=4
4,DK Bank,Trending,DK Limited,Finance,4.18519,81,2023-09-12,Free,banking,digital,dk,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,,,,,,,,,,,https://apps.apple.com/bt/app/dk-bank/id6462849899?uo=4
5,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.39248,772,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,capitalcom trading,alibabacom b2b,bookingcom travel,capcut,alibabacom,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/bt/app/capcut-photo-video-editor/id1500855883?uo=4
6,Threads,Trending,"Instagram, Inc.",Social Networking,4.55738,366,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,unicorn https,https,1111 faster,vpnlat unlimited,faster internet,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/bt/app/threads/id6446901002?uo=4
7,Google - More ways to search,Trending,Google,Utilities,4.54667,750,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,google maps,google drive,google chrome,google sheets,camera360selfie editor,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/bt/app/google-more-ways-to-search/id284815942?uo=4
8,Google Sheets,Trending,Google,Productivity,4.5,400,2014-04-30,Free,google,sheets,create,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,google maps,google drive,google chrome,google sheets,xlsx sheets,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/bt/app/google-sheets/id842849113?uo=4
9,DramaBox - Stream Drama Shorts,Trending,STORYMATRIX PTE. LTD.,Entertainment,4.67748,462,2023-04-18,Free,dramabox,something,content,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,the content,content creator,content cloud,dramabox,content,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/bt/app/dramabox-stream-drama-shorts/id6445905219?uo=4
10,DrukRide,Trending,Druk Ride,Travel,2.91379,116,2017-09-03,Free,drukride,ride,driver,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,drukride driver,bike ride,ride food,taxi ride,ride memories,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/bt/app/drukride/id1276150974?uo=4
11,"SHAREit: Transfer, Share Files",Trending,SHAREit Technologies Co. Ltd,Productivity,4.48956,719,2013-10-31,Free,files,shareit,share,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,shareitvault lock,shareit transfer,file shareshare,shareshare music,transfer share,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/bt/app/shareit-transfer-share-files/id725215120?uo=4
12,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.21429,56,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,biometric agreement,behavior agreement,tenancy agreement,agreement clause,legal agreement,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/bt/app/netshort-popular-dramas-tv/id6504849169?uo=4
13,Netflix,Trending,"Netflix, Inc.",Entertainment,4.69068,708,2016-01-06,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,filemasterprivacy protection,netflix,filemasterprivacy,game unleashed,squid game,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/bt/app/netflix/id363590051?uo=4
14,BPC Attendance,New Discovery,Karma Tsheten,Productivity,0.0,0,2025-06-04,Free,attendance,check,bpc,100,37,70,70,14,60,100,37,70,70,14,60,100.0,37.0,70.0,70.0,14.0,60.0,grammar checker,health check,bpc pilea,bpc league,check,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/bt/app/bpc-attendance/id6746742797?uo=4
