Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,VPN - Fast VPN Super ™,Trending,TOPAPPS TECH PTE LTD,Productivity,4.76529,8815,2020-10-22,Free,vpn,fast,fast vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,super vpn,vpn super,vpn proxy,secure vpn,fast vpn,100,100,100.0,100.0,100.0,https://apps.apple.com/by/app/vpn-fast-vpn-super/id1528940523?uo=4
2,Threads,Trending,"Instagram, Inc.",Social Networking,4.74364,6760,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,https guard,unicorn https,https traffic,instagram,100,100,100.0,100.0,90.0,https://apps.apple.com/by/app/threads/id6446901002?uo=4
3,Озон: онлайн интернет-магазин,Trending,OZON.ru,Shopping,4.90111,52844,2011-07-10,Free,и,в,ozon,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ozon job,ozon,food delivery,apple beauty,go taxi,100,90,75.0,75.0,75.0,https://apps.apple.com/by/app/%D0%BE%D0%B7%D0%BE%D0%BD-%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD-%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B5%D1%82-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD/id407804998?uo=4
4,DeepSeek - AI Assistant,Trending,杭州深度求索人工智能基础技术研究有限公司,Productivity,4.45545,202,2025-01-10,Free,deepseek,ai,assistant,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,deepseek r1,bot assistant,click assistant,deepseek,assistant,100,100,100.0,90.0,90.0,https://apps.apple.com/by/app/deepseek-ai-assistant/id6737597349?uo=4
5,Yandex Maps & Navigator,Trending,Direct Cursus Computer Systems Trading,Navigation,4.78139,64801,2011-07-09,Free,maps,public,map,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,yandex maps,maps gps,mapsme offline,navigation maps,100,100,100.0,100.0,100.0,https://apps.apple.com/by/app/yandex-maps-navigator/id313877526?uo=4
6,Kufar - объявления Беларуси,Trending,"KUFAR TECH, OOO",Shopping,4.63551,35884,2017-01-09,Free,и,в,беларуси,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,litres,slivki,aliexpress,odnoklassniki,minskline,65,65,65.0,65.0,65.0,https://apps.apple.com/by/app/kufar-%D0%BE%D0%B1%D1%8A%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F-%D0%B1%D0%B5%D0%BB%D0%B0%D1%80%D1%83%D1%81%D0%B8/id1149312972?uo=4
7,Google Maps,Trending,Google,Navigation,4.78484,13404,2016-04-04,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,yandex maps,maps gps,mapsme offline,navigation maps,100,100,100.0,100.0,100.0,https://apps.apple.com/by/app/google-maps/id585027354?uo=4
8,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.77125,84401,2011-10-14,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,with whatsapp,whatsapp business,whatsapp messenger,chat calls,100,100,100.0,100.0,100.0,https://apps.apple.com/by/app/whatsapp-messenger/id310633997?uo=4
9,Planet Free VPN ™ Super Proxy,Trending,FREE VPN PLANET S R L,Utilities,4.71996,8356,2021-03-04,Free,vpn,use,planet,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,super vpn,vpn super,vpn proxy,secure vpn,fast vpn,100,100,100.0,100.0,100.0,https://apps.apple.com/by/app/planet-free-vpn-super-proxy/id1410235921?uo=4
10,Oплати,Trending,OOO OPLATI,Finance,2.64294,2487,2019-08-27,Free,и,в,оплачивайте,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,litres,slivki,aliexpress,odnoklassniki,minskline,65,65,65.0,65.0,65.0,https://apps.apple.com/by/app/o%D0%BF%D0%BB%D0%B0%D1%82%D0%B8/id1437627225?uo=4
