Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.85034,735,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest version,100 latest,web latest,chatgpt,latest,100,100.0,100.0,90.0,90.0,https://apps.apple.com/bz/app/chatgpt/id6448311069?uo=4
2,Threads,Trending,"Instagram, Inc.",Social Networking,4.53138,239,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram story,unicorn https,instagram,https,100,100.0,100.0,90.0,90.0,https://apps.apple.com/bz/app/threads/id6446901002?uo=4
3,Google - More ways to search,Trending,Google,Utilities,4.65503,516,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,word search,100,100.0,100.0,100.0,100.0,https://apps.apple.com/bz/app/google-more-ways-to-search/id284815942?uo=4
4,Gmail - Email by Google,Trending,Google,Productivity,4.75,660,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,for gmail,100,100.0,100.0,100.0,100.0,https://apps.apple.com/bz/app/gmail-email-by-google/id422689480?uo=4
5,RounHoriCalc,New Discovery,Vildan TUTUNCU,Productivity,0.0,0,2025-07-07,Free,calculation,pipe,horizontal,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pipe games,legends pipe,puzzle pipe,pipe art,gymnastics horizontal,100,100.0,100.0,100.0,100.0,https://apps.apple.com/bz/app/rounhoricalc/id6748304684?uo=4
6,Google Maps,Trending,Google,Navigation,4.71678,1370,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real racing,100,100.0,100.0,100.0,100.0,https://apps.apple.com/bz/app/google-maps/id585027354?uo=4
7,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.83912,5613,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok saver,tiktok studio,music and,play music,100,100.0,100.0,100.0,100.0,https://apps.apple.com/bz/app/tiktok-videos-music-live/id835599320?uo=4
8,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.53141,382,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,100,100.0,100.0,100.0,100.0,https://apps.apple.com/bz/app/capcut-photo-video-editor/id1500855883?uo=4
9,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.72708,8501,2011-07-10,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram story,videos music,word connect,connect the,100,100.0,100.0,100.0,100.0,https://apps.apple.com/bz/app/instagram/id389801252?uo=4
10,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,4.22034,59,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,use color,use with,use unicode,100,100.0,100.0,100.0,100.0,https://apps.apple.com/bz/app/telegram-messenger/id686449807?uo=4
