Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.85318,407936,2023-05-25,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vector chatgpt,chatgpt robot,latest kicks,the latest,latest trends,100,100,100,100,100,https://apps.apple.com/ca/app/chatgpt/id6448311069?uo=4
2,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.56491,164178,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,hotelscom book,cryptocom buy,alibabacom b2b,bookingcom hotels,100,100,100,100,100,https://apps.apple.com/ca/app/temu-shop-like-a-billionaire/id1641486558?uo=4
3,Amazon,Trending,AMZN Mobile LLC,Shopping,4.76761,526518,2010-11-14,Free,amazon,shopping,using,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,amazon fire,amazon prime,amazon music,amazon alexa,using free,100,100,100,100,100,https://apps.apple.com/ca/app/amazon/id297606951?uo=4
4,Mobicité,New Discovery,Société en commandite Stationnement de Montréal,Utilities,3.04651,43,2025-06-16,Free,parking,mobicité,pay,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,parking mania,parking jam,paybyphone parking,car parking,parking,100,100,100,100,90,https://apps.apple.com/ca/app/mobicit%C3%A9/id6743771920?uo=4
5,Threads,Trending,"Instagram, Inc.",Social Networking,4.4638,76043,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,unicorn https,https catcher,https traffic,instagram,100,100,100,100,90,https://apps.apple.com/ca/app/threads/id6446901002?uo=4
6,Google,Trending,Google,Utilities,4.59164,300945,2019-02-12,Free,google,search,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google home,google drive,google chrome,job search,100,100,100,100,100,https://apps.apple.com/ca/app/google/id284815942?uo=4
7,AXS Tickets,Trending,AXS,Entertainment,4.47176,7436,2013-08-25,Free,tickets,axs,seats,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,minute tickets,event tickets,sell tickets,axs tickets,axs mobile,100,100,100,100,100,https://apps.apple.com/ca/app/axs-tickets/id679805463?uo=4
8,Microsoft Authenticator,Trending,Microsoft Corporation,Productivity,4.69559,85143,2015-05-30,Free,microsoft,authenticator,passwords,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,microsoft 365,microsoft excel,microsoft teams,microsoft outlook,microsoft word,100,100,100,100,100,https://apps.apple.com/ca/app/microsoft-authenticator/id983156458?uo=4
9,Shop: All your favorite brands,Trending,Shopify Inc.,Shopping,4.73411,495065,2017-09-27,Free,shop,shopping,brands,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shop like,wish shop,temu shop,shop smarter,tire shop,100,100,100,100,100,https://apps.apple.com/ca/app/shop-all-your-favorite-brands/id1223471316?uo=4
10,Airbnb,Trending,"Airbnb, Inc.",Travel,4.73163,97095,2010-11-10,Free,airbnb,find,services,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,turnify airbnb,airbnb cleaning,shazam find,sell find,find cheap,100,100,100,100,100,https://apps.apple.com/ca/app/airbnb/id401626263?uo=4
11,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.4553,80198,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hotelscom book,cryptocom buy,alibabacom b2b,bookingcom hotels,dictionarycom english,100,100,100,100,100,https://apps.apple.com/ca/app/capcut-photo-video-editor/id1500855883?uo=4
12,Google Maps,Trending,Google,Navigation,4.63299,783331,2012-12-13,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,realtorca real,bereal photos,real racing,real estate,100,100,100,100,100,https://apps.apple.com/ca/app/google-maps/id585027354?uo=4
13,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.49906,80930,2014-05-20,Free,shein,shopping,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,alibabacom b2b,hotelscom book,cryptocom buy,bookingcom hotels,100,100,100,100,100,https://apps.apple.com/ca/app/shein-shopping-online/id878577184?uo=4
14,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.65573,1529247,2009-05-04,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,imointernational calls,whatsapp,100,100,100,100,90,https://apps.apple.com/ca/app/whatsapp-messenger/id310633997?uo=4
15,TikTok,Trending,TikTok Ltd.,Entertainment,4.61693,1278729,2014-04-02,Free,videos,tiktok,watch,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktok videos,tiktok studio,tiktok video,save tiktok,tv watch,100,100,100,100,100,https://apps.apple.com/ca/app/tiktok/id835599320?uo=4
16,Indeed Job Search,Trending,Indeed Inc.,Business,4.68946,288840,2010-01-28,Free,indeed,job,jobs,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,indeed job,indeed connect,job search,ziprecruiter job,job bank,100,100,100,100,100,https://apps.apple.com/ca/app/indeed-job-search/id309735670?uo=4
17,Uber - Request a ride,Trending,"Uber Technologies, Inc.",Travel,4.87347,1416908,2010-05-21,Free,uber,rides,cities,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,uber driver,uber eats,rides food,1k cities,uber,100,100,100,100,90,https://apps.apple.com/ca/app/uber-request-a-ride/id368677368?uo=4
18,"Ticketmaster－Buy, Sell Tickets",Trending,Ticketmaster,Entertainment,4.71873,401770,2012-02-23,Free,tickets,buy,sell,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,minute tickets,event tickets,sell tickets,ticketmasterbuy sell,kijiji buy,100,100,100,100,100,https://apps.apple.com/ca/app/ticketmaster-buy-sell-tickets/id500003565?uo=4
