Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,UEFA Mobile Tickets,Trending,UEFA,Sports,4.03846,26,2021-07-27,Gratis,tickets,uefa,fans,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,event tickets,uefa womens,uefa europa,uefa mobile,uefa gaming,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ch/app/uefa-mobile-tickets/id1574657671?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.81348,103985,2023-05-30,Gratis,oder,ein,chatgpt,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,score hero,mobile strike,bubble witch,codycross kreuzwortrtsel,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ch/app/chatgpt/id6448311069?uo=4
3,Ticketmaster - Tickets kaufen,Trending,Ticketmaster,Entertainment,4.59476,153,2025-05-05,Gratis,und,zu,tickets,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,event tickets,tickets,dir passen,jobs die,microsoft edge,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ch/app/ticketmaster-tickets-kaufen/id500003565?uo=4
4,myAXA NEO CH,Trending,AXA Versicherungen AG,Finance,4.66488,2429,2024-02-04,Gratis,sie,mit,und,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fragen sie,sie etwas,glympse sie,sie haben,mit freunden,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ch/app/myaxa-neo-ch/id1668128527?uo=4
5,Microsoft Authenticator,Trending,Microsoft Corporation,Productivity,4.60126,20507,2015-05-30,Gratis,sie,microsoft,die,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fragen sie,sie etwas,glympse sie,sie haben,microsoft 365,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ch/app/microsoft-authenticator/id983156458?uo=4
6,AGOV access,Trending,Schweizerische Bundeskanzlei,Utilities,1.5967,667,2023-10-03,Gratis,agov,und,access,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,agov access,zkb access,ubs access,agov,access,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ch/app/agov-access/id6467422768?uo=4
7,Splash - Party Spiele,Trending,Cranberry Apps,Entertainment,4.81949,7673,2025-04-12,Gratis,und,für,wir,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wir freiburg,wir ebanking,liebestest kompatibilitt,sicherer messenger,apple support,100.0,100.0,75.0,75.0,75.0,https://apps.apple.com/ch/app/splash-party-spiele/id6744290388?uo=4
8,UEFA Women's EURO 2025,Trending,UEFA,Sports,4.76349,8093,2015-12-07,Gratis,und,der,die,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,der sichere,threema der,die schweiz,die post,die sims,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ch/app/uefa-womens-euro-2025/id1061115611?uo=4
9,Polarsteps,Trending,Polarsteps B.V.,Travel,4.81519,16942,2015-03-23,Gratis,und,deine,polarsteps,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,deine freunde,deine kontoapp,deine app,deine gesundheit,well deine,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ch/app/polarsteps/id947925763?uo=4
10,UK ETA,Trending,Home Office,Utilities,3.06818,44,2023-10-23,Gratis,uk,travel,eta,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,eta evisa,ivisa eta,keta,essen lieferdienst,and podcast,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/ch/app/uk-eta/id6444912481?uo=4
11,Temu: Shoppe wie Milliardäre,Trending,Temu,Shopping,4.67565,37077,2022-08-31,Gratis,temu,und,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu coupons,temu shoppe,temu,shoppe wie,wie milliardre,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/ch/app/temu-shoppe-wie-milliard%C3%A4re/id1641486558?uo=4
12,Google,Trending,Google,Utilities,4.5561,57488,2019-02-12,Gratis,du,die,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,die schweiz,die post,die sims,fr die,google maps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ch/app/google/id284815942?uo=4
13,Booking.com: Hotel Angebote,Trending,Booking.com,Travel,4.73582,176216,2010-04-14,Gratis,sie,und,finden,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fragen sie,sie etwas,glympse sie,sie haben,finden und,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ch/app/booking-com-hotel-angebote/id367003839?uo=4
14,Revolut Bank Mobile Finanzen,Trending,Revolut Ltd,Finance,4.80464,63515,2015-03-01,Gratis,und,mit,der,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mit freunden,chatte mit,mit bilder,karteikarten mit,collage mit,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ch/app/revolut-bank-mobile-finanzen/id932493382?uo=4
