Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,红果短剧 - 海量热门短剧随心看,Trending,"Beijing Bimo Liuxiang Technology Co., Ltd.",Entertainment,4.74997,429871,2023-08-13,免费,https,reading,snssdk,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,abc readingraz,https,readingraz,spider proxy,stream http,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/cn/app/%E7%BA%A2%E6%9E%9C%E7%9F%AD%E5%89%A7-%E6%B5%B7%E9%87%8F%E7%83%AD%E9%97%A8%E7%9F%AD%E5%89%A7%E9%9A%8F%E5%BF%83%E7%9C%8B/id6451407032?uo=4
2,豆包 - 智能推荐高考志愿,Trending,"Beijing Chuntian Zhiyun Technology Co., Ltd.",Productivity,4.75874,619855,2023-08-24,免费,ai,豆包,智能推荐高考志愿,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wps office,qqqbot ai,faceplay,office,qqqbot,75.0,75.0,65.0,65.0,65.0,https://apps.apple.com/cn/app/%E8%B1%86%E5%8C%85-%E6%99%BA%E8%83%BD%E6%8E%A8%E8%8D%90%E9%AB%98%E8%80%83%E5%BF%97%E6%84%BF/id6459478672?uo=4
3,小飞机网盘,Trending,"Fujian Dinghao Information Technology Co., Ltd.",Utilities,2.81324,423,2024-03-13,免费,小飞机网盘,上传,下载,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,itransfer,google,,,,65.0,65.0,,,,https://apps.apple.com/cn/app/%E5%B0%8F%E9%A3%9E%E6%9C%BA%E7%BD%91%E7%9B%98/id1615916901?uo=4
4,夸克-阿里AI旗舰应用,Trending,广州市动悦信息技术有限公司,Utilities,4.24205,496542,2016-11-01,免费,com,terms,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,legal terms,dictionary terms,laolaw terms,sticky terms,terms definitions,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/cn/app/%E5%A4%B8%E5%85%8B-%E9%98%BF%E9%87%8Cai%E6%97%97%E8%88%B0%E5%BA%94%E7%94%A8/id1160172628?uo=4
5,抖音商城,Trending,"Beijing Douyin Technology Co., Ltd.",Shopping,4.5839,75731,2019-11-08,免费,随时随地,抖音商城,抖音电商旗下官方购物,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/cn/app/%E6%8A%96%E9%9F%B3%E5%95%86%E5%9F%8E/id1485191072?uo=4
6,饿了么-外卖放心点，美食准时达,Trending,"Shanghai Rajax Information Technology Co., Ltd.",Food & Drink,4.88588,12011815,2012-03-29,免费,饿了么,准时送达,饿了么网上订餐,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/cn/app/%E9%A5%BF%E4%BA%86%E4%B9%88-%E5%A4%96%E5%8D%96%E6%94%BE%E5%BF%83%E7%82%B9-%E7%BE%8E%E9%A3%9F%E5%87%86%E6%97%B6%E8%BE%BE/id507161324?uo=4
7,汽水音乐 - 抖音音乐版,Trending,"Beijing Douyin Technology Co., Ltd.",Music,4.86648,464538,2022-03-03,免费,取消订阅,https,luna,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,luna lite,doll luna,https,luna,spider proxy,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/cn/app/%E6%B1%BD%E6%B0%B4%E9%9F%B3%E4%B9%90-%E6%8A%96%E9%9F%B3%E9%9F%B3%E4%B9%90%E7%89%88/id1605585211?uo=4
8,迅雷-您的专享云盘,Trending,深圳市迅雷网络技术有限公司,Productivity,4.47262,95335,2020-06-22,免费,迅雷,您的专享云盘,迅雷会员自动续费说明,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/cn/app/%E8%BF%85%E9%9B%B7-%E6%82%A8%E7%9A%84%E4%B8%93%E4%BA%AB%E4%BA%91%E7%9B%98/id1503466530?uo=4
9,美团-美好生活小帮手,Trending,美团,Lifestyle,4.47454,1070897,2011-03-13,免费,美团,ktv,机票,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/cn/app/%E7%BE%8E%E5%9B%A2-%E7%BE%8E%E5%A5%BD%E7%94%9F%E6%B4%BB%E5%B0%8F%E5%B8%AE%E6%89%8B/id423084029?uo=4
10,京东-又好又便宜,Trending,"Beijing Jingdong Century Trading Co., Ltd.",Shopping,3.6953,507576,2011-01-31,免费,又好又便宜,京东,售后无忧,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,billeslook,,,,,65.0,,,,,https://apps.apple.com/cn/app/%E4%BA%AC%E4%B8%9C-%E5%8F%88%E5%A5%BD%E5%8F%88%E4%BE%BF%E5%AE%9C/id414245413?uo=4
