Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,SHEIN-Compras en línea,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.54817,12684,2014-05-20,Gratis,en,de,shein,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,free fire,como millonario,amazon compras,compra como,90,75,75,75,75,https://apps.apple.com/co/app/shein-compras-en-l%C3%ADnea/id878577184?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.90559,185336,2023-05-30,Gratis,de,una,un,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,una app,taxi una,tappsi una,mario run,videos,100,100,100,100,90,https://apps.apple.com/co/app/chatgpt/id6448311069?uo=4
3,Quentro,Trending,Crowder,Entertainment,3.5,6,2019-01-04,Gratis,quentro,de,tus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,quentro,videos,autos motos,uber autos,google chrome,90,90,75,75,75,https://apps.apple.com/co/app/quentro/id1446088511?uo=4
4,Temu: compra como millonario,Trending,Temu,Shopping,4.69585,44961,2022-08-31,Gratis,temu,de,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu compra,temu coupons,diccionario wordreferencecom,alibabacom b2b,compra online,100,100,100,100,100,https://apps.apple.com/co/app/temu-compra-como-millonario/id1641486558?uo=4
5,ditu,Trending,Caracol Television S.A.,Entertainment,3.61255,733,2025-02-14,Gratis,de,que,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,autos motos,uber autos,google chrome,motos taxi,90,75,75,75,75,https://apps.apple.com/co/app/ditu/id6720754131?uo=4
6,Mi Bancolombia,Trending,Bancolombia s.a.,Finance,3.55915,5283,2025-01-07,Gratis,tu,de,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,cabify viaja,viaja seguro,qa annimas,talking tom,90,75,75,75,75,https://apps.apple.com/co/app/mi-bancolombia/id6526460670?uo=4
7,Google Maps,Trending,Google,Navigation,4.86228,155631,2015-06-03,Gratis,de,con,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat conecta,con amigos,grfico con,conecta con,videos,100,100,100,100,90,https://apps.apple.com/co/app/google-maps/id585027354?uo=4
8,Threads,Trending,"Instagram, Inc.",Social Networking,4.7577,53624,2023-07-05,Gratis,de,con,instagram,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat conecta,con amigos,grfico con,conecta con,for instagram,100,100,100,100,100,https://apps.apple.com/co/app/threads/id6446901002?uo=4
9,Google,Trending,Google,Utilities,4.78763,101007,2019-02-12,Gratis,de,la,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,google maps,google drive,videos,google,100,100,100,90,90,https://apps.apple.com/co/app/google/id284815942?uo=4
10,Nequi Colombia,Trending,Bancolombia s.a.,Finance,4.82322,1050044,2016-04-28,Gratis,de,nequi,colombia,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,nequi colombia,movistar colombia,claro colombia,puntos colombia,bbva colombia,100,100,100,100,100,https://apps.apple.com/co/app/nequi-colombia/id1075378688?uo=4
