Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,DAZN: Stream Live Sports,Trending,DAZN Limited,Sports,4.64848,165,2020-11-12,Free,dazn,sports,including,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dazn stream,sports fc,including lowcost,including dont,including complete,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/cv/app/dazn-stream-live-sports/id1129523589?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.76281,995,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,chatgpt,the bear,for kids,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/cv/app/chatgpt/id6448311069?uo=4
3,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.17241,29,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,netshort,drama shorts,soapbox drama,reels short,popular dramas,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/cv/app/netshort-popular-dramas-tv/id6504849169?uo=4
4,Threads,Trending,"Instagram, Inc.",Social Networking,4.40054,367,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,clean tweetsthreads,unicorn https,https traffic,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/cv/app/threads/id6446901002?uo=4
5,Google - More ways to search,Trending,Google,Utilities,4.55481,447,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job search,search,shopping made,google chrome,more ways,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/cv/app/google-more-ways-to-search/id284815942?uo=4
6,Caixanet Mobile,New Discovery,Caixa Economica de Cabo Verde,Finance,0.0,0,2025-07-02,Free,de,e,caixanet,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caixanet mobile,caixanet,estrada imtt,quiz cultura,testes cdigo,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/cv/app/caixanet-mobile/id6744162086?uo=4
7,Gmail - Email by Google,Trending,Google,Productivity,4.5499,551,2012-07-24,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for gmail,mymail email,email app,organised email,yahoo mail,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/cv/app/gmail-email-by-google/id422689480?uo=4
8,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.4728,4687,2012-06-13,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,imointernational calls,shareit transfer,file shareshare,shareshare music,transfer share,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/cv/app/whatsapp-messenger/id310633997?uo=4
9,Pinterest: Lifestyle Ideas,Trending,Pinterest,Lifestyle,4.67346,2159,2012-05-30,Free,pinterest,ideas,inspiration,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/cv/app/pinterest-lifestyle-ideas/id429047995?uo=4
10,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.45977,348,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,widget capitalcom,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/cv/app/capcut-photo-video-editor/id1500855883?uo=4
11,Amerigo File Manager,Trending,IdeaSolutions S.r.l.,Utilities,4.44265,6635,2013-03-05,Free,files,cloud,allows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,icloud drive,soundcloud the,cloud music,icloud,soundcloud,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/cv/app/amerigo-file-manager/id605569663?uo=4
12,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.26423,246,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for roku,friends phone,player games,cleaning app,xiaomi home,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/cv/app/shein-shopping-online/id878577184?uo=4
13,Google Chrome,Trending,Google,Utilities,4.63842,484,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for chrome,google chrome,chrome and,chrome valley,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/cv/app/google-chrome/id535886823?uo=4
14,Google Maps,Trending,Google,Navigation,4.64187,659,2017-10-06,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,maps,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/cv/app/google-maps/id585027354?uo=4
15,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.72834,3140,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,music and,shareshare music,find music,spotify music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/cv/app/tiktok-videos-music-live/id835599320?uo=4
16,AliExpress Shopping App,Trending,Alibaba,Shopping,4.66038,583,2012-06-01,Free,aliexpress,shopping,items,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,aliexpress shopping,aliexpress seller,find items,aliexpress,items,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/cv/app/aliexpress-shopping-app/id436672029?uo=4
17,DramaBox - Stream Drama Shorts,Trending,STORYMATRIX PTE. LTD.,Entertainment,4.5831,355,2023-04-18,Free,dramabox,something,content,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,learn something,something new,burn something,something with,something,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/cv/app/dramabox-stream-drama-shorts/id6445905219?uo=4
18,youcine+: movie & show,Trending,Muhammad irfan18618380787,Reference,4.54786,188,2024-02-13,Free,youcine,movie,tv,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,youcine movie,youcine,movie,futebol max,movie box,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/cv/app/youcine-movie-show/id6477536689?uo=4
19,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.5625,80,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,widget capitalcom,unicorn https,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/cv/app/temu-shop-like-a-billionaire/id1641486558?uo=4
20,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.17949,39,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,use color,use unicode,telegram,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/cv/app/telegram-messenger/id686449807?uo=4
21,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.57031,8541,2012-05-31,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,videos music,word connect,connect the,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/cv/app/instagram/id389801252?uo=4
22,Netflix,Trending,"Netflix, Inc.",Entertainment,4.63228,824,2016-01-06,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,game netflix,for netflix,netflix,privacy,thth love,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/cv/app/netflix/id363590051?uo=4
23,Televinti4,Trending,"SOCIEDADE INTERBANCARIA E SISTEMAS DE PAGAMENTO, SA",Finance,3.12903,31,2020-11-12,Free,de,cartão,nos,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,nos mapa,nos net,estrada imtt,quiz cultura,testes cdigo,100.0,100.0,75.0,75.0,75.0,https://apps.apple.com/cv/app/televinti4/id1521701453?uo=4
