Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.77052,39572,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,for kids,masha and,chat assistant,chat bot,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/dk/app/chatgpt/id6448311069?uo=4
2,"Ticketmaster－Buy, Sell Tickets",Trending,Ticketmaster,Entertainment,4.50396,631,2025-05-05,Free,tickets,buy,sell,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bus tickets,sell clothing,tickets,sell,trainline train,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/dk/app/ticketmaster-buy-sell-tickets/id500003565?uo=4
3,rejsekort,Trending,Rejsekort A/S,Travel,4.58152,13683,2024-04-08,Free,check,rejsekort,swipe,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,til rejsekort,rejsekort med,rejsekort,travel map,rejsepartner til,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/dk/app/rejsekort/id6469603787?uo=4
4,Rejsebillet,Trending,Rejsekort A/S,Travel,4.51867,3214,2023-08-22,Free,buy,ticket,metro,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,story metro,metro,flights hotels,scandinavian airlines,momondo flights,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/dk/app/rejsebillet/id1664432486?uo=4
5,Uber - Request a ride,Trending,"Uber Technologies, Inc.",Travel,4.84258,32124,2010-05-21,Free,uber,travel,ride,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,travel deals,bookingcom travel,ride food,taxi ride,ride memories,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/dk/app/uber-request-a-ride/id368677368?uo=4
6,Flying Tiger Copenhagen Club,Trending,Flying Tiger Copenhagen,Shopping,3.85185,27,2024-06-24,Free,flying,tiger,copenhagen,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,flying tiger,flying game,top flying,flying police,tiger copenhagen,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/dk/app/flying-tiger-copenhagen-club/id6502527552?uo=4
7,Tour de France by ŠKODA,Trending,Amaury Sport Organisation (A.S.O),Sports,2.24675,77,2020-08-26,Free,tour,de,france,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/dk/app/tour-de-france-by-%C5%A1koda/id1528742741?uo=4
8,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.78179,4033,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ride food,taxi ride,ride memories,https guard,unicorn https,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/dk/app/bolt-request-a-ride/id675033630?uo=4
9,been,Trending,Apparata AB,Travel,3.77551,49,2013-07-30,Free,map,mode,premium,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/dk/app/been/id680148327?uo=4
10,Min Læge,Trending,Praktiserende Lægers Organisation,Medical,3.42486,4232,2019-01-12,Free,og,din,læge,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,building sim,city building,din rejseapp,google,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/dk/app/min-l%C3%A6ge/id1445003295?uo=4
