Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.21953,1075,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,capitalcom trading,alibabacom b2b,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/dz/app/temu-shop-like-a-billionaire/id1641486558?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.76545,40482,2023-05-25,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,for kids,masha and,the bear,and the,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/dz/app/chatgpt/id6448311069?uo=4
3,Do Not Track,Trending,Disconnect,Utilities,4.25,4,2021-05-03,Free,privacy,protection,track,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,privacy vpn,lockdown privacy,protection app,unlimited protection,security protection,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/dz/app/do-not-track/id1553366330?uo=4
4,Google Maps,Trending,Google,Navigation,4.48489,66046,2012-12-13,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real car,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/dz/app/google-maps/id585027354?uo=4
5,Music X - Full Music Player,Trending,NGOC DO BICH,Entertainment,4.61376,712,2025-01-09,Free,music,x,music x,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music playermp3video,music player,offline music,music and,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/dz/app/music-x-full-music-player/id6740234469?uo=4
6,inDrive: taxi rides platform,Trending,SUOL INNOVATIONS LTD,Travel,4.80213,47305,2013-12-20,Free,indrive,ride,driver,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,indrive taxi,rides platform,taxi rides,ridehailing app,car driver,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/dz/app/indrive-taxi-rides-platform/id780125801?uo=4
7,Yassir,Trending,Yassir Inc.,Travel,4.53965,97424,2017-09-20,Free,yassir,grocery,services,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yassir driver,yassir store,yassir distribution,yassir courier,food grocery,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/dz/app/yassir/id1239926325?uo=4
8,Threads,Trending,"Instagram, Inc.",Social Networking,3.71869,8496,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,https traffic,unicorn https,instagrambeat,instagram,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/dz/app/threads/id6446901002?uo=4
9,Blur Background Photo Effect,Trending,Shiho Sadamizu,Photo & Video,4.73318,13687,2022-01-11,Free,mosaic,blur,want,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,blur background,blur photo,mode blur,blur,themes for,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/dz/app/blur-background-photo-effect/id1579215073?uo=4
10,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.49522,157994,2011-10-14,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,imointernational calls,voice calls,shareit transfer,file shareshare,shareshare music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/dz/app/whatsapp-messenger/id310633997?uo=4
