Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.77306,117073,2023-10-31,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,latest version,chatgpt,latest,100,100,100,90,90,https://apps.apple.com/eg/app/chatgpt/id6448311069?uo=4
2,SwizzTube: Adfree Videobrowser,Trending,Valerio Perrotta (CH),Entertainment,4.7317,123,2023-09-20,Free,web,video,swizztube,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,private web,photo video,video editor,videos music,swizztube adfree,100,100,100,100,100,https://apps.apple.com/eg/app/swizztube-adfree-videobrowser/id6466721604?uo=4
3,Threads,Trending,"Instagram, Inc.",Social Networking,3.81904,41876,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,unicorn https,instagrambeat,instagram,https,100,100,90,90,90,https://apps.apple.com/eg/app/threads/id6446901002?uo=4
4,Yango Play: Movies and music,Trending,Funtech Loyalty Card Services LLC,Entertainment,4.63988,8961,2023-12-22,Free,yango,anime,entertainment,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yango lite,yango play,yango maps,lite yango,yango taxi,100,100,100,100,100,https://apps.apple.com/eg/app/yango-play-movies-and-music/id6468647440?uo=4
5,Ana Vodafone,Trending,Vodafone International Services,Utilities,3.19989,20872,2011-06-02,Free,vodafone,ana,من,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vodafone mobile,ana vodafone,vodafone oman,vodafone business,ana khattat,100,100,100,100,100,https://apps.apple.com/eg/app/ana-vodafone/id437564823?uo=4
6,Google Maps,Trending,Google,Navigation,4.33323,287644,2013-03-05,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real car,100,100,100,100,100,https://apps.apple.com/eg/app/google-maps/id585027354?uo=4
7,inDrive: taxi rides platform,Trending,SUOL INNOVATIONS LTD,Travel,4.81063,524772,2013-12-20,Free,indrive,ride,driver,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,indrive taxi,taxi rides,rides platform,daily rides,rides food,100,100,100,100,100,https://apps.apple.com/eg/app/indrive-taxi-rides-platform/id780125801?uo=4
8,Getcontact,Trending,GETVERIFY LDA,Utilities,4.6127,66510,2016-04-06,Free,getcontact,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,getcontact backup,alibabacom b2b,bookingcom travel,unicorn https,getcontact,100,100,100,100,90,https://apps.apple.com/eg/app/getcontact/id1010631459?uo=4
9,InstaPay Egypt,Trending,EBC,Finance,4.23592,9266,2022-03-04,Free,instapay,bank,send,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,instapay ewallet,instapay admin,instapay author,instapay egypt,bank tycoon,100,100,100,100,100,https://apps.apple.com/eg/app/instapay-egypt/id1592108795?uo=4
10,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.57867,167732,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,build and,build master,100,100,100,100,100,https://apps.apple.com/eg/app/whatsapp-business/id1386412985?uo=4
