Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.83108,248127,2023-05-30,Gratis,de,una,un,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mario run,vende,buscounchollocom,amazon compras,google chrome,100,90,90,75,75,https://apps.apple.com/es/app/chatgpt/id6448311069?uo=4
2,Cl@ve,Trending,Agencia Tributaria,Productivity,2.90565,6264,2014-04-11,Gratis,cl,en,acceder,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chile cl,clwifi,classdojo,calendariocl,almacenamiento,100,90,90,90,90,https://apps.apple.com/es/app/cl-ve/id842624380?uo=4
3,Temu: Compra como millonario,Trending,Temu,Shopping,4.66619,54507,2022-08-31,Gratis,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu compra,temu coupons,comercio b2b,diccionario wordreferencecom,unicorn https,100,100,100,100,100,https://apps.apple.com/es/app/temu-compra-como-millonario/id1641486558?uo=4
4,miDGT,Trending,DGT-GI,Utilities,1.67163,8198,2020-01-27,Gratis,la,de,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,compras para,booksy para,para clientes,para cada,vende,100,100,100,100,90,https://apps.apple.com/es/app/midgt/id1463054197?uo=4
5,Synergym,New Discovery,SYNERGYM HOLDING SL,Health & Fitness,4.19658,1292,2025-06-03,Gratis,tu,de,con,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tulotero compra,pagos con,chatea con,con amigxs,tulotero,100,100,100,100,90,https://apps.apple.com/es/app/synergym/id6746641387?uo=4
6,MiDNI,Trending,Dirección General de la Policía,Utilities,2.25714,770,2025-04-01,Gratis,de,la,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vende,almacenamiento,amazon compras,google chrome,como millonario,90,90,75,75,75,https://apps.apple.com/es/app/midni/id6477598076?uo=4
7,Threads,Trending,"Instagram, Inc.",Social Networking,4.61301,53480,2023-12-14,Gratis,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,https traffic,threads,https,storybeat reels,100,100,90,90,75,https://apps.apple.com/es/app/threads/id6446901002?uo=4
8,Certificado digital FNMT,Trending,FABRICA NACIONAL DE MONEDA Y TIMBRE,Productivity,4.7123,19965,2023-07-17,Gratis,de,certificado,tu,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,certificado digital,certificado aptitud,tulotero compra,vende,certificado,100,100,100,90,90,https://apps.apple.com/es/app/certificado-digital-fnmt/id6449721772?uo=4
9,Revolut - Banco móvil,Trending,Revolut Ltd,Finance,4.80599,131331,2015-03-01,Gratis,de,para,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,compras para,booksy para,para clientes,para cada,vende,100,100,100,100,90,https://apps.apple.com/es/app/revolut-banco-m%C3%B3vil/id932493382?uo=4
10,Google,Trending,Google,Utilities,4.59973,177236,2019-02-12,Gratis,de,la,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,google maps,google drive,vende,google,100,100,100,90,90,https://apps.apple.com/es/app/google/id284815942?uo=4
11,Booking.com - Ofertas de viaje,Trending,Booking.com,Travel,4.76502,503389,2010-04-14,Gratis,de,la,con,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pagos con,chatea con,con amigxs,vende,amazon compras,100,100,100,90,75,https://apps.apple.com/es/app/booking-com-ofertas-de-viaje/id367003839?uo=4
12,Ticketmaster－Comprar Entradas,Trending,Ticketmaster,Entertainment,4.61064,1559,2025-04-28,Gratis,de,entradas,tus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,kultur entradas,imprime tus,como tus,tus amigos,tus fotos,100,100,100,100,100,https://apps.apple.com/es/app/ticketmaster-comprar-entradas/id500003565?uo=4
13,Bankinter Móvil,Trending,Bankinter,Finance,4.10314,11916,2010-02-19,Gratis,de,la,tu,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tulotero compra,vende,tulotero,amazon compras,google chrome,100,90,90,75,75,https://apps.apple.com/es/app/bankinter-m%C3%B3vil/id356160865?uo=4
14,tricount - Gastos compartidos,Trending,Tricount,Finance,4.78551,11292,2010-02-01,Gratis,de,gastos,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,gastos compartidos,ms que,que videos,vende,gastos,100,100,100,90,90,https://apps.apple.com/es/app/tricount-gastos-compartidos/id349866256?uo=4
15,Google Maps,Trending,Google,Navigation,4.64541,474559,2012-12-13,Gratis,de,en,el,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vende,almacenamiento,amazon compras,google chrome,como millonario,90,90,75,75,75,https://apps.apple.com/es/app/google-maps/id585027354?uo=4
16,Uber - Viajes asequibles,Trending,"Uber Technologies, Inc.",Travel,4.82531,372084,2010-05-21,Gratis,uber,de,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,uber driver,uber eats,uber,vende,almacenamiento,100,100,90,90,90,https://apps.apple.com/es/app/uber-viajes-asequibles/id368677368?uo=4
17,Google Chrome,Trending,Google,Utilities,4.6356,102160,2012-06-28,Gratis,de,chrome,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,chrome valley,vende,chrome,almacenamiento,100,100,90,90,90,https://apps.apple.com/es/app/google-chrome/id535886823?uo=4
18,Duolingo - Aprende idiomas,Trending,Duolingo,Education,4.66043,276760,2012-11-13,Gratis,de,duolingo,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,duolingo abc,vende,duolingo,amazon compras,google chrome,100,90,90,75,75,https://apps.apple.com/es/app/duolingo-aprende-idiomas/id570060128?uo=4
19,Amazon Compras,Trending,Amazon,Shopping,4.72747,285182,2011-01-03,Gratis,de,amazon,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,amazon compras,amazon music,amazon prime,amazon photos,amazon alexa,100,100,100,100,100,https://apps.apple.com/es/app/amazon-compras/id335187483?uo=4
20,Airbnb,Trending,"Airbnb, Inc.",Travel,4.67964,44354,2010-11-10,Gratis,de,un,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mario run,vende,buscounchollocom,amazon compras,google chrome,100,90,90,75,75,https://apps.apple.com/es/app/airbnb/id401626263?uo=4
21,Booksy para clientes,Trending,Booksy,Lifestyle,4.86601,110707,2013-10-21,Gratis,de,booksy,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,booksy biz,booksy para,ms que,que videos,vende,100,100,100,100,90,https://apps.apple.com/es/app/booksy-para-clientes/id723961236?uo=4
22,Microsoft Teams,Trending,Microsoft Corporation,Business,4.634,175755,2016-11-02,Gratis,de,en,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,compras para,booksy para,para clientes,para cada,vende,100,100,100,100,90,https://apps.apple.com/es/app/microsoft-teams/id1113153706?uo=4
23,Wallapop - Vende y compra,Trending,WALLAPOP SL,Shopping,4.76315,1531402,2013-09-10,Gratis,de,en,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ms que,que videos,vende,almacenamiento,amazon compras,100,100,90,90,75,https://apps.apple.com/es/app/wallapop-vende-y-compra/id692753615?uo=4
24,SHEIN - Compras Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.58859,159451,2014-05-20,Gratis,de,shein,más,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vende,shein,amazon compras,google chrome,b2b alibaba,90,90,75,75,75,https://apps.apple.com/es/app/shein-compras-online/id878577184?uo=4
25,McDonald's,Trending,McDonald's Global Markets LLC,Food & Drink,4.33138,22684,2021-03-07,Gratis,de,en,tu,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tulotero compra,vende,almacenamiento,tulotero,amazon compras,100,90,90,90,75,https://apps.apple.com/es/app/mcdonalds/id1217507712?uo=4
26,Microsoft Authenticator,Trending,Microsoft Corporation,Productivity,4.65993,16617,2015-05-30,Gratis,de,la,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vende,almacenamiento,amazon compras,google chrome,como millonario,90,90,75,75,75,https://apps.apple.com/es/app/microsoft-authenticator/id983156458?uo=4
27,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.66979,9809,2013-08-14,Gratis,de,en,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,compras para,booksy para,para clientes,para cada,vende,100,100,100,100,90,https://apps.apple.com/es/app/telegram-messenger/id686449807?uo=4
28,Waze Navegación y Tráfico,Trending,Waze Inc.,Navigation,4.72734,36914,2009-08-01,Gratis,de,en,waze,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,waze navegacin,vende,almacenamiento,waze,amazon compras,100,90,90,90,75,https://apps.apple.com/es/app/waze-navegaci%C3%B3n-y-tr%C3%A1fico/id323229106?uo=4
29,InfoJobs - Trabajo y Empleo,Trending,"ADEVINTA JOBS, SLU",Business,4.69055,443973,2010-07-23,Gratis,de,que,te,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ms que,que videos,vende,amazon compras,google chrome,100,100,90,75,75,https://apps.apple.com/es/app/infojobs-trabajo-y-empleo/id382581206?uo=4
30,idealista,Trending,"Idealista, S.A.",Productivity,4.69183,307317,2011-10-18,Gratis,de,en,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ms que,que videos,vende,almacenamiento,amazon compras,100,100,90,90,75,https://apps.apple.com/es/app/idealista/id465958311?uo=4
31,Webel - Servicios a domicilio,Trending,Webelapp Technologies S.L,Lifestyle,4.75594,9887,2019-08-26,Gratis,de,webel,tu,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tulotero compra,vende,webel,tulotero,amazon compras,100,90,90,90,75,https://apps.apple.com/es/app/webel-servicios-a-domicilio/id1470056152?uo=4
32,Renfe,Trending,Renfe Viajeros,Travel,4.40022,45976,2021-09-23,Gratis,de,tus,renfe,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,imprime tus,como tus,tus amigos,tus fotos,renfe cercanias,100,100,100,100,100,https://apps.apple.com/es/app/renfe/id1544224672?uo=4
33,CapCut - Editor de vídeo,Trending,Bytedance Pte. Ltd,Photo & Video,4.62256,39352,2020-04-14,Gratis,de,capcut,más,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vende,capcut,amazon compras,google chrome,cambiar caras,90,90,75,75,75,https://apps.apple.com/es/app/capcut-editor-de-v%C3%ADdeo/id1500855883?uo=4
34,Mercadona,Trending,Mercadona,Shopping,3.01585,2272,2018-05-31,Gratis,de,la,compra,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wish compra,compra lotera,binance compra,compra bitcoin,compra como,100,100,100,100,100,https://apps.apple.com/es/app/mercadona/id1368037685?uo=4
35,AliExpress Shopping App,Trending,Alibaba,Shopping,4.67312,319851,2011-05-27,Gratis,de,aliexpress,tu,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,aliexpress shopping,aliexpress seller,tulotero compra,vende,aliexpress,100,100,100,90,90,https://apps.apple.com/es/app/aliexpress-shopping-app/id436672029?uo=4
36,AttaPoll - Encuestas de pago,Trending,AttaPoll Ltd,Lifestyle,4.51148,7840,2019-01-12,Gratis,de,encuestas,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,encuestas pagadas,swagbucks encuestas,encuestas que,vende,encuestas,100,100,100,90,90,https://apps.apple.com/es/app/attapoll-encuestas-de-pago/id1107631390?uo=4
37,Netflix,Trending,"Netflix, Inc.",Entertainment,4.67208,199256,2015-10-17,Gratis,de,netflix,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,game netflix,netflix game,vende,netflix,almacenamiento,100,100,90,90,90,https://apps.apple.com/es/app/netflix/id363590051?uo=4
38,Gmail - El correo de Google,Trending,Google,Productivity,4.67861,130781,2011-11-02,Gratis,de,en,tu,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tulotero compra,vende,almacenamiento,tulotero,amazon compras,100,90,90,90,75,https://apps.apple.com/es/app/gmail-el-correo-de-google/id422689480?uo=4
39,BBVA España | Banca Online,Trending,BBVA,Finance,4.73629,131375,2009-08-06,Gratis,de,tu,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tulotero compra,vende,tulotero,almacenamiento,amazon compras,100,90,90,90,75,https://apps.apple.com/es/app/bbva-espa%C3%B1a-banca-online/id325813155?uo=4
40,Glovo: Comida a domicilio,Trending,Glovoapp 23 SL,Lifestyle,4.72473,649162,2015-02-11,Gratis,de,en,glovo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,glovo couriers,glovo comida,vende,almacenamiento,glovo,100,100,90,90,90,https://apps.apple.com/es/app/glovo-comida-a-domicilio/id951812684?uo=4
41,OmeTV – Video Chat Alternativa,Trending,Bad Kitty's Dad,Social Networking,4.65259,4430,2019-03-16,Gratis,de,en,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vende,almacenamiento,amazon compras,google chrome,como millonario,90,90,75,75,75,https://apps.apple.com/es/app/ometv-video-chat-alternativa/id1252974010?uo=4
42,"Canva: Diseño IA, Foto y Vídeo",Trending,Canva,Photo & Video,4.84652,295616,2014-10-15,Gratis,de,el,con,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pagos con,chatea con,con amigxs,vende,amazon compras,100,100,100,90,75,https://apps.apple.com/es/app/canva-dise%C3%B1o-ia-foto-y-v%C3%ADdeo/id897446215?uo=4
43,Pinterest,Trending,Pinterest,Lifestyle,4.6799,265086,2011-04-28,Gratis,que,en,un,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ms que,que videos,mario run,almacenamiento,buscounchollocom,100,100,100,90,90,https://apps.apple.com/es/app/pinterest/id429047995?uo=4
44,TikTok: mucho más que videos,Trending,TikTok Ltd.,Entertainment,4.79269,730398,2014-04-02,Gratis,de,la,tiktok,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktok lite,tiktok studio,tiktok mucho,for tiktok,vende,100,100,100,100,90,https://apps.apple.com/es/app/tiktok-mucho-m%C3%A1s-que-videos/id835599320?uo=4
45,Couple Joy - App de relaciones,Trending,HEARTBIT S.R.L.,Lifestyle,4.84565,3330,2022-05-28,Gratis,tu,de,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tulotero compra,compras para,booksy para,para clientes,para cada,100,100,100,100,100,https://apps.apple.com/es/app/couple-joy-app-de-relaciones/id1624758651?uo=4
