Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,"Ticketmaster－Buy, Sell Tickets",Trending,Ticketmaster,Entertainment,4.34184,196,2025-05-05,Free,tickets,buy,sell,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,oulu tickets,and tickets,vivino buy,buy the,buy car,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fi/app/ticketmaster-buy-sell-tickets/id500003565?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.75798,21606,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,latest,generator lux,art image,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/fi/app/chatgpt/id6448311069?uo=4
3,"INTTI - TJ, Pelit, Ruokalistat",Trending,Anselmus Heino,Entertainment,4.589,618,2019-11-15,Free,ja,tj,intti,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tj pelit,tjlaskuri,google maps,snapchat chat,with friends,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/fi/app/intti-tj-pelit-ruokalistat/id1487832523?uo=4
4,Vinted: preloved marketplace,Trending,Vinted Limited,Shopping,4.80278,40467,2013-04-11,Free,vinted,verification,item,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,the item,item,google authenticator,salesforce authenticator,your digital,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/fi/app/vinted-preloved-marketplace/id632064380?uo=4
5,Crowdsorsa,Trending,Finnora Oy,Utilities,2.76068,117,2022-06-02,Free,crowdsorsa,videos,players,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,crowdsorsa,videos,snapchat chat,with friends,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/fi/app/crowdsorsa/id1625690558?uo=4
6,Dott (previously TIER),Trending,Dott B.V.,Travel,4.6546,1740,2019-01-28,Free,dott,ride,e,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dott previously,ride electric,ride food,taxi ride,marketplace shopping,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fi/app/dott-previously-tier/id1440301673?uo=4
7,PostNord - Track your parcels,Trending,PostNord Group AB,Lifestyle,3.77888,4545,2010-10-26,Free,parcels,postnord,track,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,your parcels,for parcels,track your,postnord road,sports tracker,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fi/app/postnord-track-your-parcels/id396871673?uo=4
8,foodora: Food & Groceries,Trending,OnlinePizza Norden AB,Food & Drink,4.24354,1704,2011-03-09,Free,food,foodora,know,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,foodora food,delivery food,food and,foodora partner,foodora rider,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fi/app/foodora-food-groceries/id421369701?uo=4
9,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.76247,8660,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bolt food,bolt request,ride electric,ride food,taxi ride,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fi/app/bolt-request-a-ride/id675033630?uo=4
10,Helsinki Cup,Trending,Helsinki Cup Oy,Sports,2.09211,76,2014-06-29,Free,helsinki,cup,helsinki cup,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,helsinki cup,helsinki outlet,taksi helsinki,world cup,cup table,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fi/app/helsinki-cup/id889917270?uo=4
