Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,手机克隆-换机助手&安云手机换机,Trending,泉东 葛,Utilities,0.0,0,2024-07-28,Free,换新手机,照片,视频,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hit color,video creator,3d hit,color line,color run,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/fm/app/%E6%89%8B%E6%9C%BA%E5%85%8B%E9%9A%86-%E6%8D%A2%E6%9C%BA%E5%8A%A9%E6%89%8B-%E5%AE%89%E4%BA%91%E6%89%8B%E6%9C%BA%E6%8D%A2%E6%9C%BA/id6560117810?uo=4
2,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.78307,1028,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok studio,save tiktok,tiktok video,music and,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fm/app/tiktok-videos-music-live/id835599320?uo=4
3,ChatGPT,Trending,OpenAI,Productivity,4.84483,58,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,for kids,masha and,instant chatbot,chat gpt,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/fm/app/chatgpt/id6448311069?uo=4
4,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.41772,79,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,video,videos,snapchat chat,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/fm/app/capcut-photo-video-editor/id1500855883?uo=4
5,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.67748,1386,2012-05-31,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,videos music,word connect,connect the,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fm/app/instagram/id389801252?uo=4
6,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.55999,1325,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for facebook,zooskkikwhatsappfacebooktwitterwebchatlinekakaotalk vibermessengervineskype,for zooskkikwhatsappfacebooktwitterwebchatlinekakaotalk,sculpt people,facebook,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/fm/app/facebook/id284882215?uo=4
7,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.56734,1292,2012-06-03,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,with friends,video,videos,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/fm/app/messenger/id454638411?uo=4
8,Google - More ways to search,Trending,Google,Utilities,4.38333,60,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,word search,search,music player,word collect,shopping made,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/fm/app/google-more-ways-to-search/id284815942?uo=4
9,Google Maps,Trending,Google,Navigation,4.71271,181,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,clash realtime,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fm/app/google-maps/id585027354?uo=4
10,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.73,100,2012-06-03,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with friends,friends,snapchat chat,ball pool,chat with,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/fm/app/snapchat-chat-with-friends/id447188370?uo=4
11,Clean Now: Phone Storage Kit,Trending,OneTapRemore,Utilities,0.0,0,2025-03-18,Free,clean,device,contacts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cleaner clean,upcleaner clean,cleanup clean,clean storage,clean photo,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fm/app/clean-now-phone-storage-kit/id6743194785?uo=4
12,CashTrails+: Personal Finance,Trending,Vasyl Smyrnov,Finance,5.0,1,2012-06-02,Free,records,expenses,reports,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,followers reports,reports,starmakersing karaoke,smule sing,run bike,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/fm/app/cashtrails-personal-finance/id305418178?uo=4
13,Gmail - Email by Google,Trending,Google,Productivity,4.66972,109,2012-07-24,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,organised email,yahoo mail,mail,gmail,email,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/fm/app/gmail-email-by-google/id422689480?uo=4
14,Netflix,Trending,"Netflix, Inc.",Entertainment,4.54074,135,2014-09-04,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for netflix,netflix guide,netflix,watch party,streaming now,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/fm/app/netflix/id363590051?uo=4
15,YouTube,Trending,Google,Photo & Video,4.58809,2032,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for youtube,youtube video,safe youtube,youtube studio,youtube kids,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fm/app/youtube/id544007664?uo=4
16,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.875,8,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,biometric agreement,behavior agreement,tenancy agreement,agreement clause,rental agreement,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/fm/app/netshort-popular-dramas-tv/id6504849169?uo=4
