Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,CapCut - Éditeur vidéo & photo,Trending,Bytedance Pte. Ltd,Photo & Video,4.21912,1255,2020-04-14,Gratuit,de,capcut,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pour capcut,capcut,lapp photo,itunes store,apple wallet,100,90,75,75,75,https://apps.apple.com/ga/app/capcut-%C3%A9diteur-vid%C3%A9o-photo/id1500855883?uo=4
2,NGL - q&a anonymes,Trending,DeepMoji,Lifestyle,4.10412,2843,2021-12-10,Gratuit,de,ngl,des,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hati ngl,ngl chat,ngl elite,shopmate ngl,ngl 2025,100,100,100,100,100,https://apps.apple.com/ga/app/ngl-q-a-anonymes/id1596550932?uo=4
3,Google,Trending,Google,Utilities,4.31893,486,2024-01-05,Gratuit,de,les,vous,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,levezvous tt,levezvous,lapp photo,itunes store,apple wallet,100,90,75,75,75,https://apps.apple.com/ga/app/google/id284815942?uo=4
5,NetShort - Dramas populaires,Trending,NETSTORY PTE. LTD.,Entertainment,4.0597,67,2024-07-13,Gratuit,de,vous,netshort,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,levezvous tt,levezvous,netshort,lapp photo,itunes store,100,90,90,75,75,https://apps.apple.com/ga/app/netshort-dramas-populaires/id6504849169?uo=4
6,Animatch Peste,New Discovery,Tumay ERMIS,Productivity,0.0,0,2025-07-07,Gratuit,animal,animatch,peste,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,animal brainrot,prisonvasion animale,jeu animalier,animal sim,chiot animale,100,100,100,100,100,https://apps.apple.com/ga/app/animatch-peste/id6748331035?uo=4
7,Amerigo File Manager,Trending,IdeaSolutions S.r.l.,Utilities,4.15616,16855,2020-04-10,Gratuit,de,les,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lapp photo,itunes store,apple wallet,donut box,refuge pour,75,75,75,75,75,https://apps.apple.com/ga/app/amerigo-file-manager/id605569663?uo=4
8,AI Cleaner: App de Nettoyage,Trending,"GRIMLAX TRADE, S.L.",Utilities,4.09999,90,2023-10-30,Gratuit,de,et,l,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chteau larc,larc golf,golf club,lgende,larme,100,100,100,90,90,https://apps.apple.com/ga/app/ai-cleaner-app-de-nettoyage/id6448330325?uo=4
9,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.23763,4448,2020-04-10,Gratuit,et,de,à,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,apple fitness,lapp photo,itunes store,apple wallet,atop 50,75,75,75,75,75,https://apps.apple.com/ga/app/whatsapp-business/id1386412985?uo=4
10,ChatGPT,Trending,OpenAI,Productivity,4.50028,3636,2023-05-30,Gratuit,de,une,ou,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,localiser une,une photo,o avezvous,vrit bouteille,bouteille,100,100,100,100,90,https://apps.apple.com/ga/app/chatgpt/id6448311069?uo=4
11,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.18567,16077,2020-04-10,Gratuit,de,des,pour,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/facebook/id284882215?uo=4
12,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.1472,14402,2020-04-10,Gratuit,de,des,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/whatsapp-messenger/id310633997?uo=4
13,Snapchat : chats entre ami·e·s,Trending,"Snap, Inc.",Photo & Video,4.22175,3540,2020-04-09,Gratuit,de,vos,e,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vos jours,dan vos,vos construction,forged youniversity,khmer elearning,100,100,100,100,100,https://apps.apple.com/ga/app/snapchat-chats-entre-ami-e-s/id447188370?uo=4
14,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.31216,6455,2020-04-10,Gratuit,des,de,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/instagram/id389801252?uo=4
15,TikTok : Ça commence avec toi,Trending,TikTok Ltd.,Entertainment,4.55788,12707,2020-04-10,Gratuit,de,et,des,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/tiktok-%C3%A7a-commence-avec-toi/id835599320?uo=4
16,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,2.47187,551,2020-04-17,Gratuit,de,et,telegram,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,leadertelegram eedition,beach presstelegram,presstelegram prep,telegram,100,100,100,100,90,https://apps.apple.com/ga/app/telegram-messenger/id686449807?uo=4
17,Netflix,Trending,"Netflix, Inc.",Entertainment,4.42358,1374,2020-04-21,Gratuit,vous,netflix,de,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,levezvous tt,fusion netflix,survive netflix,levezvous,netflix,100,100,100,90,90,https://apps.apple.com/ga/app/netflix/id363590051?uo=4
18,Pinterest: Idées & Inspiration,Trending,Pinterest,Lifestyle,4.51855,2615,2020-04-10,Gratuit,de,idées,tes,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for tesv,tesamm tms,tesv,tesamm,tesstore,100,100,90,90,90,https://apps.apple.com/ga/app/pinterest-id%C3%A9es-inspiration/id429047995?uo=4
19,My Airtel Africa,Trending,Airtel Africa,Utilities,3.7942,724,2020-04-11,Gratuit,airtel,pay,money,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,airtel africa,airtel leadership,airtel business,airtel asks,paytoday mobile,100,100,100,100,100,https://apps.apple.com/ga/app/my-airtel-africa/id1462268018?uo=4
20,GoodShort - Films & Dramas,Trending,SINGAPORE NEW READING TECHNOLOGY PTE. LTD.,Entertainment,4.83425,181,2023-06-12,Gratuit,de,à,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lapp photo,itunes store,apple wallet,atop 50,apple fitness,75,75,75,75,75,https://apps.apple.com/ga/app/goodshort-films-dramas/id6448176203?uo=4
21,Threads,Trending,"Instagram, Inc.",Social Networking,4.21429,798,2023-07-05,Gratuit,de,et,vous,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,levezvous tt,levezvous,lapp photo,itunes store,apple wallet,100,90,75,75,75,https://apps.apple.com/ga/app/threads/id6446901002?uo=4
22,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.18032,61,2025-05-24,Gratuit,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pro movies,movies,shows,remote control,universal remote,100,90,90,75,75,https://apps.apple.com/ga/app/moviebox-movies-tv-shows/id6746160403?uo=4
23,SHEIN-Achat en ligne,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.05714,105,2020-04-10,Gratuit,de,et,les,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lapp photo,itunes store,apple wallet,apple fitness,donut box,75,75,75,75,75,https://apps.apple.com/ga/app/shein-achat-en-ligne/id878577184?uo=4
24,La Bible Louis Segond + Audio,Trending,Oleg Shukalovich,Book,4.52198,364,2020-04-10,Gratuit,la,de,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,huntla tour,night huntla,lavatar,huntla,mon salon,100,100,90,90,75,https://apps.apple.com/ga/app/la-bible-louis-segond-audio/id974966252?uo=4
25,Music : Offline Player,New Discovery,Jerome Martinage,Music,3.73333,30,2025-06-12,Gratuit,et,la,des,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,huntla tour,night huntla,caf des,journal des,traducteur des,100,100,100,100,100,https://apps.apple.com/ga/app/music-offline-player/id6746770085?uo=4
26,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.17799,3062,2020-04-10,Gratuit,des,de,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/messenger/id454638411?uo=4
27,Clean Now: Phone Storage Kit,Trending,OneTapRemore,Utilities,0.0,0,2025-03-18,Gratuit,clean,device,contacts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cleaner clean,quick cleanerclean,clean your,device finder,stealthllm ondevice,100,100,100,100,100,https://apps.apple.com/ga/app/clean-now-phone-storage-kit/id6743194785?uo=4
28,Gmail : la messagerie Google,Trending,Google,Productivity,4.37739,522,2020-04-13,Gratuit,de,et,les,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lapp photo,itunes store,apple wallet,apple fitness,donut box,75,75,75,75,75,https://apps.apple.com/ga/app/gmail-la-messagerie-google/id422689480?uo=4
29,Google Maps,Trending,Google,Navigation,4.49454,366,2020-08-06,Gratuit,des,et,de,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/google-maps/id585027354?uo=4
30,YubePiP: PiP Video Player,Trending,Actowise LLC,Entertainment,4.15767,1630,2021-11-12,Gratuit,youtube,videos,picture,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fytube youtube,for youtube,youtube sans,picture collage,cute picture,100,100,100,100,100,https://apps.apple.com/ga/app/yubepip-pip-video-player/id1591269922?uo=4
31,Duolingo : Cours de langue,Trending,Duolingo,Education,4.41505,1395,2020-04-10,Gratuit,et,de,le,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lex full,le guimares,oliver le,le soden,hotel lex,100,100,100,100,100,https://apps.apple.com/ga/app/duolingo-cours-de-langue/id570060128?uo=4
32,VPN Lumos: Private Web Tunnel,Trending,"LUMOS, OOO",Utilities,3.95652,92,2020-04-10,Gratuit,de,l,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chteau larc,larc golf,golf club,lgende,larme,100,100,100,90,90,https://apps.apple.com/ga/app/vpn-lumos-private-web-tunnel/id1373844471?uo=4
33,Moov Money Gabon,Trending,Moov Gabon Télécom,Finance,2.68421,19,2024-07-16,Gratuit,de,et,paiement,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,paiement des,paiement express,paiement entre,nomade paiement,crypto paiement,100,100,100,100,100,https://apps.apple.com/ga/app/moov-money-gabon/id6504250574?uo=4
34,Flou Photo & Mosaïque Effect,Trending,Shiho Sadamizu,Photo & Video,4.43811,509,2022-01-11,Gratuit,de,vous,flou,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,levezvous tt,flou photo,blureffectflou photo,effet flou,mosaque flou,100,100,100,100,100,https://apps.apple.com/ga/app/flou-photo-mosa%C3%AFque-effect/id1579215073?uo=4
36,CamScanner - PDF Scanner App,Trending,"INTSIG Information Co., Ltd",Productivity,4.34325,807,2020-04-10,Gratuit,de,des,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/camscanner-pdf-scanner-app/id388627783?uo=4
37,Flo : calendrier menstruel,Trending,FLO HEALTH UK LIMITED,Health & Fitness,4.16329,4360,2020-04-10,Gratuit,de,flo,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,works flower,flor pilates,flower,floops,fokusflo,100,100,90,90,90,https://apps.apple.com/ga/app/flo-calendrier-menstruel/id1038369065?uo=4
38,Commerce B2B avec Alibaba,Trending,杭州阿里巴巴广告有限公司,Shopping,4.13645,1451,2020-04-13,Gratuit,de,et,des,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/commerce-b2b-avec-alibaba/id503451073?uo=4
39,DramaBox - Film et Drame Court,Trending,STORYMATRIX PTE. LTD.,Entertainment,4.45256,369,2023-04-18,Gratuit,de,vous,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,levezvous tt,levezvous,lapp photo,itunes store,apple wallet,100,90,75,75,75,https://apps.apple.com/ga/app/dramabox-film-et-drame-court/id6445905219?uo=4
40,Themelia: Theme & Widget,Trending,WOOHOO LIMITED,Graphics & Design,4.0,15,2023-10-04,Gratuit,de,et,écran,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lapp photo,itunes store,apple wallet,apple fitness,dcrans daccueil,75,75,75,75,75,https://apps.apple.com/ga/app/themelia-theme-widget/id6467189759?uo=4
41,Bible,Trending,Life.Church,Reference,4.63921,3739,2020-04-18,Gratuit,des,de,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/bible/id282935706?uo=4
42,MovieBox – Séries & Films,New Discovery,Sanchi Shukla,Entertainment,4.77778,9,2025-06-10,Gratuit,et,des,de,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/moviebox-s%C3%A9ries-films/id6746546850?uo=4
43,Google Chrome,Trending,Google,Utilities,4.43228,1078,2020-04-14,Gratuit,de,chrome,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chromebattery now,chrome radio,for chrome,chrome and,and chrome,100,100,100,100,100,https://apps.apple.com/ga/app/google-chrome/id535886823?uo=4
44,Gozem,Trending,GoZem Pte Ltd,Navigation,4.46509,1404,2020-04-18,Gratuit,de,et,vous,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,levezvous tt,levezvous,lapp photo,itunes store,apple wallet,100,90,75,75,75,https://apps.apple.com/ga/app/gozem/id1441247963?uo=4
45,CANAL+,Trending,GROUPE CANAL+,Entertainment,3.70435,115,2020-04-10,Gratuit,en,de,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,minions world,applications temps,icloud drive,mes applications,itunes store,75,75,75,75,75,https://apps.apple.com/ga/app/canal/id694580816?uo=4
46,Google Photos,Trending,Google,Photo & Video,4.34375,96,2021-07-21,Gratuit,de,photos,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,photos,lapp photo,itunes store,apple wallet,effaceur darrireplan,90,75,75,75,75,https://apps.apple.com/ga/app/google-photos/id962194608?uo=4
47,"Canva: Graphisme, Photo, Vidéo",Trending,Canva,Photo & Video,4.43341,1742,2020-04-10,Gratuit,de,et,des,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/canva-graphisme-photo-vid%C3%A9o/id897446215?uo=4
48,TikTok Studio,Trending,TikTok Ltd.,Photo & Video,4.22222,18,2024-06-20,Gratuit,de,et,ton,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ton transport,ton match,ton vlog,active ton,ton dfi,100,100,100,100,100,https://apps.apple.com/ga/app/tiktok-studio/id6478151677?uo=4
49,Google Traduction,Trending,Google,Reference,3.5625,16,2020-04-16,Gratuit,des,traduisez,de,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/google-traduction/id414706506?uo=4
50,X,Trending,X Corp.,News,4.42037,1689,2020-04-09,Gratuit,de,et,des,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/x/id333903271?uo=4
51,Audiomack - Nouvelle Musique,Trending,"Audiomack, Inc.",Music,4.44686,6268,2020-04-10,Gratuit,de,et,les,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lapp photo,itunes store,apple wallet,apple fitness,donut box,75,75,75,75,75,https://apps.apple.com/ga/app/audiomack-nouvelle-musique/id921765888?uo=4
52,Spotify : Musique et podcasts,Trending,Spotify,Music,4.4922,5575,2021-02-25,Gratuit,de,et,des,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/spotify-musique-et-podcasts/id324684580?uo=4
53,InShot - Montage video & photo,Trending,SHANTANU PTE. LTD.,Photo & Video,4.27431,1666,2020-04-10,Gratuit,de,vidéo,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,huntla tour,night huntla,lavatar,huntla,lapp photo,100,100,90,90,75,https://apps.apple.com/ga/app/inshot-montage-video-photo/id997362197?uo=4
54,LinkedIn : chercher un emploi,Trending,LinkedIn Corporation,Business,4.42978,235,2020-04-09,Gratuit,et,des,de,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,caf des,journal des,traducteur des,des briques,des artistes,100,100,100,100,100,https://apps.apple.com/ga/app/linkedin-chercher-un-emploi/id288429040?uo=4
