Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,MovieBox – Movie & TV Shows,New Discovery,Sanchi Shukla,Entertainment,4.69737,228,2025-06-10,Free,moviebox,membership,series,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,audio series,series shows,web series,series,fm audio,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/gm/app/moviebox-movie-tv-shows/id6746546850?uo=4
2,NGL: ask me anything,Trending,DeepMoji,Lifestyle,4.54157,3043,2021-12-10,Free,ngl,link,pro,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pro quran,quran pro,muslim pro,fitpro,football live,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/gm/app/ngl-ask-me-anything/id1596550932?uo=4
3,Music : Offline Player,New Discovery,Jerome Martinage,Music,4.44695,443,2025-06-12,Free,music,discover,trending,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shareshare music,videos music,play music,music offline,discover fashion,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/music-offline-player/id6746770085?uo=4
4,APS Wallet: Customer,Trending,APS International Ltd,Finance,3.75472,53,2025-02-14,Free,aps,wallet,aps wallet,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,aps money,yonna wallet,apple wallet,pay wallet,wallet,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gm/app/aps-wallet-customer/id6739375604?uo=4
5,Audiomack - Play Music Offline,Trending,"Audiomack, Inc.",Music,4.69461,22490,2014-11-19,Free,music,audiomack,listen,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shareshare music,videos music,play music,music offline,audiomack creatorupload,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/audiomack-play-music-offline/id921765888?uo=4
6,ChatGPT,Trending,OpenAI,Productivity,4.73095,3464,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest status,quotes latest,web latest,latest version,chatgpt,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gm/app/chatgpt/id6448311069?uo=4
7,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.56327,1051,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video collage,video editor,photogrid video,videos music,video,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gm/app/capcut-photo-video-editor/id1500855883?uo=4
8,Wave - Mobile Money,Trending,Wave Mobile Money,Finance,4.06785,1017,2021-01-26,Free,money,mali,senegal,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,orange money,mobile money,send money,money senegal,money,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gm/app/wave-mobile-money/id1523884528?uo=4
9,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.47726,7520,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp messenger,whatsapp business,build and,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/whatsapp-business/id1386412985?uo=4
10,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.63722,17013,2012-05-31,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,word connect,connect mena,bein connect,proxy connect,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/instagram/id389801252?uo=4
11,"Noorly - Quran, Stories & Deen",New Discovery,MARKCON MANAGEMENT CONSULTANCY W.L.L,Reference,0.0,0,2025-06-26,Free,noorly,stories,quran,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,write stories,quran kareem,pro quran,quran pro,quran majeed,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/noorly-quran-stories-deen/id6746812882?uo=4
12,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.54236,13810,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,new people,meet people,ai emoji,rizzkey ai,people,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gm/app/facebook/id284882215?uo=4
13,Google - More ways to search,Trending,Google,Utilities,4.58054,1254,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google photos,job search,word search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/google-more-ways-to-search/id284815942?uo=4
14,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.75992,14824,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,savetiktok video,tiktok studio,save tiktok,tiktok videos,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/tiktok-videos-music-live/id835599320?uo=4
15,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.40825,23809,2012-06-13,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp messenger,whatsapp business,voice calls,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/whatsapp-messenger/id310633997?uo=4
16,"Xender: File Share,Share Music",Trending,Xender Team,Utilities,4.07179,1142,2014-08-03,Free,transfer,xender,file,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,xender file,file shareshare,documents file,amerigo file,file manager,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/xender-file-share-share-music/id898129576?uo=4
17,Threads,Trending,"Instagram, Inc.",Social Networking,4.62561,2671,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,threads,https,https4all,for telegram,100.0,90.0,90.0,90.0,75.0,https://apps.apple.com/gm/app/threads/id6446901002?uo=4
18,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.53103,3755,2012-06-03,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with friends,snapchat chat,for snapchat,file shareshare,shareshare music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/snapchat-chat-with-friends/id447188370?uo=4
19,YouTube,Trending,Google,Photo & Video,4.57181,30405,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for youtube,youtube studio,youtube kids,videos music,available 247,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/youtube/id544007664?uo=4
20,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.59821,448,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shows,itunes store,apple podcasts,hbox movies,dstv stream,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/gm/app/moviebox-movies-tv-shows/id6746160403?uo=4
21,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.54214,4663,2012-06-03,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video collage,video editor,photogrid video,videos music,snapchat chat,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/messenger/id454638411?uo=4
22,VidMate !,Trending,Le Manh Tien,Photo & Video,3.67692,65,2022-08-24,Free,video,subscription,vid,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video collage,video editor,photogrid video,videos music,video,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gm/app/vidmate/id1640960419?uo=4
23,Sheikh Sudais Al Quran Kareem,Trending,Ahmad Nakore,Music,4.67258,3824,2019-07-11,Free,sudais,quran,sheikh,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shuraim sudais,sudais full,sheikh sudais,sudais quran,quran kareem,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/sheikh-sudais-al-quran-kareem/id1471708417?uo=4
24,"Tubidy : Music, Videos, Songs",Trending,midawi mustafa,Music,4.42708,96,2023-10-24,Free,music,subscription,account,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shareshare music,videos music,play music,music offline,music,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gm/app/tubidy-music-videos-songs/id6470038274?uo=4
25,Gmail - Email by Google,Trending,Google,Productivity,4.58833,1166,2012-07-24,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google photos,for gmail,yahoo mail,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/gmail-email-by-google/id422689480?uo=4
26,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.38608,316,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,telegram channel,grammar inuse,use with,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/telegram-messenger/id686449807?uo=4
27,Alibaba.com B2B Trade App,Trending,杭州阿里巴巴广告有限公司,Shopping,4.5377,2970,2012-06-04,Free,alibaba,com,alibaba com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alibabacom b2b,b2b trade,smart way,trade app,alibabacom,75.0,75.0,75.0,75.0,65.0,https://apps.apple.com/gm/app/alibaba-com-b2b-trade-app/id503451073?uo=4
28,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.63636,33,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,biometric agreement,paris agreement,behavior agreement,tenancy agreement,netshort,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gm/app/netshort-popular-dramas-tv/id6504849169?uo=4
29,Themelia: Theme & Widget,Trending,WOOHOO LIMITED,Graphics & Design,4.77778,27,2023-10-04,Free,themelia,screen,themes,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lock screen,screen,iscreen,top widgets,daily quotes,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/gm/app/themelia-theme-widget/id6467189759?uo=4
30,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.5614,57,2022-08-07,Free,reelshort,subscription,movie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,reelshort,popular dramas,short dramamovie,watch dramas,stream drama,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/gm/app/reelshort-stream-drama-tv/id1636235979?uo=4
31,Chaptrs - Islamic Audiobooks,Trending,Chaptrs Media LTD,Book,0.0,0,2025-03-04,Free,chaptrs,islamic,books,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,halal islamic,hadith islamic,islamic dua,islamic scholar,beautiful islamic,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/chaptrs-islamic-audiobooks/id6742180458?uo=4
32,Google Maps,Trending,Google,Navigation,4.6941,1798,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,real car,real racing,real club,explore the,real,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gm/app/google-maps/id585027354?uo=4
33,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.46535,101,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,https,https4all,1111 faster,bitcoin mining,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/gm/app/temu-shop-like-a-billionaire/id1641486558?uo=4
34,PhotoGrid: Video Collage Maker,Trending,JUPITER PALACE PTE. LTD.,Photo & Video,4.58453,414,2012-08-01,Free,video,photo,media,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video collage,video editor,photogrid video,videos music,media player,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/photogrid-video-collage-maker/id543577420?uo=4
35,TikTok Studio,Trending,TikTok Ltd.,Photo & Video,4.30952,42,2024-06-20,Free,tiktok,studio,content,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,savetiktok video,tiktok studio,save tiktok,tiktok videos,tiktok video,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gm/app/tiktok-studio/id6478151677?uo=4
