Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.84598,45493,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,latest world,chatgpt,latest,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/gr/app/chatgpt/id6448311069?uo=4
2,Aegean Airlines,Trending,Aegean Airlines S.A.,Travel,4.67887,15738,2025-03-27,Free,aegean,flight,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,aegean privilege,skyscanner flights,and flight,flights hotels,flight tracker,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gr/app/aegean-airlines/id6738838245?uo=4
3,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.62448,11685,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,sheinshopping,shop like,and more,you online,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/gr/app/shein-shopping-online/id878577184?uo=4
4,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.7142,10224,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,unicorn https,temu,https,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/gr/app/temu-shop-like-a-billionaire/id1641486558?uo=4
5,myErgani,Trending,Ministry of Labour and Social Affairs Hellenic Republic,Business,3.61702,94,2022-05-25,Free,εργασίας,και,που,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job manager,careerjet job,calendar shifter,work schedule,work shift,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/gr/app/myergani/id1624483175?uo=4
6,Gov.gr Wallet,Trending,Hellenic Republic,Utilities,2.62467,1532,2022-07-26,Free,και,είναι,gov,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,govgr wallet,govgr mycoast,govgr,govuk,barber shop,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/gr/app/gov-gr-wallet/id1605614816?uo=4
7,Ferryhopper,Trending,Ferryhopper,Travel,4.84011,5685,2020-07-15,Free,ferry,ferryhopper,book,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,openferryniseaferry tickets,your ferry,ferryscanner book,cheap ferry,ferry tickets,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gr/app/ferryhopper/id1523054442?uo=4
8,Trendyol: Fashion & Trends,Trending,trendyol.com,Shopping,4.80895,17477,2012-05-10,Free,trendyol,fashion,collection,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,luxury fashion,online fashion,fashion online,discover fashion,fashion shop,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gr/app/trendyol-fashion-trends/id524362642?uo=4
9,Revolut - Mobile Finance,Trending,Revolut Ltd,Finance,4.82843,36379,2015-03-01,Free,money,fees,revolut,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,money transfer,without fees,money,fees,nbg mobile,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/gr/app/revolut-mobile-finance/id932493382?uo=4
10,Piraeus app,Trending,Piraeus Bank S.A.,Finance,4.71229,139976,2023-03-08,Free,section,view,information,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,section test,listening section,information protection,azure information,section,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gr/app/piraeus-app/id6443620733?uo=4
