Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Orange Max it - Guinea-Bissau,Trending,Orange Bissau,Productivity,3.88462,26,2021-07-07,Free,orange,max,bissau,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,orange money,orange max,fire max,apostas guinbissau,bissau mics,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gw/app/orange-max-it-guinea-bissau/id1574668652?uo=4
2,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.0,6,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,behavior agreement,tenancy agreement,agreement clause,legal agreement,agreement,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gw/app/netshort-popular-dramas-tv/id6504849169?uo=4
3,Clap Phone Finder AntiTheft,Trending,Esame Marketing Limited,Utilities,0.0,0,2025-01-23,Free,clap,finder,antitheft,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,clap find,for clapper,clap detector,phone antitheft,antitheft guard,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gw/app/clap-phone-finder-antitheft/id6739862560?uo=4
4,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.21141,298,2012-06-03,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat chat,for snapchat,file shareshare,shareshare music,snapchat,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/gw/app/snapchat-chat-with-friends/id447188370?uo=4
5,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.51961,3085,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok studio,save tiktok,tiktok video,shareshare music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gw/app/tiktok-videos-music-live/id835599320?uo=4
6,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.42107,2724,2012-05-31,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,connect mena,fruit connect,connect sweet,bein connect,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gw/app/instagram/id389801252?uo=4
7,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.25988,4125,2012-06-13,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp messenger,whatsapp business,file shareshare,shareshare music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gw/app/whatsapp-messenger/id310633997?uo=4
8,Amerigo File Manager,Trending,IdeaSolutions S.r.l.,Utilities,4.39698,4101,2013-03-05,Free,files,cloud,allows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,total files,icloud drive,cloud music,files,icloud,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/gw/app/amerigo-file-manager/id605569663?uo=4
9,VidMate !,Trending,Le Manh Tien,Photo & Video,4.04,25,2022-08-24,Free,video,subscription,vid,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,video music,vid mate,offline video,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/gw/app/vidmate/id1640960419?uo=4
10,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.35714,1037,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp messenger,whatsapp business,whatsapp,business,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/gw/app/whatsapp-business/id1386412985?uo=4
