Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Temu: compra como millonario,Trending,Temu,Shopping,4.5865,711,2022-08-31,Gratis,temu,de,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu compra,alibabacom b2b,amazon compras,temu,temupilih,100,100,100,90,90,https://apps.apple.com/hn/app/temu-compra-como-millonario/id1641486558?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.87492,16797,2023-05-30,Gratis,de,una,un,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mario run,videos,ringtune,google chrome,picsart ia,100,90,90,75,75,https://apps.apple.com/hn/app/chatgpt/id6448311069?uo=4
3,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.70737,393,2022-08-07,Gratis,de,en,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/hn/app/reelshort-stream-drama-tv/id1636235979?uo=4
4,Google Maps,Trending,Google,Navigation,4.78416,22860,2013-07-17,Gratis,de,con,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat conecta,con amigos,grfico con,conecta con,videos,100,100,100,100,90,https://apps.apple.com/hn/app/google-maps/id585027354?uo=4
5,yope: photo wall with friends,Trending,"Salo App, Inc.",Lifestyle,4.59999,670,2022-06-01,Gratis,friends,yope,wall,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yope photo,photo wall,wall with,chargewall fondos,yope,100,100,100,100,90,https://apps.apple.com/hn/app/yope-photo-wall-with-friends/id1600195477?uo=4
6,Threads,Trending,"Instagram, Inc.",Social Networking,4.58169,4009,2023-07-05,Gratis,de,con,instagram,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat conecta,con amigos,grfico con,conecta con,instagram stories,100,100,100,100,100,https://apps.apple.com/hn/app/threads/id6446901002?uo=4
7,Google,Trending,Google,Utilities,4.67258,12376,2019-02-12,Gratis,de,la,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,google maps,google drive,google fotos,videos,100,100,100,100,90,https://apps.apple.com/hn/app/google/id284815942?uo=4
8,Demus: Streaming de Música,Trending,Simon Zvara,Music,5.0,2,2024-01-30,Gratis,de,tu,tus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,como tus,tus amigos,videos,google chrome,picsart ia,100,100,90,75,75,https://apps.apple.com/hn/app/demus-streaming-de-m%C3%BAsica/id6474685600?uo=4
9,CapCut - Editor de videos,Trending,Bytedance Pte. Ltd,Photo & Video,4.55757,8164,2020-04-14,Gratis,de,capcut,más,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,capcut,google chrome,picsart ia,ia editor,90,90,75,75,75,https://apps.apple.com/hn/app/capcut-editor-de-videos/id1500855883?uo=4
10,SHEIN-Compras en línea,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.6269,6178,2014-05-20,Gratis,en,de,shein,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheincompras,videos,con amigos,free fire,snapchat conecta,90,90,75,75,75,https://apps.apple.com/hn/app/shein-compras-en-l%C3%ADnea/id878577184?uo=4
