Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Klarna | Shop now. Pay later.,Trending,Klarna Bank AB,Shopping,2.94444,18,2016-06-22,Free,klarna,pay,shop,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,klarna creator,shopping app,manage pay,keks pay,shop like,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/klarna-shop-now-pay-later/id1115120118?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.85128,19978,2023-05-24,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,chatgpt,latest,and ask,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/hr/app/chatgpt/id6448311069?uo=4
3,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.49322,886,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,aliexpress shopping,sheinshopping online,shopping app,sheinshopping,shopping,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/hr/app/shein-shopping-online/id878577184?uo=4
4,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.80966,6494,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,capitalcom trading,alibabacom b2b,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/temu-shop-like-a-billionaire/id1641486558?uo=4
5,DAZN: Stream Live Sports,Trending,DAZN Limited,Sports,4.64703,1816,2020-11-12,Free,dazn,sports,including,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dazn stream,dazn,proxy master,when apart,trillertv live,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/hr/app/dazn-stream-live-sports/id1129523589?uo=4
6,Dinamo Plus,Trending,GNK DINAMO,Sports,4.05455,110,2023-07-31,Free,dinamo,club,plus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dinamo plus,gnk dinamo,club running,ludo clubfun,club pvp,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/dinamo-plus/id6451387798?uo=4
7,Mein dm,Trending,dm-drogerie markt GmbH + Co. KG,Shopping,4.89426,20816,2019-11-10,Free,dm,product,products,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hushdm,loyalty cards,chat master,cards wallet,secret vault,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/hr/app/mein-dm/id1186271926?uo=4
8,Threads,Trending,"Instagram, Inc.",Social Networking,4.70354,2459,2023-12-14,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,unicorn https,https traffic,instagram,threads,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/hr/app/threads/id6446901002?uo=4
9,Google Maps,Trending,Google,Navigation,4.78275,23636,2014-02-27,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bereal photos,real racing,bereal,real,mobile football,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/hr/app/google-maps/id585027354?uo=4
10,Google - More ways to search,Trending,Google,Utilities,4.64274,13195,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,fotorus camera,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/google-more-ways-to-search/id284815942?uo=4
11,SPAR Croatia,Trending,SPAR Hrvatska d.o.o.,Shopping,4.7361,1853,2025-04-28,Free,spar,croatia,scan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,croatia airlines,moja croatia,croatia traffic,arriva croatia,radio croatia,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/spar-croatia/id6587572312?uo=4
12,Vinted: preloved marketplace,Trending,Vinted Limited,Shopping,4.91361,14470,2013-04-11,Free,vinted,verification,item,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vinted preloved,identity verification,vinted,verification,online fashion,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/hr/app/vinted-preloved-marketplace/id632064380?uo=4
13,Google Chrome,Trending,Google,Utilities,4.69101,8628,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,chrome valley,google maps,google drive,google photos,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/google-chrome/id535886823?uo=4
14,Booking.com Travel Deals,Trending,Booking.com,Travel,4.86088,31059,2010-04-14,Free,travel,holiday,booking,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bookingcom travel,travel deals,bookingcom partners,for bookingcom,travel,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/hr/app/booking-com-travel-deals/id367003839?uo=4
15,Revolut - Mobile Finance,Trending,Revolut Ltd,Finance,4.86171,14498,2015-03-01,Free,money,fees,revolut,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,money games,tycoon money,without fees,crew fees,money,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/hr/app/revolut-mobile-finance/id932493382?uo=4
16,Weather & Radar - Pollen info,Trending,WetterOnline - Meteorologische Dienstleistungen GmbH,Weather,4.73574,21978,2012-08-01,Free,weather,radar,weather radar,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,weather forecast,accuweather weather,radar live,weather radar,accuweather,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/hr/app/weather-radar-pollen-info/id545993260?uo=4
17,Meitu- Photo & Video Editor,Trending,"Xiamen Meitu Technology Co., Ltd.",Photo & Video,4.77686,121,2011-02-15,Free,meitu,vip,photo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/hr/app/meitu-photo-video-editor/id416048305?uo=4
18,SuperCards - Stocard Wallet,Trending,Super Apps Studio GmbH,Shopping,4.89661,590,2024-04-14,Free,cards,supercards,loyalty,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,maker cards,loyalty cards,cards wallet,ina loyalty,cards,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/hr/app/supercards-stocard-wallet/id6482576688?uo=4
19,Wolt Delivery: Food and more,Trending,Wolt Oy,Food & Drink,4.78484,19753,2015-06-24,Free,wolt,order,food,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,food and,glovo food,delivery food,food,google maps,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/hr/app/wolt-delivery-food-and-more/id943905271?uo=4
20,MPT,New Discovery,Infinite Show d.o.o.,Music,3.73295,176,2025-06-17,Free,u,mpt,iskusi,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,online backup,mpt iptv,mpt drivehub,backup,youtube,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/hr/app/mpt/id6745909009?uo=4
21,Notino: perfumes and cosmetics,Trending,Notino,Shopping,4.87966,5950,2022-12-05,Free,notino,offers,beauty,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,notino perfumes,supermarket offers,beautyplusselfie photo,notino,offers,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/hr/app/notino-perfumes-and-cosmetics/id1261812151?uo=4
22,Uber - Request a ride,Trending,"Uber Technologies, Inc.",Travel,4.87355,29513,2010-05-21,Free,uber,travel,ride,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,uber eats,bookingcom travel,travel deals,ride memories,uber,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/hr/app/uber-request-a-ride/id368677368?uo=4
23,DramaBox - Stream Drama Shorts,Trending,STORYMATRIX PTE. LTD.,Entertainment,4.79826,461,2023-04-18,Free,dramabox,something,content,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,the content,content creator,content cloud,dramabox,content,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/hr/app/dramabox-stream-drama-shorts/id6445905219?uo=4
24,Zalando – fashion & clothing,Trending,Zalando SE,Shopping,4.86388,20849,2021-07-20,Free,fashion,brands,clothing,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,luxury fashion,online fashion,fashion online,discover fashion,fashion shop,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/zalando-fashion-clothing/id585629514?uo=4
25,Lidl Plus,Trending,Lidl Digital International GmbH & Co. KG,Shopping,4.77062,36054,2021-01-25,Free,lidl,plus,lidl plus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,beautyplusselfie photo,lidl plus,multipluscard,plus,beautyplusselfie,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/hr/app/lidl-plus/id1238611143?uo=4
26,McDonald's,Trending,McDonald's Global Markets LLC,Food & Drink,2.44792,576,2017-06-14,Free,mcdonald,section,everything,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mcdonalds israel,mcdonalds stickers,mcdonalds japan,mcdonalds events,mcdonalds,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/hr/app/mcdonalds/id1217507712?uo=4
27,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.79324,14708,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bolt food,bolt browser,bolt request,ride memories,unicorn https,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/bolt-request-a-ride/id675033630?uo=4
28,Müller,Trending,Mueller Grosshandels Ltd. & Co. KG,Shopping,4.90428,11597,2023-01-19,Free,müller,customer,card,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for customers,customers,mller world,fr anfnger,italian verbs,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/hr/app/m%C3%BCller/id1516484066?uo=4
29,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.7827,50857,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok videos,tiktok studio,tiktok video,save tiktok,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/tiktok-videos-music-live/id835599320?uo=4
30,Plodine Card,Trending,PLODINE d. d.,Shopping,4.30055,183,2025-03-17,Free,plodine,card,plodine card,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,plodine card,plodine,kaufland supermarket,sales catalogues,supermarket offers,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/hr/app/plodine-card/id6739333076?uo=4
31,Spotify: Music and Podcasts,Trending,Spotify,Music,4.81658,93218,2020-07-14,Free,music,spotify,podcasts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music and,deezer music,videos music,find music,spotify music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/spotify-music-and-podcasts/id324684580?uo=4
32,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.81931,404,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,telegram,data,the stickers,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/hr/app/telegram-messenger/id686449807?uo=4
33,efootwear.eu online shoe store,Trending,Modivo S.A.,Shopping,4.84661,4316,2017-11-02,Free,efootwear,eu,online,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,efootweareu online,online backup,you online,sheinshopping online,online fashion,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/efootwear-eu-online-shoe-store/id1255795344?uo=4
34,Glovo: Food & Grocery Delivery,Trending,Glovoapp 23 SL,Lifestyle,4.78885,63167,2015-02-17,Free,order,food,glovo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,food and,glovo food,delivery food,glovo rider,food,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/hr/app/glovo-food-grocery-delivery/id951812684?uo=4
35,Netflix,Trending,"Netflix, Inc.",Entertainment,4.77177,10424,2016-01-06,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,game netflix,rni films,films photo,netflix,films,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/hr/app/netflix/id363590051?uo=4
36,Gmail - Email by Google,Trending,Google,Productivity,4.77463,9837,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,for gmail,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hr/app/gmail-email-by-google/id422689480?uo=4
37,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.39252,2033,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,capcut,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/hr/app/capcut-photo-video-editor/id1500855883?uo=4
