Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.85411,41167,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,chatgpt,latest,for kids,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/hu/app/chatgpt/id6448311069?uo=4
2,foodora: Food & Groceries,Trending,OnlinePizza Norden AB,Food & Drink,4.61477,8722,2011-03-09,Free,food,foodora,know,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,food and,foodora food,delivery food,foodora rider,foodora partner,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hu/app/foodora-food-groceries/id421369701?uo=4
3,Macadam - Walk And Earn,Trending,PRODUKT BCN INTERACTIVE SL,Health & Fitness,4.92364,275,2022-07-25,Free,macadam,every,step,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,macadam carcheckapp,every day,for every,macadam,everydoggy,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/hu/app/macadam-walk-and-earn/id1633296501?uo=4
4,Időkép,Trending,Időkép,Weather,4.73925,96053,2012-07-02,Free,az,időkép,vagy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,private messenger,sell cars,akasztfa msknt,autoscout24 buy,legjobb szjtk,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/hu/app/id%C5%91k%C3%A9p/id538719791?uo=4
5,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.8037,17198,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,unicorn https,temu,temupilih,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/hu/app/temu-shop-like-a-billionaire/id1641486558?uo=4
6,Digitális Állampolgár,Trending,IdomSoft Zrt.,Productivity,2.06259,1422,2024-05-17,Free,digitális,az,egyre,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,the thermometer,speedmeter mph,digitlis llampolgr,digital widgets,digital display,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/hu/app/digit%C3%A1lis-%C3%A1llampolg%C3%A1r/id6471090161?uo=4
7,MÁV+,Trending,MAV SZOLGALTATO KOZPONT ZARTKORUEN MUKODO RESZVENYTARSASAG,Travel,1.90426,376,2025-03-29,Free,máv,és,alkalmazás,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vasti menetrend,your transport,transport app,citymapper your,defi hungary,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/hu/app/m%C3%A1v/id6739560957?uo=4
8,Revolut - Mobile Finance,Trending,Revolut Ltd,Finance,4.87608,76415,2015-03-01,Free,money,fees,revolut,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,money games,tycoon money,without fees,revolut 18,revolut business,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/hu/app/revolut-mobile-finance/id932493382?uo=4
9,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.71516,9265,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,aliexpress shopping,shopping app,sheinshopping,shopping,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/hu/app/shein-shopping-online/id878577184?uo=4
10,EgészségAblak,Trending,Állami Egészségügyi Ellátó Központ (ÁEEK),Medical,2.4702,1074,2021-04-03,Free,az,egészségügyi,és,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,private messenger,sell cars,akasztfa msknt,autoscout24 buy,legjobb szjtk,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/hu/app/eg%C3%A9szs%C3%A9gablak/id1550970543?uo=4
