Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,POSPAY,Trending,PT. Pos Indonesia (Persero),Finance,3.0935,2032,2020-12-14,Free,layanan,dan,giropos,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,elayanan paspor,elayanan,alfamart franchise,portal service,kjri hongkong,100,90,75,75,75,https://apps.apple.com/id/app/pospay/id1542001621?uo=4
2,Qpon: Daily Deals & Coupons,Trending,HEYTAP PTE. LTD.,Food & Drink,3.59173,387,2024-11-13,Free,qpon,deals,daily,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,qpon merchant,qpon app,qponin buy,qpon daily,daily deals,100,100,100,100,100,https://apps.apple.com/id/app/qpon-daily-deals-coupons/id6737965350?uo=4
3,ChatGPT,Trending,OpenAI,Productivity,4.89869,107946,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt api,latest news,latest version,chatgpt,latest,100,100,100,90,90,https://apps.apple.com/id/app/chatgpt/id6448311069?uo=4
4,Google Maps,Trending,Google,Navigation,4.85702,810850,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,real drum,real racing,maps,real,100,100,100,90,90,https://apps.apple.com/id/app/google-maps/id585027354?uo=4
5,Mobile JKN,Trending,BPJS Kesehatan,Medical,4.78629,263261,2017-06-15,Free,kesehatan,bpjs,bpjs kesehatan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,intan bpjs,bpjs kesehatan,mudik bpjs,bpjs,satusehat mobile,100,100,100,90,75,https://apps.apple.com/id/app/mobile-jkn/id1237601115?uo=4
6,Shopee Indonesia,Trending,"SHOPEE INTERNATIONAL INDONESIA, PT",Shopping,4.70549,1834632,2015-04-06,Free,shopee,dan,di,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shopee partner,shopee indonesia,mitra shopee,shopee kirim,shopee,100,100,100,100,90,https://apps.apple.com/id/app/shopee-indonesia/id959841443?uo=4
7,DANA Dompet Digital Indonesia,Trending,"ESPAY DEBIT INDONESIA KOE, PT",Finance,4.80044,973700,2018-11-05,Free,dana,bank,balance,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cepatpinjaman dana,dana online,dana digital,adapundipinjaman dana,pinjaman dana,100,100,100,100,100,https://apps.apple.com/id/app/dana-dompet-digital-indonesia/id1437123008?uo=4
8,ShopeePay – Dompet Serba Bisa,Trending,PT. AIRPAY INTERNATIONAL INDONESIA,Finance,4.91479,89372,2024-02-04,Free,shopeepay,pinjaman,gratis,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cepatpinjaman dana,rupiah cepatpinjaman,pinjaman cepat,uatas pinjaman,adapundipinjaman dana,100,100,100,100,100,https://apps.apple.com/id/app/shopeepay-dompet-serba-bisa/id6455990519?uo=4
9,GoPay: Transfer Pulsa Bills,Trending,PT. GOTO GOJEK TOKOPEDIA TBK,Finance,4.66348,43067,2023-05-07,Free,gopay,qris,pay,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,gopay merchant,gwcu gopay,gopay bills,gopay transfer,gopay,100,100,100,100,90,https://apps.apple.com/id/app/gopay-transfer-pulsa-bills/id6446321594?uo=4
10,Google - More ways to search,Trending,Google,Utilities,4.73076,171639,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,jobs search,100,100,100,100,100,https://apps.apple.com/id/app/google-more-ways-to-search/id284815942?uo=4
11,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.31328,40481,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for telegram,telegram messenger,telegram,data,duo for,100,100,90,90,75,https://apps.apple.com/id/app/telegram-messenger/id686449807?uo=4
