Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.66396,133756,2023-05-25,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,100 latest,latest top,news latest,chatgpt,latest,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/il/app/chatgpt/id6448311069?uo=4
2,Hapoel Tel Aviv F.C,New Discovery,Hapoel Tel Aviv F.C,Sports,0.0,0,2025-07-08,Free,hapoel,tel,aviv,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hapoel tel,hapoel kfar,hapoel menashe,tel aviv,aviv radio,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/hapoel-tel-aviv-f-c/id6745444735?uo=4
3,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.43902,8938,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,investingcom stocks,alibabacom b2b,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/temu-shop-like-a-billionaire/id1641486558?uo=4
4,מקדונלד'ס  McDonald's Israel,Trending,McDonalds Israel,Food & Drink,4.52179,17348,2015-06-24,Free,mccoins,את,לכם,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,crazy voices,card battle,shared calendar,battle tcg,black deck,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/il/app/%D7%9E%D7%A7%D7%93%D7%95%D7%A0%D7%9C%D7%93%D7%A1-mcdonalds-israel/id967762450?uo=4
5,DAZN: Stream Live Sports,Trending,DAZN Limited,Sports,4.45,1220,2020-11-12,Free,dazn,sports,including,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dazn stream,sports fc,including lowcost,including dont,including complete,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/dazn-stream-live-sports/id1129523589?uo=4
6,ZUZU - זוזו,Trending,Government of Israel - Ministry of Defense,Navigation,4.88235,17,2025-03-05,Free,zuzu,public,transportation,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zuzuai try,zuzus bananas,moovit public,public transport,zuzu,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/il/app/zuzu-%D7%96%D7%95%D7%96%D7%95/id1661151281?uo=4
7,Google Maps,Trending,Google,Navigation,4.41033,72280,2013-03-12,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bereal photos,real racing,explore content,redz explore,bereal,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/il/app/google-maps/id585027354?uo=4
8,Threads,Trending,"Instagram, Inc.",Social Networking,3.684,10617,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram analysis,unicorn https,instagram,threads,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/il/app/threads/id6446901002?uo=4
9,Google - More ways to search,Trending,Google,Utilities,4.11425,48649,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/google-more-ways-to-search/id284815942?uo=4
10,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,3.98206,53068,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,marketplace shopping,aliexpress shopping,sheinshopping online,shopping made,shopping app,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/shein-shopping-online/id878577184?uo=4
11,Wolt Delivery: Food and more,Trending,Wolt Oy,Food & Drink,4.75521,59322,2015-06-24,Free,wolt,order,food,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wolt delivery,wolt courier,delivery food,food and,and order,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/wolt-delivery-food-and-more/id943905271?uo=4
12,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.597,24856,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,investingcom stocks,alibabacom b2b,bookingcom travel,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/capcut-photo-video-editor/id1500855883?uo=4
13,Airalo: eSIM Travel & Internet,Trending,Airalo,Travel,4.50738,25531,2019-10-11,Free,esim,airalo,data,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,esim travel,esimo travel,esim internet,travel esim,numero esim,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/airalo-esim-travel-internet/id1475911720?uo=4
14,Google Chrome,Trending,Google,Utilities,4.36771,34435,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,chrome valley,google maps,google drive,google translate,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/google-chrome/id535886823?uo=4
15,Waze Navigation & Live Traffic,Trending,Waze Inc.,Navigation,4.73072,90223,2009-08-01,Free,waze,road,live,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,waze navigation,live traffic,transport live,road color,slime road,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/waze-navigation-live-traffic/id323229106?uo=4
16,Gmail - Email by Google,Trending,Google,Productivity,4.53571,32747,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,for gmail,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/gmail-email-by-google/id422689480?uo=4
17,Booking.com Travel Deals,Trending,Booking.com,Travel,4.78467,68500,2010-04-14,Free,travel,holiday,booking,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bookingcom travel,travel deals,travel,moovit public,public transport,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/il/app/booking-com-travel-deals/id367003839?uo=4
18,"Canva: Design, Photo & Video",Trending,Canva,Photo & Video,4.70698,65487,2014-10-15,Free,photo,maker,canva,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,collage maker,maker studio,sticker maker,video editormaker,canva design,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/canva-design-photo-video/id897446215?uo=4
19,Moovit: Public Transport Live,Trending,Moovit App Global LTD,Navigation,4.06626,40298,2012-02-26,Free,bus,moovit,metro,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,moovit public,metro bus,paris metro,story metro,barcelona metro,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/moovit-public-transport-live/id498477945?uo=4
20,bit ביט,Trending,Bank Hapoalim,Finance,4.44338,95644,2016-12-18,Free,bit,כסף,מקבלים,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bitlife,beat maker,life simulator,maker pro,drum pad,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/il/app/bit-%D7%91%D7%99%D7%98/id1182007739?uo=4
21,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.5217,2074,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,rental agreement,agreement,genius sign,toolbox for,safe rental,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/il/app/netshort-popular-dramas-tv/id6504849169?uo=4
22,Cal כאל,Trending,Cal - Israel Credit Cards LTD,Finance,4.61598,53740,2013-01-06,Free,את,לכם,באפליקציה,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,crazy voices,card battle,shared calendar,battle tcg,black deck,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/il/app/cal-%D7%9B%D7%90%D7%9C/id586226158?uo=4
23,Rav-Kav Online רב-קו אונליין,Trending,Pcentra Ltd.,Utilities,4.32168,5605,2019-09-20,Free,rav,kav,public,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hopon ravpass,hopon ravkav,ravkav online,moovit public,public transport,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/il/app/rav-kav-online-%D7%A8%D7%91-%D7%A7%D7%95-%D7%90%D7%95%D7%A0%D7%9C%D7%99%D7%99%D7%9F/id1468252492?uo=4
