Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.8634,3287,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,chatgpt,the bear,for kids,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/is/app/chatgpt/id6448311069?uo=4
2,Hljóðbókasafn Íslands,Trending,Hljodbokasafn Islands,Book,0.0,0,2024-11-05,Free,að,á,sem,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,voltcraft sem6000,semrush,sem6000,prime video,amazon prime,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/is/app/hlj%C3%B3%C3%B0b%C3%B3kasafn-%C3%ADslands/id6737259752?uo=4
3,Olís – ÓB,Trending,Olís ehf,Utilities,2.5625,16,2025-01-23,Free,olís,ób,og,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,olis food,mobile sherpa,olis mobile,ols deildin,lange qa,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/is/app/ol%C3%ADs-%C3%B3b/id6468988553?uo=4
4,Humble,Trending,Humble ehf,Food & Drink,4.28571,14,2023-05-24,Free,að,humble,og,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/is/app/humble/id1660057419?uo=4
5,Threads,Trending,"Instagram, Inc.",Social Networking,4.59875,319,2023-12-14,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram,threads,followmeter for,plus insta,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/is/app/threads/id6446901002?uo=4
6,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.67177,457,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,bookingcom travel,capitalcom trading,temu,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/is/app/temu-shop-like-a-billionaire/id1641486558?uo=4
7,Icelandair,Trending,Icelandair ehf.,Travel,4.80044,1358,2019-12-05,Free,saga,journey,flight,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,journey routes,junes journey,sljourney planner,book flights,and flight,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/is/app/icelandair/id1471993490?uo=4
8,Ísland.is - Stafrænt Ísland,Trending,Stafrænt Ísland,Lifestyle,3.5,34,2022-03-04,Free,ísland,information,service,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,radio live,nova iceland,live player,iceland radio,icelandic sland,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/is/app/%C3%ADsland-is-stafr%C3%A6nt-%C3%ADsland/id1569828682?uo=4
9,N1 - Alla leið,Trending,N1 ehf.,Business,3.14286,14,2022-08-31,Free,er,n1,að,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,homer fun,transformer your,infinite crafter,voice changer,crafter alchemy,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/is/app/n1-alla-lei%C3%B0/id1596077029?uo=4
10,UK ETA,Trending,Home Office,Utilities,0.0,0,2023-10-23,Free,uk,travel,eta,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,eta smart,ivisa eta,eta navaggio,eta evisa,australianeta,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/is/app/uk-eta/id6444912481?uo=4
11,Parka.is,Trending,Parka Lausnir ehf.,Travel,2.13208,53,2019-09-05,Free,parka,offers,fast,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,app offers,parkais,offers,wholesale iceland,costco wholesale,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/is/app/parka-is/id1473139377?uo=4
12,Landspítali,Trending,Landspitali,Medical,2.40909,22,2020-12-03,Free,og,er,sem,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,homer fun,transformer your,infinite crafter,voice changer,crafter alchemy,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/is/app/landsp%C3%ADtali/id1541865121?uo=4
13,indó,Trending,Indo sparisjoður hf.,Finance,4.73973,73,2022-09-28,Free,ekki,indó,fyrir,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,smstund fyrir,fyrir brn,fyrir vinnustund,fyrir,indo webcams,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/is/app/ind%C3%B3/id1482604767?uo=4
14,Uber - Request a ride,Trending,"Uber Technologies, Inc.",Travel,4.89614,5325,2011-07-09,Free,uber,travel,ride,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ride electric,ride food,taxi ride,ride memories,ride,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/is/app/uber-request-a-ride/id368677368?uo=4
15,Google - More ways to search,Trending,Google,Utilities,4.50446,785,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google sheets,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/is/app/google-more-ways-to-search/id284815942?uo=4
16,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.88426,864,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bolt sort,bolt food,bolt browser,bolt request,ride electric,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/is/app/bolt-request-a-ride/id675033630?uo=4
17,Auðkenni,Trending,Auðkenni ehf,Business,2.52632,19,2021-01-19,Free,á,og,auðkenni,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,prime video,amazon prime,fun games,mask fun,colouring book,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/is/app/au%C3%B0kenni/id1530922294?uo=4
18,Golf GameBook: Scorecard & GPS,Trending,GameBook Oy,Sports,4.7919,173,2011-07-24,Free,golf,friends,course,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,trackman golf,wgt golf,stickman golf,golfing simulator,golfbox app,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/is/app/golf-gamebook-scorecard-gps/id409307935?uo=4
19,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.71322,12731,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok videos,tiktok studio,tiktok video,save tiktok,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/is/app/tiktok-videos-music-live/id835599320?uo=4
20,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.63192,7781,2011-10-14,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,whatsapp,watchapp for,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/is/app/whatsapp-messenger/id310633997?uo=4
