Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.83464,7027,2023-05-24,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,100 latest,web latest,latest version,chatgpt,latest,100,100,100,90,90,https://apps.apple.com/jm/app/chatgpt/id6448311069?uo=4
2,Life360: Find Family & Friends,Trending,Life360,Social Networking,4.7642,933,2010-08-10,Free,life360,location,family,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,life360 find,find family,phone location,location finder,track location,100,100,100,100,100,https://apps.apple.com/jm/app/life360-find-family-friends/id384830320?uo=4
3,Threads,Trending,"Instagram, Inc.",Social Networking,4.54176,2682,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,https guard,unicorn https,instagram,threads,100,100,100,90,90,https://apps.apple.com/jm/app/threads/id6446901002?uo=4
4,Google - More ways to search,Trending,Google,Utilities,4.59761,4344,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google docs,google chrome,google drive,word search,100,100,100,100,100,https://apps.apple.com/jm/app/google-more-ways-to-search/id284815942?uo=4
5,Amazon - Shopping made easy,Trending,AMZN Mobile LLC,Shopping,4.71554,6152,2010-11-14,Free,amazon,notice,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,amazon prime,amazon fire,amazon alexa,noticedaily forecasts,weather noticedaily,100,100,100,100,100,https://apps.apple.com/jm/app/amazon-shopping-made-easy/id297606951?uo=4
6,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.59342,3072,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,capitalcom trading,alibabacom b2b,dictionarycom english,bookingcom travel,100,100,100,100,100,https://apps.apple.com/jm/app/capcut-photo-video-editor/id1500855883?uo=4
7,Google Maps,Trending,Google,Navigation,4.67476,6875,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real cash,100,100,100,100,100,https://apps.apple.com/jm/app/google-maps/id585027354?uo=4
8,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.58046,6898,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,sheinshopping,aliexpress shopping,trade app,trendy shopping,100,90,75,75,75,https://apps.apple.com/jm/app/shein-shopping-online/id878577184?uo=4
9,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.85714,322,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,use with,data,1tb cloud,google sheets,microsoft excel,100,90,75,75,75,https://apps.apple.com/jm/app/telegram-messenger/id686449807?uo=4
10,Netflix,Trending,"Netflix, Inc.",Entertainment,4.69782,10305,2011-12-14,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,game netflix,for netflix,for privacysecurity,netflix,privacysecurity,100,100,100,90,90,https://apps.apple.com/jm/app/netflix/id363590051?uo=4
