Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ジハンピ,Trending,SUNTORY BEVERAGE SOLUTION LIMITED,Food & Drink,4.8553,93226,2024-11-29,無料,ピ,ジハンピ,ジハンピの６つの特徴,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,prequel,wifiwifi,pantry,,,65.0,65.0,65.0,,,https://apps.apple.com/jp/app/%E3%82%B8%E3%83%8F%E3%83%B3%E3%83%94/id6667104573?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.79826,696167,2023-05-25,無料,openai,chatgpt,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,https traffic,unicorn https,https,1111 faster,spider proxy,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/jp/app/chatgpt/id6448311069?uo=4
3,Google Gemini,Trending,Google,Productivity,4.62518,141576,2024-11-13,無料,gemini,google,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google gemini,google chrome,simeji ai,gemini,google,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/jp/app/google-gemini/id6477489729?uo=4
4,マツキヨココカラ公式アプリ,Trending,株式会社マツキヨココカラ&カンパニー,Shopping,4.18924,18897,2024-01-29,無料,オフクーポンがもらえる,ミッション,マツキヨココカラ公式アプリ,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mission chief,chief,mission,,,75.0,65.0,65.0,,,https://apps.apple.com/jp/app/%E3%83%9E%E3%83%84%E3%82%AD%E3%83%A8%E3%82%B3%E3%82%B3%E3%82%AB%E3%83%A9%E5%85%AC%E5%BC%8F%E3%82%A2%E3%83%97%E3%83%AA/id6451037644?uo=4
5,マイナポータル,Trending,デジタル庁,Utilities,1.59293,27941,2019-10-20,無料,マイナポータル,デジタル庁が提供する,マイナポータルアプリ,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,teruko,freee,,,,65.0,65.0,,,,https://apps.apple.com/jp/app/%E3%83%9E%E3%82%A4%E3%83%8A%E3%83%9D%E3%83%BC%E3%82%BF%E3%83%AB/id1476359069?uo=4
6,ジャングリア沖縄オフィシャルアプリ,New Discovery,株式会社ジャパンエンターテイメント,Entertainment,5.0,7,2025-07-07,無料,ジャングリア沖縄オフィシャルアプリ,本アプリは,沖縄北部に誕生する新しいテーマパーク,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/jp/app/%E3%82%B8%E3%83%A3%E3%83%B3%E3%82%B0%E3%83%AA%E3%82%A2%E6%B2%96%E7%B8%84%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B7%E3%83%A3%E3%83%AB%E3%82%A2%E3%83%97%E3%83%AA/id6745585445?uo=4
7,EXPO 2025 Visitors,Trending,2025年日本国際博覧会協会,Entertainment,2.34483,899,2024-09-17,無料,expo,大阪,expo2025デジタルチケットサイトに遷移し,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,expo 2025,2025 visitors,visitors,expo,navitime,75.0,75.0,65.0,65.0,65.0,https://apps.apple.com/jp/app/expo-2025-visitors/id6511230177?uo=4
8,Threads,Trending,"Instagram, Inc.",Social Networking,4.36114,187075,2023-07-05,無料,https,com,instagram,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,https traffic,unicorn https,imagesplit instagram,https,tripcom,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/jp/app/threads/id6446901002?uo=4
9,おぢポ - 歩いてポイントを貯めるポイ活アプリ,Trending,ALBONA,Lifestyle,4.28165,12338,2025-01-16,無料,おぢポ,歩いてポイントを貯めるポイ活アプリ,累計100万ダウンロード突破,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/jp/app/%E3%81%8A%E3%81%A2%E3%83%9D-%E6%AD%A9%E3%81%84%E3%81%A6%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%88%E3%82%92%E8%B2%AF%E3%82%81%E3%82%8B%E3%83%9D%E3%82%A4%E6%B4%BB%E3%82%A2%E3%83%97%E3%83%AA/id6739317104?uo=4
10,Temu: 億万長者気分でお買い物,Trending,Temu,Shopping,4.28267,140154,2022-08-31,無料,temu,https,www,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,https traffic,unicorn https,https,1111 faster,spider proxy,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/jp/app/temu-%E5%84%84%E4%B8%87%E9%95%B7%E8%80%85%E6%B0%97%E5%88%86%E3%81%A7%E3%81%8A%E8%B2%B7%E3%81%84%E7%89%A9/id1641486558?uo=4
11,Google アプリ,Trending,Google,Utilities,4.33798,645708,2019-02-12,無料,google,https,発見,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,https traffic,unicorn https,google,https,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/jp/app/google-%E3%82%A2%E3%83%97%E3%83%AA/id284815942?uo=4
12,iAEON（アイイオン）,Trending,イオンスマートテクノロジー株式会社,Finance,4.16734,89994,2021-08-31,無料,aeon,ポイントがたまる,つかえる,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,aeon card,iaeon,aeon,aeon15ai,card mobile,100.0,90.0,90.0,90.0,75.0,https://apps.apple.com/jp/app/iaeon-%E3%82%A2%E3%82%A4%E3%82%A4%E3%82%AA%E3%83%B3/id1565489157?uo=4
13,スギサポwalk+,New Discovery,"SUGI WELLNESS CO., LTD.",Health & Fitness,2.41935,62,2025-05-26,無料,スギサポwalk,毎日の歩数目標を達成したり,健康チャレンジに体重,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,gym trainer,fitonomy home,home,trainer,fitonomy,75.0,75.0,65.0,65.0,65.0,https://apps.apple.com/jp/app/%E3%82%B9%E3%82%AE%E3%82%B5%E3%83%9Dwalk/id6737874561?uo=4
14,マクドナルド,Trending,日本マクドナルド株式会社,Food & Drink,4.50896,166574,2011-06-17,無料,step,pay,ログイン,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,step sports,pay au,step,stepz,paypal,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/jp/app/%E3%83%9E%E3%82%AF%E3%83%89%E3%83%8A%E3%83%AB%E3%83%89/id413618155?uo=4
15,Coke ON(コークオン),Trending,Coca-Cola,Food & Drink,4.64037,1559995,2016-04-07,無料,coke,pay,コカ,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,coke factory,coke on,pay au,coke,paypal,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/jp/app/coke-on-%E3%82%B3%E3%83%BC%E3%82%AF%E3%82%AA%E3%83%B3/id1088184021?uo=4
16,チョコザップ - 1日5分のちょいトレ＋健康習慣アプリ,Trending,RIZAP株式会社,Health & Fitness,4.21126,79766,2022-04-17,無料,チョコザップ,chocozap,chocozap チョコザップ,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hello cycling,fitnessjourney,cycling,locari,hello,75.0,65.0,65.0,65.0,65.0,https://apps.apple.com/jp/app/%E3%83%81%E3%83%A7%E3%82%B3%E3%82%B6%E3%83%83%E3%83%97-1%E6%97%A55%E5%88%86%E3%81%AE%E3%81%A1%E3%82%87%E3%81%84%E3%83%88%E3%83%AC-%E5%81%A5%E5%BA%B7%E7%BF%92%E6%85%A3%E3%82%A2%E3%83%97%E3%83%AA/id1613682287?uo=4
17,TikTok Lite,Trending,TikTok Ltd.,Entertainment,4.8318,747536,2023-06-09,無料,tiktok,lite,tiktokliteには,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktok lite,tiktok studio,tiktok video,save tiktok,m lite,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/jp/app/tiktok-lite/id6447160980?uo=4
18,Trip.com-航空券･ホテルの予約はトリップドットコムで,Trending,Trip.com Travel Singapore Pte. Ltd.,Travel,4.51572,45835,2013-08-05,無料,trip,航空券,ホテル,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tripcom,bookingcom,tabiori,biglobe,,90.0,65.0,65.0,65.0,,https://apps.apple.com/jp/app/trip-com-%E8%88%AA%E7%A9%BA%E5%88%B8-%E3%83%9B%E3%83%86%E3%83%AB%E3%81%AE%E4%BA%88%E7%B4%84%E3%81%AF%E3%83%88%E3%83%AA%E3%83%83%E3%83%97%E3%83%89%E3%83%83%E3%83%88%E3%82%B3%E3%83%A0%E3%81%A7/id681752345?uo=4
19,GO タクシーが呼べるアプリ,Trending,GO Inc.,Travel,4.67058,738941,2017-09-12,無料,go,順次エリア拡大予定,台東区,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,gogo,uber taxi,uber,pokmon,taxi,90.0,75.0,65.0,65.0,65.0,https://apps.apple.com/jp/app/go-%E3%82%BF%E3%82%AF%E3%82%B7%E3%83%BC%E3%81%8C%E5%91%BC%E3%81%B9%E3%82%8B%E3%82%A2%E3%83%97%E3%83%AA/id1254341709?uo=4
20,DAISOアプリ,Trending,株式会社大創産業,Shopping,1.7751,3566,2024-02-26,無料,daisoアプリ,お買い物をお楽しみください,お探しの商品の在庫を検索できる,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lng sn,daiso,stockx,,,75.0,65.0,65.0,,,https://apps.apple.com/jp/app/daiso%E3%82%A2%E3%83%97%E3%83%AA/id6466987025?uo=4
21,コメダ珈琲店,Trending,"KOMEDA CO.,LTD.",Food & Drink,4.62019,43039,2023-08-05,無料,コメダ珈琲店,コメダが大切にしている,くつろぎ,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hello cycling,alarm clock,clock sleep,radio calm,window gardenlofi,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/jp/app/%E3%82%B3%E3%83%A1%E3%83%80%E7%8F%88%E7%90%B2%E5%BA%97/id1667214457?uo=4
22,Microsoft Teams,Trending,Microsoft Corporation,Business,4.46652,398415,2016-11-02,無料,microsoft,teams,microsoft teams,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/jp/app/microsoft-teams/id1113153706?uo=4
