Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.85848,27933,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,the bear,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/ke/app/chatgpt/id6448311069?uo=4
2,MovieBox – Movie & TV Shows,New Discovery,Sanchi Shukla,Entertainment,4.55765,477,2025-06-10,Free,moviebox,membership,series,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hbox movies,movies box,hub cinema,stream drama,drama shorts,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ke/app/moviebox-movie-tv-shows/id6746546850?uo=4
3,Sulu Cash - Your Reliable Loan,New Discovery,JIRANI LABS LIMITED,Finance,4.5,40,2025-06-10,Free,cash,sulu,pesa,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cash loan,cashnowsafe loan,chapeo cash,easy cash,sen sulu,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ke/app/sulu-cash-your-reliable-loan/id6746154738?uo=4
4,Google Maps,Trending,Google,Navigation,4.82071,37735,2012-12-13,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,maps gps,mapsme offline,offline maps,maps,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ke/app/google-maps/id585027354?uo=4
5,Threads,Trending,"Instagram, Inc.",Social Networking,4.66076,4460,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,https guard,unicorn https,https traffic,instagrambeat,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ke/app/threads/id6446901002?uo=4
6,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.61318,5646,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,video editor,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ke/app/capcut-photo-video-editor/id1500855883?uo=4
7,Google - More ways to search,Trending,Google,Utilities,4.73289,17738,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job search,camera remote,search,camera,shopping made,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/ke/app/google-more-ways-to-search/id284815942?uo=4
8,M-PESA,Trending,Safaricom Limited,Finance,4.70722,32451,2021-01-25,Free,pesa,pay,money,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,littlepesa mobile,mpesa for,sportpesa kenya,paypal business,manage pay,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ke/app/m-pesa/id1496784664?uo=4
9,Gmail - Email by Google,Trending,Google,Productivity,4.80094,16427,2011-11-02,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for gmail,organised email,yahoo mail,zoho mail,email and,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ke/app/gmail-email-by-google/id422689480?uo=4
10,Microsoft Teams,Trending,Microsoft Corporation,Business,4.81196,9525,2016-11-02,Free,microsoft,teams,microsoft teams,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,microsoft teams,teams,scanner app,xender file,google meet,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ke/app/microsoft-teams/id1113153706?uo=4
