Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.87188,25102,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest deals,compare latest,web latest,latest version,chatgpt,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/kg/app/chatgpt/id6448311069?uo=4
2,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.51729,1734,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,capitalcom trading,alibabacom b2b,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/kg/app/temu-shop-like-a-billionaire/id1641486558?uo=4
3,Threads,Trending,"Instagram, Inc.",Social Networking,4.80475,7836,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,https guard,unicorn https,threads,https,simplest journal,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/kg/app/threads/id6446901002?uo=4
4,Tunduk,Trending,SE «Electronic interoperability center«TUNDUK»,Social Networking,3.7539,1219,2020-09-23,Free,tunduk,приложение,в,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tunduk gov,tunduk,jorgo taxi,simbank,jorgo,100.0,90.0,75.0,65.0,65.0,https://apps.apple.com/kg/app/tunduk/id1533035059?uo=4
5,"2GIS: Map, Navigation, Tracker",Trending,"LLC ""DoubleGIS""",Navigation,4.89699,35668,2012-06-04,Free,2gis,map,bus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,2gis map,map navigation,google maps,yandex maps,navigation maps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/kg/app/2gis-map-navigation-tracker/id481627348?uo=4
6,Simbank - мобайл банк онлайн,Trending,Dos Credobank,Finance,4.64783,1062,2024-08-23,Free,и,в,карту,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,jorgo taxi,pay ps,mashinakg,tunduk,odnoklassniki,75.0,75.0,65.0,65.0,65.0,https://apps.apple.com/kg/app/simbank-%D0%BC%D0%BE%D0%B1%D0%B0%D0%B9%D0%BB-%D0%B1%D0%B0%D0%BD%D0%BA-%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD/id6499126462?uo=4
7,Yandex Go: Taxi Food Delivery,Trending,Mikromobilnost doo,Travel,4.91995,229052,2012-06-03,Free,yandex,delivery,scooters,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,food delivery,pizza delivery,delivery service,grocery delivery,binbin scooters,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/kg/app/yandex-go-taxi-food-delivery/id472650686?uo=4
8,lalafo: AI Online Marketplace,Trending,Yalla Classifieds,Shopping,4.58948,11325,2015-12-07,Free,və,и,za,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mitoza,crust crusaders,kvalita penny,kvalita,ilmihal,90.0,75.0,75.0,65.0,65.0,https://apps.apple.com/kg/app/lalafo-ai-online-marketplace/id1063347253?uo=4
9,VPNIFY - Unlimited VPN,Trending,Neonetworks solution ltd,Utilities,4.75023,12111,2020-07-31,Free,vpn,vpnify,unlimited,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,turbo vpn,vpn super,vpn proxy,unlimited vpn,vpn private,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/kg/app/vpnify-unlimited-vpn/id1503251395?uo=4
10,Мой О! + Банк,Trending,NUR Telecom LLC,Utilities,4.71473,32029,2017-08-22,Free,и,в,о,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,jorgo taxi,mashinakg,tunduk,odnoklassniki,taxi,75.0,65.0,65.0,65.0,65.0,https://apps.apple.com/kg/app/%D0%BC%D0%BE%D0%B9-%D0%BE-%D0%B1%D0%B0%D0%BD%D0%BA/id1257075492?uo=4
