Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Boxed Words Hive,New Discovery,Bin Shamsudin Janatu Firdaus,Productivity,0.0,0,2025-07-07,Free,tap,letters,words,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wordscapes,documents file,magic tiles,piano game,file manager,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ky/app/boxed-words-hive/id6748330856?uo=4
2,RingoMatch,New Discovery,Ulku BAKIRCIOGLU,Productivity,0.0,0,2025-07-07,Free,color,match,correct,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,color widgets,color colour,color bump,happy color,correct button,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ky/app/ringomatch/id6748320847?uo=4
3,手机克隆-换机助手&安云手机换机,Trending,泉东 葛,Utilities,0.0,0,2024-07-28,Free,换新手机,照片,视频,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,3d fun,video creator,hug video,race ball,ball 3d,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ky/app/%E6%89%8B%E6%9C%BA%E5%85%8B%E9%9A%86-%E6%8D%A2%E6%9C%BA%E5%8A%A9%E6%89%8B-%E5%AE%89%E4%BA%91%E6%89%8B%E6%9C%BA%E6%8D%A2%E6%9C%BA/id6560117810?uo=4
4,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,5.0,11,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,behavior agreement,tenancy agreement,rental agreement,netshort,agreement,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ky/app/netshort-popular-dramas-tv/id6504849169?uo=4
5,Documents : Media File Manager,Trending,Stephan Cullmann,Productivity,0.0,0,2022-02-23,Free,files,documents,file,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dropbox files,share files,documents file,and documents,file manager,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ky/app/documents-media-file-manager/id1608680479?uo=4
6,Fasty Food Drive,Trending,khalil hammoud,Food & Drink,0.0,0,2023-09-04,Free,application,de,vous,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,rendezvous,protgezvous,simulator flywings,camera360selfie editor,dominoes jogatina,90.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ky/app/fasty-food-drive/id6452084597?uo=4
7,惠花米-优惠购物省钱返利应用,Trending,"Xingta Network Technology (Shanghai) Co., Ltd.",Utilities,0.0,0,2022-11-21,Free,惠花米,用惠花米,优惠购物省钱返利应用,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/ky/app/%E6%83%A0%E8%8A%B1%E7%B1%B3-%E4%BC%98%E6%83%A0%E8%B4%AD%E7%89%A9%E7%9C%81%E9%92%B1%E8%BF%94%E5%88%A9%E5%BA%94%E7%94%A8/id6443833826?uo=4
8,湘菜食谱 - 八大菜系之湖南菜系美食辣味食谱大全,Trending,浩杰 姬,Food & Drink,0.0,0,2023-02-01,Free,湘菜食谱,八大菜系之湖南菜系美食辣味食谱大全,湘菜,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/ky/app/%E6%B9%98%E8%8F%9C%E9%A3%9F%E8%B0%B1-%E5%85%AB%E5%A4%A7%E8%8F%9C%E7%B3%BB%E4%B9%8B%E6%B9%96%E5%8D%97%E8%8F%9C%E7%B3%BB%E7%BE%8E%E9%A3%9F%E8%BE%A3%E5%91%B3%E9%A3%9F%E8%B0%B1%E5%A4%A7%E5%85%A8/id1669006195?uo=4
9,优摩-上门按摩养生优选服务约单平台,Trending,上海世爵网络科技有限公司,Lifestyle,0.0,0,2023-11-01,Free,优摩,上门按摩养生优选服务约单平台,优摩是以客户至上为经营理念新型上门按摩平台,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,umeheal,,,,,65.0,,,,,https://apps.apple.com/ky/app/%E4%BC%98%E6%91%A9-%E4%B8%8A%E9%97%A8%E6%8C%89%E6%91%A9%E5%85%BB%E7%94%9F%E4%BC%98%E9%80%89%E6%9C%8D%E5%8A%A1%E7%BA%A6%E5%8D%95%E5%B9%B3%E5%8F%B0/id1643060526?uo=4
10,ChatGPT,Trending,OpenAI,Productivity,4.84342,562,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,for kids,masha and,gpt assistant,chat gpt,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ky/app/chatgpt/id6448311069?uo=4
11,Google - More ways to search,Trending,Google,Utilities,4.69474,95,2024-01-05,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,word search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ky/app/google-more-ways-to-search/id284815942?uo=4
12,Google Maps,Trending,Google,Navigation,4.74026,616,2016-09-19,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real cash,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ky/app/google-maps/id585027354?uo=4
13,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.48386,31,2022-08-07,Free,reelshort,subscription,movie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,imovie,font candy,cool text,short dramamovie,read best,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ky/app/reelshort-stream-drama-tv/id1636235979?uo=4
14,Airalo: eSIM Travel & Internet,Trending,Airalo,Travel,4.65667,300,2019-10-11,Free,esim,airalo,data,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,your esim,esim travel,holafly esim,prepaid esim,esim unlimited,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ky/app/airalo-esim-travel-internet/id1475911720?uo=4
15,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.84084,2551,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok studio,save tiktok,tiktok videos,tiktok video,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ky/app/tiktok-videos-music-live/id835599320?uo=4
16,Life360: Find Family & Friends,Trending,Life360,Social Networking,4.79775,89,2011-07-10,Free,life360,location,family,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,life360 find,find family,phone location,location finder,life360,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ky/app/life360-find-family-friends/id384830320?uo=4
17,American Airlines,Trending,American Airlines,Travel,4.78946,114,2011-07-10,Free,american,trip,need,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,american airlines,manage trips,book trips,tripcom flight,tripadvisor plan,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ky/app/american-airlines/id382698565?uo=4
18,"Canva: Design, Photo & Video",Trending,Canva,Photo & Video,4.84225,729,2014-10-15,Free,photo,maker,canva,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,collage maker,video editormaker,canva design,maker,editormaker,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ky/app/canva-design-photo-video/id897446215?uo=4
19,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.61905,21,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,center data,data manager,use color,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ky/app/telegram-messenger/id686449807?uo=4
20,Wise,Trending,Wise Payments Ltd,Finance,4.8562,605,2013-10-04,Free,dollar,money,currencies,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dollar tree,every dollar,dollar counts,dollar,money transfer,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/ky/app/wise/id612261027?uo=4
21,Audiomack - Play Music Offline,Trending,"Audiomack, Inc.",Music,4.79565,2021,2014-11-19,Free,music,audiomack,listen,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music and,videos music,find music,play music,music offline,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ky/app/audiomack-play-music-offline/id921765888?uo=4
22,Threads,Trending,"Instagram, Inc.",Social Networking,4.77723,202,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,instagrambeat,instagram,threads,plus insta,100.0,90.0,90.0,90.0,75.0,https://apps.apple.com/ky/app/threads/id6446901002?uo=4
