Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.87772,157765,2023-05-25,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,the bear,ai gptchat,for kids,masha and,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/kz/app/chatgpt/id6448311069?uo=4
2,Micro Drama - Short Drama&Show,Trending,乔丹 俞,Entertainment,4.79167,120,2025-03-24,Free,drama,dramas,micro,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,drama shorts,drama movies,asian drama,stream drama,dramas anime,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/kz/app/micro-drama-short-drama-show/id6738779896?uo=4
3,eGov Mobile,Trending,"Ministry of Digital Development, Innovations and Aerospace Industry",Productivity,4.66378,52849,2019-10-03,Free,egov,и,услуг,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,egov mobile,egov business,egov,iu hnh,janymda beeline,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/kz/app/egov-mobile/id1476128386?uo=4
4,Threads,Trending,"Instagram, Inc.",Social Networking,4.86263,41478,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,https guard,unicorn https,instagram,https,letoai add,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/kz/app/threads/id6446901002?uo=4
5,Freedom SuperApp,Trending,Bank Freedom Finance Kazakhstan,Finance,4.83305,17935,2024-03-28,Free,freedom,және,мен,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,menfolks club,club barbershop,club,barbershop,menfolks,75.0,75.0,65.0,65.0,65.0,https://apps.apple.com/kz/app/freedom-superapp/id1619733462?uo=4
6,ЦОН,Trending,GOVERNMENT FOR CITIZENS (gov4c.kz),Productivity,1.82752,545,2021-12-09,Free,цон,в,для,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pdd test,egov mobile,egov business,bcc business,kaspi pay,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/kz/app/%D1%86%D0%BE%D0%BD/id1599591738?uo=4
7,Yandex Go: Taxi Food Delivery,Trending,Mikromobilnost doo,Travel,4.93832,1445526,2011-10-26,Free,yandex,delivery,scooters,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yandex pro,yandex navi,yandex eats,yandex browser,yandex maps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/kz/app/yandex-go-taxi-food-delivery/id472650686?uo=4
8,FlyArystan: әуебилеттер онлайн,Trending,FlyArystan,Travel,3.94507,1238,2020-06-16,Free,flyarystan,flight,tickets,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,flight tickets,flyarystan,tickets,ticketskz,freedom travel,100.0,90.0,90.0,90.0,75.0,https://apps.apple.com/kz/app/flyarystan-%D3%99%D1%83%D0%B5%D0%B1%D0%B8%D0%BB%D0%B5%D1%82%D1%82%D0%B5%D1%80-%D0%BE%D0%BD%D0%BB%D0%B0%D0%B9%D0%BD/id1495170134?uo=4
9,"2GIS: Map, Navigation, Tracker",Trending,"LLC ""DoubleGIS""",Navigation,4.90465,287262,2011-12-18,Free,2gis,map,bus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,2gis map,map navigation,google maps,wifi mapinternet,navigation maps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/kz/app/2gis-map-navigation-tracker/id481627348?uo=4
10,VPNIFY - Unlimited VPN,Trending,Neonetworks solution ltd,Utilities,4.64048,13863,2020-07-31,Free,vpn,vpnify,unlimited,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unlimited vpn,vpn 360,super vpn,vpn proxy,super unlimited,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/kz/app/vpnify-unlimited-vpn/id1503251395?uo=4
