Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.71084,5395,2023-10-31,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,the bear,100,100,90,90.0,75.0,https://apps.apple.com/la/app/chatgpt/id6448311069?uo=4
2,Google Maps,Trending,Google,Navigation,4.65864,9673,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real drum,100,100,100,100.0,100.0,https://apps.apple.com/la/app/google-maps/id585027354?uo=4
3,Google - More ways to search,Trending,Google,Utilities,4.41061,1980,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,job search,100,100,100,100.0,100.0,https://apps.apple.com/la/app/google-more-ways-to-search/id284815942?uo=4
4,BCEL One,Trending,Banque Pour Le Commerce Exterieur Lao Public,Finance,3.76742,933,2013-06-08,Free,bcel,banking,bank,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bcel ibank,bcel one,bcel dashboard,mobile banking,lvb digibank,100,100,100,100.0,100.0,https://apps.apple.com/la/app/bcel-one/id654946527?uo=4
5,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.37437,10364,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,capitalcom trading,alibabacom b2b,bookingcom travel,video community,100,100,100,100.0,100.0,https://apps.apple.com/la/app/capcut-photo-video-editor/id1500855883?uo=4
6,Anousith Express Laos,Trending,"ANOUSITH LOGISTICS CO.,LTD",Productivity,2.54443,90,2022-06-17,Free,item,anousith,tracking,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,smartscanneridentify itempdf,anousith express,cycle tracking,itempdf,anousith,100,100,100,90.0,90.0,https://apps.apple.com/la/app/anousith-express-laos/id1630213306?uo=4
7,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.58853,39228,2012-06-13,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,transfer share,share files,100,100,100,100.0,100.0,https://apps.apple.com/la/app/whatsapp-messenger/id310633997?uo=4
8,Meitu- Photo & Video Editor,Trending,"Xiamen Meitu Technology Co., Ltd.",Photo & Video,4.4743,1187,2012-06-01,Free,meitu,vip,photo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,meitu photo,vip premium,meitu,photo,photo editor,100,100,90,90.0,75.0,https://apps.apple.com/la/app/meitu-photo-video-editor/id416048305?uo=4
9,Gmail - Email by Google,Trending,Google,Productivity,4.63889,1188,2012-07-24,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,for gmail,100,100,100,100.0,100.0,https://apps.apple.com/la/app/gmail-email-by-google/id422689480?uo=4
10,Hypic - Photo Editor & AI Art,Trending,Bytedance Pte. Ltd,Photo & Video,4.64407,118,2023-03-27,Free,ai,photo,hypic,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,beautycamai photo,meitu photo,beautycamai,photo,hypic,100,100,90,90.0,90.0,https://apps.apple.com/la/app/hypic-photo-editor-ai-art/id1644042837?uo=4
