Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.80305,21792,2023-05-25,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,the bear,letter essay,writer email,for kids,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/lb/app/chatgpt/id6448311069?uo=4
2,Whish Money,Trending,TECFRAC,Finance,4.18778,426,2018-08-10,Free,whish,money,services,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,whish money,money transfer,money games,tycoon money,make money,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lb/app/whish-money/id1284243483?uo=4
3,Google Maps,Trending,Google,Navigation,4.62559,27956,2013-03-05,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,bereal photos,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lb/app/google-maps/id585027354?uo=4
4,Threads,Trending,"Instagram, Inc.",Social Networking,3.61521,3997,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,https traffic,unicorn https,instagram,threads,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/lb/app/threads/id6446901002?uo=4
5,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.4898,2991,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,aliexpress shopping,shopping app,sheinshopping,shopping,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/lb/app/shein-shopping-online/id878577184?uo=4
6,GoodShort - Movies & Dramas,Trending,SINGAPORE NEW READING TECHNOLOGY PTE. LTD.,Entertainment,4.91045,1396,2023-06-12,Free,dramas,goodshort,movies,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,domireelshort dramas,watch dramas,short dramas,movies box,watch movies,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lb/app/goodshort-movies-dramas/id6448176203?uo=4
7,Google - More ways to search,Trending,Google,Utilities,4.43309,6839,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job search,cameraomnipotent camera,pro cameraomnipotent,vintage camera,camera studio,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lb/app/google-more-ways-to-search/id284815942?uo=4
8,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.61795,5248,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editormaker,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lb/app/capcut-photo-video-editor/id1500855883?uo=4
9,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.55856,9290,2011-07-13,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with friends,snapchat chat,for snapchat,shareit transfer,transfer share,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lb/app/snapchat-chat-with-friends/id447188370?uo=4
10,Bump - map for friends,Trending,amo,Social Networking,4.86975,238,2023-12-19,Free,friends,map,bump,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with friends,fruit bump,color bump,friends,bump,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/lb/app/bump-map-for-friends/id6471519217?uo=4
