Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,NGL: ask me anything,Trending,DeepMoji,Lifestyle,4.7755,49,2021-12-10,Free,ngl,link,pro,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ngl ask,anything ngl,word link,family link,tplink tether,100,100,100,100,100,https://apps.apple.com/lc/app/ngl-ask-me-anything/id1596550932?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.8243,461,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,the bear,100,100,90,90,75,https://apps.apple.com/lc/app/chatgpt/id6448311069?uo=4
3,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.41026,39,2022-08-07,Free,reelshort,subscription,movie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,reelshort,imovie,popular dramas,short dramamovie,watch dramas,90,90,75,75,75,https://apps.apple.com/lc/app/reelshort-stream-drama-tv/id1636235979?uo=4
4,Twitch: Live Streaming,Trending,"Twitch Interactive, Inc.",Photo & Video,4.51497,167,2011-10-26,Free,twitch,live,whatever,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,twitch live,live streaming,whatever voice,twitch,live,100,100,100,90,90,https://apps.apple.com/lc/app/twitch-live-streaming/id460177396?uo=4
5,Amazon - Shopping made easy,Trending,AMZN Mobile LLC,Shopping,4.66744,424,2011-07-09,Free,amazon,notice,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,amazon prime,amazon fire,amazon alexa,use color,use with,100,100,100,100,100,https://apps.apple.com/lc/app/amazon-shopping-made-easy/id297606951?uo=4
6,Threads,Trending,"Instagram, Inc.",Social Networking,4.58015,131,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,sneaker threads,instagram,threads,followmeter for,100,100,90,90,75,https://apps.apple.com/lc/app/threads/id6446901002?uo=4
7,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.66779,298,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,it build,build and,100,100,100,100,100,https://apps.apple.com/lc/app/whatsapp-business/id1386412985?uo=4
8,Google Maps,Trending,Google,Navigation,4.71174,281,2016-09-19,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,maps gps,mapsme offline,offline maps,real cash,100,100,100,100,100,https://apps.apple.com/lc/app/google-maps/id585027354?uo=4
9,MyDigicel,Trending,Digicel Caribbean Limited,Utilities,2.99065,107,2015-10-28,Free,mydigicel,digicel,account,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mydigicel pacific,mydigicel,payments app,digital payments,eat haiti,100,90,75,75,75,https://apps.apple.com/lc/app/mydigicel/id1039460951?uo=4
10,Google - More ways to search,Trending,Google,Utilities,4.61842,76,2024-01-05,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google classroom,google maps,google drive,google chrome,google photos,100,100,100,100,100,https://apps.apple.com/lc/app/google-more-ways-to-search/id284815942?uo=4
11,Bank of Saint Lucia,Trending,East Caribbean Financial Holding Company Limited,Finance,2.825,40,2020-10-02,Free,bank,saint,lucia,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mobile banking,national bank,saint lucia,saint lucian,lucian radio,100,100,100,100,100,https://apps.apple.com/lc/app/bank-of-saint-lucia/id1484874982?uo=4
12,Netflix,Trending,"Netflix, Inc.",Entertainment,4.69381,565,2011-12-14,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,game netflix,netflix stories,for privacysecurity,netflix,privacysecurity,100,100,100,90,90,https://apps.apple.com/lc/app/netflix/id363590051?uo=4
13,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.78846,104,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,alibabacom,100,100,100,100,90,https://apps.apple.com/lc/app/capcut-photo-video-editor/id1500855883?uo=4
14,Life360: Find Family & Friends,Trending,Life360,Social Networking,4.65385,78,2011-07-10,Free,life360,location,family,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,life360 find,find family,life360,family,location,100,100,90,90,90,https://apps.apple.com/lc/app/life360-find-family-friends/id384830320?uo=4
15,Mix VPN - Fast & Unlimited,Trending,MixVpn,Utilities,0.0,0,2023-09-25,Free,vpn,mix,mix vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vpn lumos,nordvpn vpn,super vpn,vpn fast,secure vpn,100,100,100,100,100,https://apps.apple.com/lc/app/mix-vpn-fast-unlimited/id6463403383?uo=4
16,Pinterest: Lifestyle Ideas,Trending,Pinterest,Lifestyle,4.82218,956,2011-07-10,Free,pinterest,ideas,inspiration,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lifestyle ideas,key ideas,bible inspirations,daily inspiration,ideas,100,100,100,100,90,https://apps.apple.com/lc/app/pinterest-lifestyle-ideas/id429047995?uo=4
17,"PayPal - Send, Manage, Pay",Trending,"PayPal, Inc.",Finance,4.58491,212,2019-02-03,Free,paypal,pay,credit,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,paypal business,manage pay,credit union,choiseul credit,paypal,100,100,100,100,90,https://apps.apple.com/lc/app/paypal-send-manage-pay/id283646709?uo=4
18,DramaBox - Stream Drama Shorts,Trending,STORYMATRIX PTE. LTD.,Entertainment,4.69613,181,2023-04-18,Free,dramabox,something,content,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,learn something,something new,burn something,something with,the content,100,100,100,100,100,https://apps.apple.com/lc/app/dramabox-stream-drama-shorts/id6445905219?uo=4
19,GloryFit,Trending,"Shenzhen Ultra Easy Technology Co., Ltd.",Health & Fitness,5.0,1,2017-05-18,Free,health,sleep,data,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sleep tracker,shuteye sleep,calm sleep,sleep,data,100,100,100,90,90,https://apps.apple.com/lc/app/gloryfit/id1237479843?uo=4
20,ClipTone: Ringtone & AI Cover,Trending,BUD Technologies,Music,4.2,5,2024-11-06,Free,subscription,cliptone,ringtone,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cliptone ringtone,garage ringtones,ringtones for,ringtone maker,ringtone makercustomize,100,100,100,100,100,https://apps.apple.com/lc/app/cliptone-ringtone-ai-cover/id6737531446?uo=4
21,Bible,Trending,Life.Church,Reference,4.8341,1953,2019-02-12,Free,bible,friends,verse,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,holy bible,bible offline,bible chat,bible king,bible verse,100,100,100,100,100,https://apps.apple.com/lc/app/bible/id282935706?uo=4
22,Truecaller: Caller ID & Block,Trending,True Software Scandinavia AB,Utilities,4.125,16,2011-07-12,Free,truecaller,spam,call,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,truecaller caller,spam blocker,hiya spam,video call,truecaller,100,100,100,100,90,https://apps.apple.com/lc/app/truecaller-caller-id-block/id448142450?uo=4
23,SoundCloud: The Songs You Love,Trending,SoundCloud Global Limited & Co KG,Music,4.67513,197,2011-07-09,Free,soundcloud,music,songs,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,soundcloud the,the songs,songs you,music and,videos music,100,100,100,100,100,https://apps.apple.com/lc/app/soundcloud-the-songs-you-love/id336353151?uo=4
24,Caller App : Caller ID & Block,Trending,Goyani Bharatbhai,Utilities,4.16667,6,2024-09-19,Free,caller,id,caller id,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,truecaller caller,viewcaller caller,caller idtrue,idtrue name,truecaller,100,100,100,100,90,https://apps.apple.com/lc/app/caller-app-caller-id-block/id6670745092?uo=4
25,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.82679,1732,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok videos,tiktok studio,tiktok video,save tiktok,100,100,100,100,100,https://apps.apple.com/lc/app/tiktok-videos-music-live/id835599320?uo=4
26,Bible Chat: The Holy Scripture,Trending,Bookvitals APP SRL,Reference,4.92453,53,2023-05-11,Free,bible,faith,scripture,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,holy bible,bible offline,bible chat,bible king,bible verse,100,100,100,100,100,https://apps.apple.com/lc/app/bible-chat-the-holy-scripture/id6448849666?uo=4
27,Retra - app console emulator,New Discovery,MODERN DEV LP,Entertainment,0.0,0,2025-06-12,Free,retra,support,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,retra uwt,apple support,teamviewer quicksupport,and support,retra,100,100,100,100,90,https://apps.apple.com/lc/app/retra-app-console-emulator/id6746222411?uo=4
28,YouTube,Trending,Google,Photo & Video,4.64065,5944,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for youtube,youtube video,safe youtube,youtube studio,youtube channel,100,100,100,100,100,https://apps.apple.com/lc/app/youtube/id544007664?uo=4
29,TV Remote - Universal,Trending,Zap Software Studio BV,Utilities,4.5,18,2023-02-10,Free,tv,remote,universal,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,remote for,universal remote,camera remote,universal control,universal remotetv,100,100,100,100,100,https://apps.apple.com/lc/app/tv-remote-universal/id1670649189?uo=4
30,West Tech Shipping,Trending,West Tecnology Group Inc,Shopping,2.35,20,2018-06-07,Free,west,tech,shipping,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tech shipping,shipping manager,all shipping,shipping,online shop,100,100,100,90,75,https://apps.apple.com/lc/app/west-tech-shipping/id1385081295?uo=4
31,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.64299,549,2011-07-13,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with friends,snapchat chat,for snapchat,friends,snapchat,100,100,100,90,90,https://apps.apple.com/lc/app/snapchat-chat-with-friends/id447188370?uo=4
32,Playlet: Watch Short Dramas&TV,Trending,MicroShowtime Limited,Entertainment,4.92856,14,2023-12-04,Free,playlet,dramas,go,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,playlet watch,watch dramas,playlet,dramas,hiiplayshort dramashort,100,100,90,90,75,https://apps.apple.com/lc/app/playlet-watch-short-dramas-tv/id6469587141?uo=4
33,X,Trending,X Corp.,News,4.66604,1072,2011-07-09,Free,x,content,join,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,the content,content cloud,content,1tb cloud,transfer files,100,100,90,75,75,https://apps.apple.com/lc/app/x/id333903271?uo=4
34,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.63591,412,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,sheinshopping,fashion story,aliexpress shopping,trade app,100,90,75,75,75,https://apps.apple.com/lc/app/shein-shopping-online/id878577184?uo=4
35,Audiomack - Play Music Offline,Trending,"Audiomack, Inc.",Music,4.75033,2247,2014-11-19,Free,music,audiomack,listen,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music and,videos music,find music,play music,music offline,100,100,100,100,100,https://apps.apple.com/lc/app/audiomack-play-music-offline/id921765888?uo=4
36,Microsoft Word,Trending,Microsoft Corporation,Productivity,4.6406,537,2014-03-27,Free,microsoft,word,edit,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,microsoft onedrive,microsoft 365,microsoft excel,microsoft teams,microsoft outlook,100,100,100,100,100,https://apps.apple.com/lc/app/microsoft-word/id586447913?uo=4
37,ShortMax - Watch Dramas & Show,Trending,SHORTTV LIMITED,Entertainment,4.67647,34,2023-09-11,Free,shortmax,dramas,drama,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,watch dramas,drama shorts,stream drama,short dramamovie,shortmax,100,100,100,100,90,https://apps.apple.com/lc/app/shortmax-watch-dramas-show/id6464002625?uo=4
38,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.64706,34,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,behavior agreement,biometric agreement,tenancy agreement,agreement,toolbox for,100,100,100,90,75,https://apps.apple.com/lc/app/netshort-popular-dramas-tv/id6504849169?uo=4
39,Flo Period & Cycles Tracker,Trending,FLO HEALTH UK LIMITED,Health & Fitness,4.64154,650,2015-10-03,Free,flo,health,cycle,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,flo period,flo home,flosports watch,cycles tracker,cycle tracking,100,100,100,100,100,https://apps.apple.com/lc/app/flo-period-cycles-tracker/id1038369065?uo=4
40,Google Drive – online backup,Trending,Google,Productivity,4.64498,707,2012-06-28,Free,google,files,drive,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google classroom,google maps,google drive,google chrome,google photos,100,100,100,100,100,https://apps.apple.com/lc/app/google-drive-online-backup/id507874739?uo=4
41,Ontrai,New Discovery,Region Designs Inc.,Business,5.0,2,2025-05-15,Free,ontrai,delivery,order,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,food delivery,kz order,order food,order please,ontrai,100,100,100,100,90,https://apps.apple.com/lc/app/ontrai/id6742276275?uo=4
42,Amazon Fire TV,Trending,AMZN Mobile LLC,Utilities,4.55808,396,2017-11-07,Free,fire,tv,fire tv,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,free fire,fire max,fire 8th,amazon fire,fire,100,100,100,100,90,https://apps.apple.com/lc/app/amazon-fire-tv/id947984433?uo=4
43,Google Chrome,Trending,Google,Utilities,4.66995,406,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,chrome valley,google classroom,google maps,google drive,100,100,100,100,100,https://apps.apple.com/lc/app/google-chrome/id535886823?uo=4
44,TV Remote - Universal Control,Trending,EVOLLY.APP,Utilities,3.95556,45,2020-11-19,Free,tv,subscription,control,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,universal control,control,stream drama,itunes store,workout fitness,100,90,75,75,75,https://apps.apple.com/lc/app/tv-remote-universal-control/id1539090879?uo=4
45,Zoom Workplace,Trending,"Zoom Communications, Inc.",Business,4.45361,194,2012-08-15,Free,zoom,workplace,zoom workplace,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zoom earth,zoom rooms,zoom workplace,workplace for,workplace from,100,100,100,100,100,https://apps.apple.com/lc/app/zoom-workplace/id546505307?uo=4
46,Spotify: Music and Podcasts,Trending,Spotify,Music,4.6796,2010,2021-02-24,Free,music,spotify,podcasts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music and,videos music,find music,play music,music offline,100,100,100,100,100,https://apps.apple.com/lc/app/spotify-music-and-podcasts/id324684580?uo=4
