Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,MovieBox – Movie & TV Shows,New Discovery,Sanchi Shukla,Entertainment,4.42307,78,2025-06-10,Free,moviebox,membership,series,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,audio series,series shows,web series,drama series,series,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/lr/app/moviebox-movie-tv-shows/id6746546850?uo=4
2,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.52595,289,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,movies box,movies,itunes store,dstv stream,apple podcasts,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/lr/app/moviebox-movies-tv-shows/id6746160403?uo=4
3,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.49627,1072,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lr/app/capcut-photo-video-editor/id1500855883?uo=4
4,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.34483,58,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,paris agreement,behavior agreement,tenancy agreement,netshort,agreement,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/lr/app/netshort-popular-dramas-tv/id6504849169?uo=4
5,"Xender: File Share,Share Music",Trending,Xender Team,Utilities,4.02418,703,2014-08-03,Free,transfer,xender,file,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,money transfer,shareit transfer,transfer share,xender file,transfer,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/lr/app/xender-file-share-share-music/id898129576?uo=4
6,Google - More ways to search,Trending,Google,Utilities,4.64531,437,2024-04-23,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,word search,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lr/app/google-more-ways-to-search/id284815942?uo=4
7,YouTube,Trending,Google,Photo & Video,4.50589,15122,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for youtube,youtube video,safe youtube,youtube studio,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lr/app/youtube/id544007664?uo=4
8,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.42529,1392,2012-06-03,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with friends,friends phone,snapchat chat,for snapchat,file shareshare,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lr/app/snapchat-chat-with-friends/id447188370?uo=4
9,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.77322,9895,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok videos,tiktok studio,tiktok video,save tiktok,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lr/app/tiktok-videos-music-live/id835599320?uo=4
10,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.43152,16282,2012-06-03,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,snapchat chat,with friends,chat with,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/lr/app/messenger/id454638411?uo=4
