Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Opera: AI browser with VPN,Trending,Opera Norway AS,Utilities,4.22696,4115,2020-04-10,Free,browser,opera,browsing,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/ly/app/opera-ai-browser-with-vpn/id1411869974?uo=4
2,نتائج الطلاب برقم الهوية,Trending,FUNOONTECH LLC,Education,1.0,1,2020-04-18,Free,نتائج,نور,الطلاب,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,livescore for,onefootball football,365scores live,football tv,live scores,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ly/app/%D9%86%D8%AA%D8%A7%D8%A6%D8%AC-%D8%A7%D9%84%D8%B7%D9%84%D8%A7%D8%A8-%D8%A8%D8%B1%D9%82%D9%85-%D8%A7%D9%84%D9%87%D9%88%D9%8A%D8%A9/id1383732338?uo=4
3,ChatGPT,Trending,OpenAI,Productivity,4.56656,15149,2023-10-31,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chat 40,gpt assistant,open chatbot,influencer chat,chatai gpt,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ly/app/chatgpt/id6448311069?uo=4
4,Google - More ways to search,Trending,Google,Utilities,4.14865,1480,2024-04-23,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,search,shopping made,google chrome,more ways,truecaller caller,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ly/app/google-more-ways-to-search/id284815942?uo=4
5,Google Maps,Trending,Google,Navigation,4.40252,3806,2020-10-02,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real car,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ly/app/google-maps/id585027354?uo=4
6,Presto,Trending,PRESTOAPP FOR COMPUTER SYSTEMS & COMMUNICATION EQUIPMENT SOFTWARE DESIGN CO,Food & Drink,3.97139,1678,2020-11-25,Free,presto,latest,shop,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,presto partner,presto pizza,presto shop,presto client,prestoman app,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ly/app/presto/id1541482521?uo=4
7,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.52833,2065,2020-04-17,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,use with,telegram,data,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ly/app/telegram-messenger/id686449807?uo=4
8,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.06735,107804,2020-04-10,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/ly/app/facebook/id284882215?uo=4
9,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.36409,7281,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alibabacom b2b,bookingcom travel,photo video,video editor,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ly/app/capcut-photo-video-editor/id1500855883?uo=4
10,Google Chrome,Trending,Google,Utilities,4.04835,4922,2020-04-14,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,chrome valley,chrome,search,duo for,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/ly/app/google-chrome/id535886823?uo=4
11,Truecaller: Caller ID & Block,Trending,True Software Scandinavia AB,Utilities,4.0744,1492,2020-04-10,Free,truecaller,spam,call,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,from truecaller,truecaller caller,who called,trap call,truecaller,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ly/app/truecaller-caller-id-block/id448142450?uo=4
12,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.03599,39531,2020-04-10,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,videos music,connect mena,bein connect,proxy connect,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ly/app/instagram/id389801252?uo=4
13,Threads,Trending,"Instagram, Inc.",Social Networking,3.9575,2706,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram,instrack for,instant save,threads,100.0,90.0,75.0,75.0,65.0,https://apps.apple.com/ly/app/threads/id6446901002?uo=4
14,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.43096,30323,2020-04-09,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat chat,for snapchat,shareit transfer,file shareshare,shareshare music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ly/app/snapchat-chat-with-friends/id447188370?uo=4
15,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.31468,10792,2020-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp online,whatsapp messenger,business suite,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ly/app/whatsapp-business/id1386412985?uo=4
16,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.24674,68001,2020-04-10,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp online,whatsapp messenger,imointernational calls,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ly/app/whatsapp-messenger/id310633997?uo=4
17,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.45275,49754,2020-04-10,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,spotify music,music and,videos,music,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ly/app/tiktok-videos-music-live/id835599320?uo=4
18,YouTube,Trending,Google,Photo & Video,3.9197,54533,2021-03-02,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,youtube music,for youtube,youtube kids,youtube studio,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ly/app/youtube/id544007664?uo=4
19,VPN - Super Unlimited Proxy ™,Trending,Mobile Jump Pte Ltd,Productivity,4.2835,5298,2020-04-12,Free,vpn,servers,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vpn lumos,super vpn,vpn proxy,with vpn,vpn hotspot,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ly/app/vpn-super-unlimited-proxy/id1370293473?uo=4
