Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.73456,3805,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt api,chatgpt,personal assistant,ai powered,resume builder,100,90,75,75.0,75.0,https://apps.apple.com/mm/app/chatgpt/id6448311069?uo=4
2,TikTok-Global Video Community,Trending,TikTok Ltd.,Entertainment,4.71847,20442,2020-08-21,Free,videos,tiktok,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktokglobal video,tiktok studio,tiktok video,save tiktok,mate video,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/tiktok-global-video-community/id1235601864?uo=4
3,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.39212,4111,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alibabacom b2b,tripcom flight,mate video,video downloader,video saver,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/capcut-photo-video-editor/id1500855883?uo=4
4,JumpJumpVPN – Super VPN,Trending,SOON BODYWERKZ AUTO PTE. LTD.,Utilities,4.02525,198,2023-09-26,Free,vpn,jumpjumpvpn,secure,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,now vpn,turbo vpn,best vpn,vpn super,vpn proxy,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/jumpjumpvpn-super-vpn/id6451097052?uo=4
5,Ringtones Maker - the ring app,Trending,苏娟 陈,Productivity,4.61872,2607,2020-04-15,Free,ringtone,iphone,audio,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,garage ringtones,ringtones for,ringtone for,ringtones app,ringtone makercustomize,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/ringtones-maker-the-ring-app/id1358107315?uo=4
6,OmeTV – Video Chat Alternative,Trending,Bad Kitty's Dad,Social Networking,4.72337,817,2022-08-31,Free,ometv,https,chat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,snapchat chat,chat with,ometv,chat,100,100,100,90.0,90.0,https://apps.apple.com/mm/app/ometv-video-chat-alternative/id1252974010?uo=4
7,Rakuten Viber Messenger,Trending,Viber Media SARL.,Social Networking,4.59252,19407,2020-04-10,Free,viber,messages,rakuten,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,connect viber,viber animal,viber messenger,rakuten viber,offline messages,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/rakuten-viber-messenger/id382617920?uo=4
8,Hypic - Photo Editor & AI Art,Trending,Bytedance Pte. Ltd,Photo & Video,4.66492,191,2023-03-27,Free,ai,photo,hypic,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,beautycamai photo,beautycamai,photo,hypic,photo video,100,90,90,90.0,75.0,https://apps.apple.com/mm/app/hypic-photo-editor-ai-art/id1644042837?uo=4
9,Google Maps,Trending,Google,Navigation,4.73194,4749,2020-08-21,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,earth maps,mapsme offline,offline maps,maps gps,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/google-maps/id585027354?uo=4
11,"Grab: Taxi Ride, Food Delivery",Trending,Grab.com,Travel,4.80823,5470,2020-04-10,Free,delivery,grab,food,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,food delivery,ride food,grab taxi,grab driver,grabby grab,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/grab-taxi-ride-food-delivery/id647268330?uo=4
12,Google - More ways to search,Trending,Google,Utilities,4.60863,649,2024-01-05,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,job search,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/google-more-ways-to-search/id284815942?uo=4
13,VPN - Fast VPN Super ™,Trending,TOPAPPS TECH PTE LTD,Productivity,4.59175,11973,2020-10-22,Free,vpn,fast,fast vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,now vpn,turbo vpn,best vpn,vpn super,vpn proxy,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/vpn-fast-vpn-super/id1528940523?uo=4
14,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.98185,2369,2020-04-17,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,daily use,telegram,data,100,100,100,90.0,90.0,https://apps.apple.com/mm/app/telegram-messenger/id686449807?uo=4
15,Music Player for youtube,Trending,Brahim el khoulagui,Utilities,4.51456,4705,2023-11-21,Free,music,player,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music player,offline music,video music,music offline,spotify music,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/music-player-for-youtube/id6470715364?uo=4
16,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.5785,37115,2020-04-10,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for facebook,meet people,beautycamai photo,facebook,people,100,100,100,90.0,90.0,https://apps.apple.com/mm/app/facebook/id284882215?uo=4
17,Gmail - Email by Google,Trending,Google,Productivity,4.65151,1716,2020-04-13,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,for gmail,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/gmail-email-by-google/id422689480?uo=4
18,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.46236,10972,2020-04-10,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mate video,video downloader,video saver,all video,video music,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/messenger/id454638411?uo=4
19,"Offline: Files, Browser, VPN",Trending,SAEED ABDULLAH ALHAJRI,Utilities,4.59699,8491,2021-05-07,Free,digital,browsing,qr,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,digital film,film digital,digital camera,web browsing,digital,100,100,100,100.0,90.0,https://apps.apple.com/mm/app/offline-files-browser-vpn/id1557618225?uo=4
20,MyID – One ID for Everything,Trending,MyTel,Entertainment,3.23192,2281,2020-04-10,Free,myid,change,digital,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,myid channel,myid wallet,digital film,film digital,digital camera,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/myid-one-id-for-everything/id1477175837?uo=4
21,Zapya - File Sharing,Trending,"DewMobile, Inc",Utilities,4.10893,1276,2020-04-10,Free,files,zapya,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,files browser,offline files,dropbox files,device policy,device tracker,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/zapya-file-sharing/id576309271?uo=4
22,WavePay,Trending,Wave Money,Finance,3.81086,571,2020-04-13,Free,payments,wavepay,easily,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,upi payments,wavepay merchant,wavepay agent,chinese easily,clean easilystorage,100,100,100,100.0,100.0,https://apps.apple.com/mm/app/wavepay/id1439175549?uo=4
