Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,U-GO,New Discovery,江西坤轮智能科技有限公司,Lifestyle,0.0,0,2025-06-03,Free,travel,go,vehicle,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vehicle masters,vehicle,google maps,maps gps,mapsme offline,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/mn/app/u-go/id6746634256?uo=4
2,Eco Bike,Trending,Eco Technology LLC,Lifestyle,2.94309,123,2024-05-12,Free,bike,eco,functions,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bike game,dirt bike,moto bike,eco bike,bike unchained,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/mn/app/eco-bike/id6502277571?uo=4
3,JET – scooter sharing,Trending,"Jet Sharing, TOO",Health & Fitness,4.81996,11331,2021-01-25,Free,scooter,rental,rent,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,scooter sharing,touchgrind scooter,sixt rent,rental properties,rent share,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/mn/app/jet-scooter-sharing/id1546127285?uo=4
4,tapa.,Trending,Tapatrip Limited Liability Company,Travel,3.96981,265,2021-06-13,Free,travel,аяллын,гаруй,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,maps gps,mapsme offline,aba mongolia,google translate,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/mn/app/tapa/id1563199559?uo=4
5,Music : Offline Player,New Discovery,Jerome Martinage,Music,4.59052,696,2025-06-12,Free,music,discover,trending,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music play,music and,videos music,video music,spotify music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/mn/app/music-offline-player/id6746770085?uo=4
6,GSign mongolia,Trending,The General Authority for State Registration of Mongolia,Utilities,2.61957,92,2022-07-10,Free,mongolia,гарын,үсгийн,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,playmax mongolia,sono mongolia,gsign mongolia,icoke mongolia,emongolia,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/mn/app/gsign-mongolia/id1632833615?uo=4
7,Unitel,Trending,Unitel Group,Business,3.45409,1198,2013-01-11,Free,болон,авах,хэрэглээний,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,historemn,eleasing,,,,65.0,65.0,,,,https://apps.apple.com/mn/app/unitel/id591293253?uo=4
8,ChatGPT,Trending,OpenAI,Productivity,4.81799,46306,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,the bear,doctor assistant,chat chai,for kids,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/mn/app/chatgpt/id6448311069?uo=4
9,Kick - Live Streaming,Trending,Kick Streaming,Photo & Video,4.28301,53,2023-03-26,Free,kick,live,streaming,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,second kick,kick the,kick,fc mobile,mobile football,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/mn/app/kick-live-streaming/id6446202561?uo=4
10,UBCab,Trending,MEZORN LLC,Lifestyle,4.75333,20883,2014-04-30,Free,ubcab,та,боломжтой,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ubcab driver,ubcab,arig anya,ubeats,driver,100.0,90.0,75.0,65.0,65.0,https://apps.apple.com/mn/app/ubcab/id863109199?uo=4
