Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Moov Money,Trending,Moov Money,Finance,3.75309,81,2024-10-07,Free,de,vos,money,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,moov money,orange money,mobile money,money senegal,money,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/mr/app/moov-money/id6695750582?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.55267,6541,2023-05-25,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,for kids,masha and,the bear,and the,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/mr/app/chatgpt/id6448311069?uo=4
3,GazaPay,Trending,GAZA-PAY-SA,Finance,4.51851,54,2024-12-03,Free,en,de,gazapay,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,gazapay,sniper 3d,sheinshopping online,gun shooting,shooting games,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/mr/app/gazapay/id6737061636?uo=4
4,GlowGrid Pyramid,New Discovery,Usama Hiba,Entertainment,0.0,0,2025-05-10,Free,pyramid,build,color,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,water color,color bubble,color puzzle,color sort,sort color,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/mr/app/glowgrid-pyramid/id6743415873?uo=4
5,Google - More ways to search,Trending,Google,Utilities,4.36883,385,2024-04-23,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/mr/app/google-more-ways-to-search/id284815942?uo=4
6,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.32913,16097,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp business,whatsapp messenger,whatsapp,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/mr/app/whatsapp-business/id1386412985?uo=4
7,Sedad,Trending,Mauritanian Bank of Investment,Finance,4.05667,1341,2022-04-03,Free,de,la,banque,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,talking angela,angela,shazam find,find music,subway surfers,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/mr/app/sedad/id1613951511?uo=4
8,Masrvi,Trending,BANQUE MAURITANIENNE POUR LE COMMERCE INTERNATIONAL,Finance,3.94853,816,2021-03-09,Free,de,et,à,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat chat,with friends,whatsapp business,chat with,videos music,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/mr/app/masrvi/id1540766096?uo=4
9,Bankily,Trending,BANQUE POPULAIRE DE MAURITANIE,Finance,3.97528,3236,2019-11-05,Free,de,le,bankily,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temple run,color puzzle,puzzle,temple,bankily,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/mr/app/bankily/id1460115201?uo=4
10,Houwiyeti,Trending,AGENCE NATIONALE DU REGISTRE DES POPULATIONS ET DES TITRES SECURISES,Productivity,4.18824,255,2024-01-20,Free,houwiyeti,application,provides,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,houwiyeti,private photo,laliga official,photo vault,play and,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/mr/app/houwiyeti/id6472919929?uo=4
11,YouTube,Trending,Google,Photo & Video,4.33453,40929,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for youtube,youtube studio,videos music,youtube,videos,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/mr/app/youtube/id544007664?uo=4
