Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.77986,1281,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,for kids,masha and,chat bot,bot plus,90,75.0,75.0,75.0,75.0,https://apps.apple.com/mv/app/chatgpt/id6448311069?uo=4
2,FaisaMobile X by MIB,Trending,Maldives Islamic Bank,Finance,3.0,8,2024-11-02,Free,transfers,accounts,view,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dual accounts,accounts,2accounts,premier league,1tb cloud,100,90.0,90.0,75.0,75.0,https://apps.apple.com/mv/app/faisamobile-x-by-mib/id6553987435?uo=4
3,eeezap,Trending,Eeezap,Lifestyle,4.42856,14,2024-12-19,Free,eeezap,services,local,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ride food,food delivery,taxi ride,ant queue,job search,75,75.0,75.0,75.0,75.0,https://apps.apple.com/mv/app/eeezap/id6738035354?uo=4
4,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.88469,1058,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,unicorn https,temu,temupilih,100,100.0,100.0,90.0,90.0,https://apps.apple.com/mv/app/temu-shop-like-a-billionaire/id1641486558?uo=4
5,DAZN: Stream Live Sports,Trending,DAZN Limited,Sports,5.0,27,2020-11-12,Free,dazn,sports,including,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dazn stream,sports fc,including lowcost,including dont,including complete,100,100.0,100.0,100.0,100.0,https://apps.apple.com/mv/app/dazn-stream-live-sports/id1129523589?uo=4
6,Efaas,Trending,National Centre Information Technology,Productivity,1.84848,66,2023-05-30,Free,efaas,login,digital,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dojo login,onelogin protect,loginpasskey lock,fingerprint loginpasskey,cbm digital,100,100.0,100.0,100.0,100.0,https://apps.apple.com/mv/app/efaas/id6443596336?uo=4
7,ThemeKit: Widget & Icon Themes,Trending,Woohoo Studios,Graphics & Design,4.58333,12,2022-04-22,Free,widgets,themes,wallpapers,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zedge wallpapers,wallpapers live,wallpapers,widgifywidgetwallpapers,icon themes,100,100.0,90.0,90.0,75.0,https://apps.apple.com/mv/app/themekit-widget-icon-themes/id1602458018?uo=4
8,Microsoft Teams,Trending,Microsoft Corporation,Business,4.74031,439,2020-04-10,Free,microsoft,teams,microsoft teams,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,microsoft 365,microsoft excel,microsoft teams,microsoft outlook,microsoft word,100,100.0,100.0,100.0,100.0,https://apps.apple.com/mv/app/microsoft-teams/id1113153706?uo=4
9,Tastatas,Trending,H.I.M MANAGEMENT COMPANY SERVICES PVT LTD,Food & Drink,5.0,2,2025-04-28,Free,tastatas,ultimate,destination,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tastatas,,,,,90,,,,,https://apps.apple.com/mv/app/tastatas/id6744961544?uo=4
10,Google Maps,Trending,Google,Navigation,4.62169,830,2020-10-02,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,dhivehi maps,maps gps,100,100.0,100.0,100.0,100.0,https://apps.apple.com/mv/app/google-maps/id585027354?uo=4
11,Google - More ways to search,Trending,Google,Utilities,4.63366,202,2024-01-05,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job search,vintage camera,camera remote,search,camera,100,100.0,100.0,90.0,90.0,https://apps.apple.com/mv/app/google-more-ways-to-search/id284815942?uo=4
12,FaisaMobile by MIB,Trending,Maldives Islamic Bank,Finance,2.78261,23,2020-04-13,Free,view,faisamobile,accounts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dual accounts,accounts,2accounts,dual apps,space dual,100,90.0,90.0,75.0,75.0,https://apps.apple.com/mv/app/faisamobile-by-mib/id1374223530?uo=4
13,HuoPan,Trending,伙畔電子商務(香港)有限公司,Shopping,5.0,2,2025-01-09,Free,logistics,huopan,sunyou,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,companies mmo,mmo tycoon,truck transport,sgshop malaysia,sim companies,75,75.0,75.0,75.0,75.0,https://apps.apple.com/mv/app/huopan/id6740019343?uo=4
14,Google Meet,Trending,Google,Social Networking,4.53846,13,2024-07-30,Free,meet,video,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,app meet,google meet,meet people,video generator,meet,100,100.0,100.0,100.0,90.0,https://apps.apple.com/mv/app/google-meet/id1096918571?uo=4
15,Gmail - Email by Google,Trending,Google,Productivity,4.66404,634,2020-04-13,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for gmail,mail app,organised email,yahoo mail,gmail,100,100.0,100.0,100.0,90.0,https://apps.apple.com/mv/app/gmail-email-by-google/id422689480?uo=4
16,Threads,Trending,"Instagram, Inc.",Social Networking,4.51335,337,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,unicorn https,instagrambeat,instagram,threads,100,100.0,90.0,90.0,90.0,https://apps.apple.com/mv/app/threads/id6446901002?uo=4
17,Dhiraagu,Trending,Dhiraagu PLC,Utilities,2.42991,107,2020-04-12,Free,dhiraagu,designed,help,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dhiraagu ecosys,dhiraagu evvun,dhiraagu,help,design photo,100,100.0,90.0,90.0,75.0,https://apps.apple.com/mv/app/dhiraagu/id1266241371?uo=4
18,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.37678,491,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video generator,capcut,video,reel maker,photo editor,100,90.0,90.0,75.0,75.0,https://apps.apple.com/mv/app/capcut-photo-video-editor/id1500855883?uo=4
19,Exness Trade: Online Trading,Trending,Exness Global Limited,Finance,4.92481,133,2020-05-19,Free,trading,trade,exness,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,tradingview track,online trading,trade online,exness trade,100,100.0,100.0,100.0,100.0,https://apps.apple.com/mv/app/exness-trade-online-trading/id1359763701?uo=4
20,Kuma-Find your friends,Trending,丽 周,Lifestyle,0.0,0,2025-03-04,Free,kuma,ai,conversation,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tandem conversation,conversation exchange,conversation,english learning,speak english,100,100.0,90.0,75.0,75.0,https://apps.apple.com/mv/app/kuma-find-your-friends/id6742733977?uo=4
21,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.68128,3376,2020-04-10,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,shareit transfer,transfer share,100,100.0,100.0,100.0,100.0,https://apps.apple.com/mv/app/whatsapp-messenger/id310633997?uo=4
22,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.8,35,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,netshort,drama shorts,soapbox drama,reels short,popular dramas,90,75.0,75.0,75.0,75.0,https://apps.apple.com/mv/app/netshort-popular-dramas-tv/id6504849169?uo=4
23,Spotify: Music and Podcasts,Trending,Spotify,Music,4.74888,5599,2021-02-24,Free,music,spotify,podcasts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music player,music,garage ringtones,for youtube,ringtones for,100,90.0,75.0,75.0,75.0,https://apps.apple.com/mv/app/spotify-music-and-podcasts/id324684580?uo=4
24,ShortMax - Watch Dramas & Show,Trending,SHORTTV LIMITED,Entertainment,4.7037,27,2023-09-11,Free,shortmax,dramas,drama,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,watch dramas,popular dramas,dramas,stream drama,reels,100,100.0,90.0,75.0,65.0,https://apps.apple.com/mv/app/shortmax-watch-dramas-show/id6464002625?uo=4
25,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.82012,2952,2020-04-10,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok videos,tiktok studio,tiktok video,save tiktok,100,100.0,100.0,100.0,100.0,https://apps.apple.com/mv/app/tiktok-videos-music-live/id835599320?uo=4
