Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.38683,243,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,capcut,video,videos,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/mw/app/capcut-photo-video-editor/id1500855883?uo=4
2,Google Maps,Trending,Google,Navigation,4.70425,1410,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,maps gps,mapsme offline,offline maps,real pool,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/mw/app/google-maps/id585027354?uo=4
3,Threads,Trending,"Instagram, Inc.",Social Networking,4.49721,358,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,clean tweetsthreads,unicorn https,https catcher,instagrambeat,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/mw/app/threads/id6446901002?uo=4
4,ChatGPT,Trending,OpenAI,Productivity,4.77778,1467,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,the bear,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/mw/app/chatgpt/id6448311069?uo=4
5,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.74169,3461,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktok videos,tiktok studio,tiktok video,save tiktok,tiktok,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/mw/app/tiktok-videos-music-live/id835599320?uo=4
6,Google - More ways to search,Trending,Google,Utilities,4.62166,711,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google,online backup,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/mw/app/google-more-ways-to-search/id284815942?uo=4
7,My Airtel Africa,Trending,Airtel Africa,Utilities,4.18868,795,2020-02-18,Free,airtel,pay,money,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,airtel africa,airtel thanks,airtel tv,airtel investor,airtel,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/mw/app/my-airtel-africa/id1462268018?uo=4
8,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.61149,6368,2012-05-31,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,word connect,fruit connect,connect sweet,proxy connect,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/mw/app/instagram/id389801252?uo=4
9,TNM Smart App,Trending,Telekom Networks Malawi,Business,3.02247,89,2017-09-22,Free,tnm,airtime,services,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tnm trackit,tnm smart,airtime sharing,freelance services,tnmme,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/mw/app/tnm-smart-app/id1286645382?uo=4
10,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.33708,89,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for use,player pro,1tb cloud,google sheets,microsoft excel,100.0,75.0,75.0,75.0,75.0,https://apps.apple.com/mw/app/telegram-messenger/id686449807?uo=4
11,YouTube,Trending,Google,Photo & Video,4.62893,8904,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for youtube,youtube video,safe youtube,youtube studio,youtube,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/mw/app/youtube/id544007664?uo=4
12,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.54725,7342,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,photo video,video editor,microsoft word,zoom workplace,browser with,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/mw/app/facebook/id284882215?uo=4
13,Mix VPN - Fast & Unlimited,Trending,MixVpn,Utilities,5.0,1,2023-09-25,Free,vpn,mix,mix vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,turbo vpn,proxy vpn,nordvpn vpn,super vpn,vpn fast,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/mw/app/mix-vpn-fast-unlimited/id6463403383?uo=4
14,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,3.64286,14,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/mw/app/netshort-popular-dramas-tv/id6504849169?uo=4
15,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.41378,29,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,movies box,movies,shows,itunes store,dstv stream,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/mw/app/moviebox-movies-tv-shows/id6746160403?uo=4
16,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.53043,2087,2012-06-03,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,with friends,video,videos,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/mw/app/messenger/id454638411?uo=4
17,Audiomack - Play Music Offline,Trending,"Audiomack, Inc.",Music,4.64201,3084,2014-11-19,Free,music,audiomack,listen,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,audiomack creatorupload,audiomack,play music,music offline,creatorupload music,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/mw/app/audiomack-play-music-offline/id921765888?uo=4
18,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.53111,2909,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp messenger,whatsapp business,build and,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/mw/app/whatsapp-business/id1386412985?uo=4
19,Spotify: Music and Podcasts,Trending,Spotify,Music,4.64321,10160,2021-02-24,Free,music,spotify,podcasts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,spotify premium,for spotify,spotify for,spotify music,and podcasts,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/mw/app/spotify-music-and-podcasts/id324684580?uo=4
20,Gmail - Email by Google,Trending,Google,Productivity,4.6856,722,2012-07-24,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,for gmail,google,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/mw/app/gmail-email-by-google/id422689480?uo=4
