Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.86311,143792,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,latest malaysia,latest version,chatgpt,100,100.0,100.0,100.0,90.0,https://apps.apple.com/my/app/chatgpt/id6448311069?uo=4
2,myTNB,Trending,Tenaga Nasional,Utilities,2.63717,9073,2018-01-17,Free,track,bills,view,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tradingview track,cycle tracking,track all,fastviewcad viewereditor,dwg fastviewcad,100,100.0,100.0,100.0,100.0,https://apps.apple.com/my/app/mytnb/id1297089591?uo=4
3,ShopeePay,Trending,ShopeePay Malaysia Sdn Bhd,Finance,4.91777,7115,2025-03-18,Free,shopeepay,shop,financial,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shop like,presto shop,shop free,temu shop,shopee 77,100,100.0,100.0,100.0,100.0,https://apps.apple.com/my/app/shopeepay/id6497068994?uo=4
4,Threads,Trending,"Instagram, Inc.",Social Networking,4.73947,53874,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,threads,for telegram,duo for,messenger duo,for whatsapp,90,75.0,75.0,75.0,75.0,https://apps.apple.com/my/app/threads/id6446901002?uo=4
5,MyJPJ,Trending,Jabatan Pengangkutan Jalan Malaysia,Utilities,1.99613,5164,2022-11-10,Free,jpj,awam,dan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,jpj summons,malaysia jpj,myjpj,jpjeq,test 2025,100,100.0,90.0,90.0,75.0,https://apps.apple.com/my/app/myjpj/id6443821311?uo=4
6,MyDigital ID,Trending,MIMOS Berhad,Utilities,2.75248,3434,2018-11-08,Free,mydigital,id,mydigital id,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,truecaller caller,photopassport photo,photo maker,australian government,play sync,75,75.0,75.0,75.0,75.0,https://apps.apple.com/my/app/mydigital-id/id1435289143?uo=4
7,MOVA: Smart Pick,New Discovery,Tomy Li,Shopping,4.72727,11,2025-05-30,Free,smart,promotion,selection,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,smart selangor,smart job,smart parking,jobstreet smart,penang smart,100,100.0,100.0,100.0,100.0,https://apps.apple.com/my/app/mova-smart-pick/id6741764314?uo=4
8,"Trip.com: Flight, Hotel, Train",Trending,Trip.com Travel Singapore Pte. Ltd.,Travel,4.52717,7066,2013-08-05,Free,trip,flight,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tripcom flight,move flights,flight hotel,bookingcom travel,cheap flights,100,100.0,100.0,100.0,100.0,https://apps.apple.com/my/app/trip-com-flight-hotel-train/id681752345?uo=4
9,AffinAlwaysX,New Discovery,Affin Bank Berhad,Finance,4.18116,276,2025-05-16,Free,affinalwaysx,banking,payments,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,banking app,mobile banking,upi payments,banking,payments,100,100.0,100.0,90.0,90.0,https://apps.apple.com/my/app/affinalwaysx/id6736671432?uo=4
10,"Strava: Run, Bike, Walk",Trending,"Strava, Inc.",Health & Fitness,4.83772,9965,2011-03-24,Free,strava,subscription,data,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,data,font candy,cool text,gocar malaysia,short dramamovie,90,75.0,75.0,75.0,75.0,https://apps.apple.com/my/app/strava-run-bike-walk/id426826309?uo=4
11,ZUS Coffee,Trending,Zuspresso Sdn Bhd,Food & Drink,4.87235,250561,2019-11-17,Free,coffee,zus,delivered,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,zus coffee,coffee meets,coffee bean,kenangan coffee,gigi coffee,100,100.0,100.0,100.0,100.0,https://apps.apple.com/my/app/zus-coffee/id1487584854?uo=4
12,Google - More ways to search,Trending,Google,Utilities,4.58176,63593,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,job search,100,100.0,100.0,100.0,100.0,https://apps.apple.com/my/app/google-more-ways-to-search/id284815942?uo=4
