Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,AmanaTa Transfert,Trending,Amana Transfert,Finance,4.13483,89,2025-03-18,Free,de,vous,l,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,xender file,amerigo file,file manager,france internationale,english for,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ne/app/amanata-transfert/id6741067431?uo=4
2,MyNITA Transfert,Trending,NITA Transfert d'Argent,Finance,3.9765,383,2023-10-22,Free,de,des,mynita,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,xender file,mynita transfert,xender,mynita,file shareshare,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/ne/app/mynita-transfert/id6469616721?uo=4
3,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.24776,5017,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp app,whatsapp messenger,izza business,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ne/app/whatsapp-business/id1386412985?uo=4
4,ChatGPT,Trending,OpenAI,Productivity,4.64329,1668,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,for kids,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/ne/app/chatgpt/id6448311069?uo=4
5,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.19489,14520,2010-02-17,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp app,whatsapp messenger,imointernational calls,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ne/app/whatsapp-messenger/id310633997?uo=4
6,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.56278,6921,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok studio,save tiktok,tiktok video,shareshare music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ne/app/tiktok-videos-music-live/id835599320?uo=4
7,"Xender: File Share,Share Music",Trending,Xender Team,Utilities,3.96793,1216,2014-08-03,Free,transfer,xender,file,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,xender file,file shareshare,documents file,amerigo file,file manager,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ne/app/xender-file-share-share-music/id898129576?uo=4
8,YouTube,Trending,Google,Photo & Video,4.41761,9382,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for youtube,youtube studio,videos music,lakelitavailable ebooks,youtube,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ne/app/youtube/id544007664?uo=4
9,Google - More ways to search,Trending,Google,Utilities,4.40685,467,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google translate,job search,beauty camera,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ne/app/google-more-ways-to-search/id284815942?uo=4
10,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.49986,7244,2010-10-06,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,videos,snapchat chat,with friends,chat with,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ne/app/instagram/id389801252?uo=4
