Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,MovieBox – Movie & TV Shows,New Discovery,Sanchi Shukla,Entertainment,4.38131,12669,2025-06-10,Free,moviebox,membership,series,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,audio series,series shows,web series,series,hbox movies,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/ng/app/moviebox-movie-tv-shows/id6746546850?uo=4
2,MiniDrama - Favorite Drama,New Discovery,成都凤鸣轩网络科技有限公司,Entertainment,3.0,2,2025-06-08,Free,subscription,minidrama,charged,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,keep charged,charged anywhere,stay charged,turbocharged tic,charged,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ng/app/minidrama-favorite-drama/id6738833494?uo=4
3,ChatGPT,Trending,OpenAI,Productivity,4.76692,107839,2023-05-24,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,personal assistant,editor scanner,reader editor,chat bot,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ng/app/chatgpt/id6448311069?uo=4
4,OKash,Trending,Blueridge Microfinance Bank,Finance,4.32111,2183,2025-02-12,Free,loan,would,okash,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fairmoney loan,quick loan,loan online,kashloanloan app,instant loan,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ng/app/okash/id6737593007?uo=4
5,Micro Drama - Short Drama&Show,Trending,乔丹 俞,Entertainment,4.65621,1402,2025-03-24,Free,drama,dramas,micro,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,headway audio,audio book,payments app,summaries daily,bitesized learning,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/ng/app/micro-drama-short-drama-show/id6738779896?uo=4
6,OPay-We are beyond Banking,Trending,OPay Digital Services Pte.Ltd.,Finance,3.98447,54481,2019-06-21,Free,opay,bank,nigeria,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,opaywe are,opay business,business banking,access bank,zenith bank,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ng/app/opay-we-are-beyond-banking/id1463776084?uo=4
7,Moniepoint Personal Banking,Trending,Moniepoint,Finance,4.23953,10888,2023-08-08,Free,moniepoint,banking,money,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,moniepoint personal,moniepoint business,business banking,personal banking,beyond banking,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ng/app/moniepoint-personal-banking/id6452756675?uo=4
8,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.37169,8924,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cryptocom buy,alibabacom b2b,bitcoincom wallet,bookingcom travel,blockchaincom buy,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ng/app/temu-shop-like-a-billionaire/id1641486558?uo=4
9,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.51965,77733,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,cryptocom buy,alibabacom b2b,bitcoincom wallet,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ng/app/capcut-photo-video-editor/id1500855883?uo=4
10,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.46312,434784,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp app,whatsapp messenger,business suite,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ng/app/whatsapp-business/id1386412985?uo=4
