Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.83796,8782,2023-05-24,Gratis,de,una,un,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mario run,videos,google chrome,picsart ia,ia editor,100,90,75,75,75,https://apps.apple.com/ni/app/chatgpt/id6448311069?uo=4
2,yope: photo wall with friends,Trending,"Salo App, Inc.",Lifestyle,4.59859,284,2022-06-01,Gratis,friends,yope,wall,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yope photo,photo wall,wall with,yope,wall,100,100,100,90,90,https://apps.apple.com/ni/app/yope-photo-wall-with-friends/id1600195477?uo=4
3,Demus: Streaming de Música,Trending,Simon Zvara,Music,0.0,0,2024-01-30,Gratis,de,tu,tus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/ni/app/demus-streaming-de-m%C3%BAsica/id6474685600?uo=4
4,LAFISE Digital,Trending,Lafise,Finance,4.64545,110,2025-02-14,Gratis,tu,de,tus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,siempre conectados,qa annimas,talking tom,life360 siempre,90,75,75,75,75,https://apps.apple.com/ni/app/lafise-digital/id6575295212?uo=4
5,CapCut - Editor de videos,Trending,Bytedance Pte. Ltd,Photo & Video,4.50943,3602,2020-04-14,Gratis,de,capcut,más,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,capcut,google chrome,picsart ia,ia editor,90,90,75,75,75,https://apps.apple.com/ni/app/capcut-editor-de-videos/id1500855883?uo=4
6,Threads,Trending,"Instagram, Inc.",Social Networking,4.57395,1636,2023-07-05,Gratis,de,con,instagram,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat conecta,con amigos,grfico con,conecta con,videos,100,100,100,100,90,https://apps.apple.com/ni/app/threads/id6446901002?uo=4
7,Snapchat: Conecta con Amigos,Trending,"Snap, Inc.",Photo & Video,4.7515,1996,2011-07-13,Gratis,de,tus,con,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat conecta,con amigos,grfico con,conecta con,videos,100,100,100,100,90,https://apps.apple.com/ni/app/snapchat-conecta-con-amigos/id447188370?uo=4
8,Amazon Compras en Línea,Trending,AMZN Mobile LLC,Shopping,4.79108,1010,2010-11-14,Gratis,amazon,de,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alibabacom b2b,amazon compras,videos,alibabacom,compras,100,100,90,90,90,https://apps.apple.com/ni/app/amazon-compras-en-l%C3%ADnea/id297606951?uo=4
9,SHEIN-Compras en línea,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.58725,2166,2014-05-20,Gratis,en,de,shein,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheincompras,videos,amazon compras,ball pool,free fire,90,90,75,75,75,https://apps.apple.com/ni/app/shein-compras-en-l%C3%ADnea/id878577184?uo=4
10,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.70885,158,2022-08-07,Gratis,de,en,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/ni/app/reelshort-stream-drama-tv/id1636235979?uo=4
11,Google,Trending,Google,Utilities,4.65261,4292,2019-02-12,Gratis,de,la,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,talking angela,google maps,google drive,google fotos,100,100,100,100,100,https://apps.apple.com/ni/app/google/id284815942?uo=4
12,Canva: Diseño gráfico con IA,Trending,Canva,Photo & Video,4.82082,19645,2014-10-15,Gratis,de,para,el,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,correo electr,juego del,del calamar,videos,electr,100,100,100,90,90,https://apps.apple.com/ni/app/canva-dise%C3%B1o-gr%C3%A1fico-con-ia/id897446215?uo=4
13,Waze Navegación y Tráfico,Trending,Waze Inc.,Navigation,4.75,572,2009-08-01,Gratis,de,en,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,talking angela,videos,clans,angela,clash,100,90,90,90,90,https://apps.apple.com/ni/app/waze-navegaci%C3%B3n-y-tr%C3%A1fico/id323229106?uo=4
14,Spotify: música y podcasts,Trending,Spotify,Music,4.77531,86080,2013-12-12,Gratis,de,en,música,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/ni/app/spotify-m%C3%BAsica-y-podcasts/id324684580?uo=4
15,Google Maps,Trending,Google,Navigation,4.75919,8405,2013-07-17,Gratis,de,con,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat conecta,con amigos,grfico con,conecta con,videos,100,100,100,100,90,https://apps.apple.com/ni/app/google-maps/id585027354?uo=4
16,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.77594,424,2013-08-14,Gratis,de,en,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/ni/app/telegram-messenger/id686449807?uo=4
17,Netflix,Trending,"Netflix, Inc.",Entertainment,4.73421,6528,2011-12-14,Gratis,de,netflix,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for netflix,videos,netflix,google chrome,picsart ia,100,90,90,75,75,https://apps.apple.com/ni/app/netflix/id363590051?uo=4
18,YouTube,Trending,Google,Photo & Video,4.61899,54093,2012-09-11,Gratis,de,la,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,talking angela,videos,clans,angela,clash,100,90,90,90,90,https://apps.apple.com/ni/app/youtube/id544007664?uo=4
19,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.74017,48004,2010-10-06,Gratis,en,de,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,amazon compras,ball pool,free fire,google chrome,90,75,75,75,75,https://apps.apple.com/ni/app/instagram/id389801252?uo=4
20,Pinterest,Trending,Pinterest,Lifestyle,4.78788,13153,2011-04-28,Gratis,que,en,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,talking angela,clans,angela,clash,apple podcasts,100,90,90,90,75,https://apps.apple.com/ni/app/pinterest/id429047995?uo=4
21,El correo electr. de Google,Trending,Google,Productivity,4.76208,2959,2011-11-02,Gratis,de,con,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,snapchat conecta,con amigos,grfico con,conecta con,100,100,100,100,100,https://apps.apple.com/ni/app/el-correo-electr-de-google/id422689480?uo=4
22,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.5646,19768,2011-10-19,Gratis,de,con,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat conecta,con amigos,grfico con,conecta con,videos,100,100,100,100,90,https://apps.apple.com/ni/app/messenger/id454638411?uo=4
23,TikTok,Trending,TikTok Ltd.,Entertainment,4.79495,39502,2014-04-02,Gratis,de,la,videos,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,talking angela,videos,clans,angela,clash,100,90,90,90,90,https://apps.apple.com/ni/app/tiktok/id835599320?uo=4
24,"Shelf: music, books, movies",Trending,"Koodos, Inc.",Utilities,5.0,5,2023-07-26,Gratis,shelf,friends,taste,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shelf music,sweet taste,taste match3,shelf,taste,100,100,100,90,90,https://apps.apple.com/ni/app/shelf-music-books-movies/id1667391175?uo=4
25,Temu: compra como millonario,Trending,Temu,Shopping,4.75362,276,2022-08-31,Gratis,temu,de,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu compra,temu coupons,alibabacom b2b,amazon compras,temu,100,100,100,100,90,https://apps.apple.com/ni/app/temu-compra-como-millonario/id1641486558?uo=4
26,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.7008,6113,2019-04-10,Gratis,de,para,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/ni/app/whatsapp-business/id1386412985?uo=4
27,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.61317,64246,2009-05-04,Gratis,de,en,con,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat conecta,con amigos,grfico con,conecta con,videos,100,100,100,100,90,https://apps.apple.com/ni/app/whatsapp-messenger/id310633997?uo=4
28,Meitu- Photo & Video Editor,Trending,"Xiamen Meitu Technology Co., Ltd.",Photo & Video,4.73958,96,2011-02-15,Gratis,meitu,photos,effects,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lumyerafter effectsvideoleap,effectsvideoleap,google fotos,vsco photo,editar fotos,100,90,75,75,75,https://apps.apple.com/ni/app/meitu-photo-video-editor/id416048305?uo=4
29,Billetera Móvil,Trending,Banpro Grupo Promerica,Finance,2.768,250,2022-09-14,Gratis,de,banpro,en,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mvil banpro,videos,banpro,google chrome,picsart ia,100,90,90,75,75,https://apps.apple.com/ni/app/billetera-m%C3%B3vil/id1614485126?uo=4
30,NGL - q&a anónimas,Trending,DeepMoji,Lifestyle,4.55816,3395,2021-12-10,Gratis,de,en,ngl,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ngl anonymous,videos,google chrome,picsart ia,ia editor,100,90,75,75,75,https://apps.apple.com/ni/app/ngl-q-a-an%C3%B3nimas/id1596550932?uo=4
31,DramaBox - Series en Línea,Trending,STORYMATRIX PTE. LTD.,Entertainment,4.69963,1618,2023-04-18,Gratis,de,un,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mario run,talking angela,videos,clans,angela,100,100,90,90,90,https://apps.apple.com/ni/app/dramabox-series-en-l%C3%ADnea/id6445905219?uo=4
32,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.55067,49861,2019-02-05,Gratis,de,para,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/ni/app/facebook/id284882215?uo=4
