Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,"Ticketmaster－Buy, Sell Tickets",Trending,Ticketmaster,Entertainment,4.60367,1143,2025-05-05,Free,tickets,buy,sell,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,vivino buy,shpock buy,buy the,sell marketplace,sell,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/no/app/ticketmaster-buy-sell-tickets/id500003565?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.80945,42163,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,chatgpt,chatbot ask,the bear,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/no/app/chatgpt/id6448311069?uo=4
3,Helsenorge,Trending,Norsk Helsenett SF,Medical,2.79358,218,2016-09-02,Free,og,du,helsenorge,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google,helsenorge,and podcasts,snapchat chat,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/no/app/helsenorge/id1108860468?uo=4
4,PostNord Norge,Trending,PostNord AS,Utilities,4.64703,178153,2021-01-20,Free,dine,pakker,og,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google,mobile finance,print your,your photos,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/no/app/postnord-norge/id1534563432?uo=4
5,Dyreparken,Trending,Kristiansand Dyrepark AS,Travel,2.02922,308,2019-07-01,Free,du,og,deg,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google,and podcasts,snapchat chat,with friends,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/no/app/dyreparken/id1465218432?uo=4
6,Podimo - Podcasts & Audiobooks,Trending,Podimo ApS,Entertainment,4.59061,11908,2019-09-17,Free,podcasts,podimo,audiobooks,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,and podcasts,apple podcasts,podcasts,pocket casts,audible audiobooks,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/no/app/podimo-podcasts-audiobooks/id1476538730?uo=4
7,foodora: Food & Groceries,Trending,OnlinePizza Norden AB,Food & Drink,4.59267,6135,2011-03-09,Free,food,foodora,know,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,food waste,end food,foodora food,foodora rider,foodora partner,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/no/app/foodora-food-groceries/id421369701?uo=4
8,Flying Tiger Copenhagen Club,Trending,Flying Tiger Copenhagen,Shopping,3.0,6,2024-09-22,Free,flying,tiger,copenhagen,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiger online,flying tiger,tiger copenhagen,the tiger,copenhagen club,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/no/app/flying-tiger-copenhagen-club/id6502527552?uo=4
9,BåtFart,Trending,Asplan Viak Internet AS,Utilities,2.02632,114,2020-06-14,Free,som,er,et,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pet rescue,sober,tidal music,apple support,hifi sound,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/no/app/b%C3%A5tfart/id1506246590?uo=4
10,If travel,Trending,If IT Services A/S,Travel,2.6,5,2025-03-02,Free,travel,help,insurances,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,norwegian travel,travel assistant,bro help,travel,help,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/no/app/if-travel/id6479526000?uo=4
11,Posten,Trending,Posten,Utilities,4.80238,89586,2010-08-31,Free,packages,pick,posten,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pickcrafter mining,pickup sticks,packages,pick,pickup,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/no/app/posten/id370370047?uo=4
12,UV Index Widget - Worldwide,Trending,Bjorn Jenssen,Weather,4.70899,6567,2016-05-03,Free,uv,index,uv index,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,passport index,index widget,index,vantageallinone trading,radar live,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/no/app/uv-index-widget-worldwide/id1100568288?uo=4
13,Google - More ways to search,Trending,Google,Utilities,4.53921,24417,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wordscapes search,job search,fotorus camera,camera legacy,camera remote,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/no/app/google-more-ways-to-search/id284815942?uo=4
14,Airbnb,Trending,"Airbnb, Inc.",Travel,4.71302,12269,2010-11-10,Free,airbnb,find,services,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,freelance services,airbnb,services,expedia travel,hotel car,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/no/app/airbnb/id401626263?uo=4
15,Digipost,Trending,Posten,Utilities,4.50429,32045,2011-06-11,Free,digipost,er,kan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,digipost,sober,tidal music,apple support,hifi sound,90.0,90.0,75.0,75.0,75.0,https://apps.apple.com/no/app/digipost/id441997544?uo=4
16,Circle K,Trending,Circle K AS,Shopping,4.57826,24273,2016-05-03,Free,circle,k,circle k,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,flip 2k16,and workplace,wallpapers maker,youtube kids,2k16,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/no/app/circle-k/id1106837687?uo=4
17,UK ETA,Trending,Home Office,Utilities,3.17073,41,2023-10-23,Free,uk,travel,eta,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,norwegian travel,travel assistant,eta evisa,ivisa eta,travel,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/no/app/uk-eta/id6444912481?uo=4
18,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.37692,3916,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,finder device,device tracker,lost device,sheinshopping,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/no/app/shein-shopping-online/id878577184?uo=4
19,Norwegian Travel Assistant,Trending,Norwegian Air Shuttle ASA,Travel,4.64817,183326,2012-06-21,Free,travel,flights,add,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,norwegian travel,travel assistant,flights and,momondo flights,avinor flights,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/no/app/norwegian-travel-assistant/id534487502?uo=4
20,Uber - Request a ride,Trending,"Uber Technologies, Inc.",Travel,4.85795,52698,2010-05-21,Free,uber,travel,ride,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,norwegian travel,travel assistant,travel,parking made,made easy,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/no/app/uber-request-a-ride/id368677368?uo=4
21,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.53946,115999,2009-05-04,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,imointernational calls,calls,and blocking,callerid and,viber messenger,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/no/app/whatsapp-messenger/id310633997?uo=4
22,Booking.com Travel Deals,Trending,Booking.com,Travel,4.68477,65235,2010-04-14,Free,travel,holiday,booking,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,norwegian travel,travel assistant,travel,parking made,made easy,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/no/app/booking-com-travel-deals/id367003839?uo=4
23,Threads,Trending,"Instagram, Inc.",Social Networking,4.45916,3844,2023-12-14,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,threads,games pet,vet doctor,dog games,duo for,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/no/app/threads/id6446901002?uo=4
24,Tesla,Trending,"Tesla, Inc.",Lifestyle,4.10508,847,2013-11-26,Free,tesla,vehicle,powerwall,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,your tesla,for tesla,vehicle masters,for powerwall,powerwall monitor,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/no/app/tesla/id582007913?uo=4
25,SAS – Scandinavian Airlines,Trending,SAS,Travel,4.6075,20940,2013-03-15,Free,check,access,travel,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cancer check,norwegian travel,travel assistant,checkmytrip,check,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/no/app/sas-scandinavian-airlines/id605727126?uo=4
26,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.75518,13214,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/no/app/bolt-request-a-ride/id675033630?uo=4
27,Recharge EV Charging,Trending,Recharge AS,Navigation,4.31974,3653,2024-03-06,Free,charging,recharge,nordic,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,opixelscharging wallpaper,nordic season,opixelscharging,charging,nordic,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/no/app/recharge-ev-charging/id6472725802?uo=4
28,Ryde - Always nearby,Trending,Ryde Technology AS,Travel,4.5244,9464,2020-01-22,Free,ryde,nearby,scooter,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ryde electric,ryde taxi,always nearby,storage nearby,friends nearby,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/no/app/ryde-always-nearby/id1495605028?uo=4
29,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.50725,10417,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,hotelscom book,alibabacom b2b,bookingcom travel,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/no/app/temu-shop-like-a-billionaire/id1641486558?uo=4
30,Revolut - Mobile Finance,Trending,Revolut Ltd,Finance,4.79,14201,2015-03-01,Free,money,fees,revolut,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,money games,tycoon money,save money,without fees,revolut business,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/no/app/revolut-mobile-finance/id932493382?uo=4
31,"Strava: Run, Bike, Walk",Trending,"Strava, Inc.",Health & Fitness,4.72476,10093,2011-03-24,Free,strava,subscription,data,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sago mini,readly magazines,kids games,lingo play,mini world,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/no/app/strava-run-bike-walk/id426826309?uo=4
32,"AllTrails: Hike, Run & Walk",Trending,"AllTrails, Inc.",Health & Fitness,4.69298,1026,2010-12-20,Free,trail,trails,alltrails,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,alltrails hike,the trail,skiing trails,trails prep,alltrails,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/no/app/alltrails-hike-run-walk/id405075943?uo=4
