Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Temu: compra como millonario,Trending,Temu,Shopping,4.82158,2399,2022-08-31,Gratis,temu,de,com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu compra,temu coupons,temu,temupilih,videos,100,100,90,90,90,https://apps.apple.com/pa/app/temu-compra-como-millonario/id1641486558?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.9075,19621,2023-05-30,Gratis,de,una,un,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mario run,videos,google chrome,picsart ia,ia editor,100,90,75,75,75,https://apps.apple.com/pa/app/chatgpt/id6448311069?uo=4
3,Demus: Streaming de Música,Trending,Simon Zvara,Music,0.0,0,2024-01-30,Gratis,de,tu,tus,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,como tus,tus amigos,videos,google chrome,picsart ia,100,100,90,75,75,https://apps.apple.com/pa/app/demus-streaming-de-m%C3%BAsica/id6474685600?uo=4
4,RaMusi: Offline Music Player,Trending,EaseClickMobi Co. Ltd.,Music,5.0,12,2024-07-16,Gratis,de,música,ramusi,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,ramusi offline,videos,ramusi,google chrome,picsart ia,100,90,90,75,75,https://apps.apple.com/pa/app/ramusi-offline-music-player/id6544791962?uo=4
5,Magis Tv Películas,Trending,TALHA ALI,Entertainment,3.70833,24,2025-04-06,Gratis,de,películas,una,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/pa/app/magis-tv-pel%C3%ADculas/id6743984431?uo=4
6,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.27783,1015,2013-08-14,Gratis,de,en,para,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/pa/app/telegram-messenger/id686449807?uo=4
7,ReelShort - Stream Drama & TV,Trending,NewLeaf Publishing,Entertainment,4.55199,500,2022-08-07,Gratis,de,en,que,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/pa/app/reelshort-stream-drama-tv/id1636235979?uo=4
8,Threads,Trending,"Instagram, Inc.",Social Networking,4.7474,5281,2023-07-05,Gratis,de,con,instagram,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram stories,videos,instagram,google chrome,100,100,90,90,75,https://apps.apple.com/pa/app/threads/id6446901002?uo=4
9,Google,Trending,Google,Utilities,4.75922,8995,2019-02-12,Gratis,de,la,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,google maps,google drive,google traductor,videos,100,100,100,100,90,https://apps.apple.com/pa/app/google/id284815942?uo=4
10,Canva: Diseño gráfico con IA,Trending,Canva,Photo & Video,4.91159,44714,2014-10-15,Gratis,de,para,el,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos,google chrome,picsart ia,ia editor,correo electr,90,75,75,75,75,https://apps.apple.com/pa/app/canva-dise%C3%B1o-gr%C3%A1fico-con-ia/id897446215?uo=4
11,Magic - TV Magis EventManager,Trending,Appsful LTD,Entertainment,4.67184,966,2021-07-19,Gratis,movies,tv,movie,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,max hbo,magis eventmanager,hbo series,magic,pluto,75,75,75,65,65,https://apps.apple.com/pa/app/magic-tv-magis-eventmanager/id1576860725?uo=4
