Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,手机克隆-换机助手&安云手机换机,Trending,泉东 葛,Utilities,0.0,0,2024-07-28,Free,换新手机,照片,视频,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,3d fun,video creator,race ball,hug video,ball 3d,75,75.0,75.0,75.0,75.0,https://apps.apple.com/pg/app/%E6%89%8B%E6%9C%BA%E5%85%8B%E9%9A%86-%E6%8D%A2%E6%9C%BA%E5%8A%A9%E6%89%8B-%E5%AE%89%E4%BA%91%E6%89%8B%E6%9C%BA%E6%8D%A2%E6%9C%BA/id6560117810?uo=4
2,Google Maps,Trending,Google,Navigation,4.68119,367,2018-01-24,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real drum,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/google-maps/id585027354?uo=4
3,Gmail - Email by Google,Trending,Google,Productivity,4.67516,314,2012-07-24,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for gmail,email app,organised email,yahoo mail,gmail,100,100.0,100.0,100.0,90.0,https://apps.apple.com/pg/app/gmail-email-by-google/id422689480?uo=4
4,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.41124,338,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,capitalcom trading,alibabacom b2b,bookingcom travel,video editor,videos music,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/capcut-photo-video-editor/id1500855883?uo=4
5,Google - More ways to search,Trending,Google,Utilities,4.55274,237,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job search,camera360selfie editor,vintage camera,camera remote,search,100,100.0,100.0,100.0,90.0,https://apps.apple.com/pg/app/google-more-ways-to-search/id284815942?uo=4
6,ChatGPT,Trending,OpenAI,Productivity,4.76948,616,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,web latest,latest version,chatgpt,latest,editor scanner,100,100.0,90.0,90.0,75.0,https://apps.apple.com/pg/app/chatgpt/id6448311069?uo=4
7,Threads,Trending,"Instagram, Inc.",Social Networking,4.7377,122,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,clean tweetsthreads,threads,tweetsthreads,for whatsapp,telegram messenger,100,90.0,90.0,75.0,75.0,https://apps.apple.com/pg/app/threads/id6446901002?uo=4
8,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.74437,1600,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,tiktok videos,tiktok studio,tiktok video,save tiktok,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/tiktok-videos-music-live/id835599320?uo=4
9,DigicelTV,Trending,Digicel Pacific,Sports,3.0,12,2022-08-16,Free,digiceltv,live,sports,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sports fc,live,sports,snapchat chat,shazam find,100,90.0,90.0,75.0,75.0,https://apps.apple.com/pg/app/digiceltv/id1636620751?uo=4
10,YouTube Music,Trending,Google,Music,4.6959,171,2020-06-09,Free,music,youtube,playlists,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music and,videos music,find music,spotify music,youtube music,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/youtube-music/id1017492454?uo=4
11,YouTube,Trending,Google,Photo & Video,4.60134,3133,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,youtube music,for youtube,youtube kids,youtube studio,videos music,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/youtube/id544007664?uo=4
12,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.49704,2869,2019-02-05,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,meet people,people,job search,dating app,linkedin job,100,90.0,75.0,75.0,75.0,https://apps.apple.com/pg/app/facebook/id284882215?uo=4
13,Google Authenticator,Trending,Google,Utilities,4.91228,57,2013-07-27,Free,google,authenticator,accounts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,authenticator securid,google authenticator,authenticator app,microsoft authenticator,rsa authenticator,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/google-authenticator/id388497605?uo=4
14,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.63483,2933,2012-05-31,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,word connect,proxy connect,connect the,videos,100,100.0,100.0,100.0,90.0,https://apps.apple.com/pg/app/instagram/id389801252?uo=4
15,"Canva: Design, Photo & Video",Trending,Canva,Photo & Video,4.77989,527,2014-10-15,Free,photo,maker,canva,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,story maker,video editormaker,canva design,art canva,photo,100,100.0,100.0,100.0,90.0,https://apps.apple.com/pg/app/canva-design-photo-video/id897446215?uo=4
16,Microsoft Authenticator,Trending,Microsoft Corporation,Productivity,4.79167,24,2015-05-30,Free,microsoft,authenticator,passwords,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,microsoft 365,microsoft excel,microsoft teams,microsoft outlook,microsoft word,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/microsoft-authenticator/id983156458?uo=4
17,BSP PNG,Trending,BSP Financial Group Limited,Finance,5.0,2,2023-03-17,Free,bsp,personal,view,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bsp fiji,bsp png,bsp softtoken,shapy personal,personal fitness,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/bsp-png/id6445806515?uo=4
18,CBP,Trending,CREDIT CORPORATION FINANCE LIMITED,Finance,4.33333,9,2024-03-07,Free,cbp,banking,manage,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mobile banking,manage pay,send manage,file manager,banking,100,100.0,100.0,100.0,90.0,https://apps.apple.com/pg/app/cbp/id6478291289?uo=4
19,VidMate !,Trending,Le Manh Tien,Photo & Video,3.5,6,2022-08-24,Free,video,subscription,vid,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,video,videos,snapchat chat,100,100.0,90.0,90.0,75.0,https://apps.apple.com/pg/app/vidmate/id1640960419?uo=4
20,Google Chrome,Trending,Google,Utilities,4.63291,395,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,job search,chrome,search,duo for,100,100.0,90.0,90.0,75.0,https://apps.apple.com/pg/app/google-chrome/id535886823?uo=4
21,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.44681,47,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,for telegram,telegram,for whatsapp,messenger web,100,100.0,90.0,75.0,75.0,https://apps.apple.com/pg/app/telegram-messenger/id686449807?uo=4
22,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.53336,3686,2012-06-13,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shareit transfer,transfer share,share files,shareit,share,100,100.0,100.0,90.0,90.0,https://apps.apple.com/pg/app/whatsapp-messenger/id310633997?uo=4
23,LinkedIn: Job Search & News,Trending,LinkedIn Corporation,Business,4.63603,272,2019-02-03,Free,job,linkedin,business,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,jobs job,jobs search,seek jobs,jora jobs,job search,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/linkedin-job-search-news/id288429040?uo=4
24,TikTok Studio,Trending,TikTok Ltd.,Photo & Video,5.0,7,2024-06-20,Free,tiktok,studio,content,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktok videos,tiktok studio,tiktok video,save tiktok,maker studio,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/tiktok-studio/id6478151677?uo=4
25,Alibaba.com B2B Trade App,Trending,杭州阿里巴巴广告有限公司,Shopping,4.55598,518,2012-06-04,Free,alibaba,com,alibaba com,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for alibaba,alibabacom b2b,capitalcom trading,bookingcom travel,alibabacom,100,100.0,100.0,100.0,90.0,https://apps.apple.com/pg/app/alibaba-com-b2b-trade-app/id503451073?uo=4
26,Messenger,Trending,"Meta Platforms, Inc.",Social Networking,4.41329,1234,2012-06-03,Free,video,chat,friends,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,snapchat chat,with friends,chat with,100,100.0,100.0,100.0,100.0,https://apps.apple.com/pg/app/messenger/id454638411?uo=4
