Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.87897,110712,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,100 latest,chatgpt,latest,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ph/app/chatgpt/id6448311069?uo=4
2,eGovPH,Trending,DICT eGovernment,Productivity,4.70967,24069,2023-05-31,Free,government,egovph,single,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,australian government,dhabi government,government,abu dhabi,civil service,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/ph/app/egovph/id6447682225?uo=4
3,Threads,Trending,"Instagram, Inc.",Social Networking,4.72111,69231,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,for instagrambeat,instagram,instagrambeat,threads,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/ph/app/threads/id6446901002?uo=4
4,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.6489,30857,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,temu shop,temu coupons,alibabacom b2b,bookingcom travel,tripcom flight,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ph/app/temu-shop-like-a-billionaire/id1641486558?uo=4
5,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.72236,321229,2009-05-04,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,voice calls,imointernational calls,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ph/app/whatsapp-messenger/id310633997?uo=4
6,"Canva: Design, Photo & Video",Trending,Canva,Photo & Video,4.85946,375468,2014-10-15,Free,photo,maker,canva,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,collage maker,video editormaker,maker,editormaker,design photo,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/ph/app/canva-design-photo-video/id897446215?uo=4
7,Google - More ways to search,Trending,Google,Utilities,4.66983,69952,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,word search,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ph/app/google-more-ways-to-search/id284815942?uo=4
8,Shopee PH: 6.6-7.7,Trending,SHOPEE PHILIPPINES INC.,Shopping,4.51773,688802,2015-04-01,Free,shopee,interest,vouchers,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,interest manual,loan interest,interest,dating app,new people,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/ph/app/shopee-ph-6-6-7-7/id959841854?uo=4
9,Google Maps,Trending,Google,Navigation,4.78822,230007,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,real drum,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ph/app/google-maps/id585027354?uo=4
10,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.40219,110490,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,alibabacom b2b,bookingcom travel,tripcom flight,datingcom global,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ph/app/capcut-photo-video-editor/id1500855883?uo=4
