Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Clear wave | Water Eject,Trending,Appchi LLC,Music,4.7,10,2021-03-14,Free,subscription,period,itunes,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tracker period,flo period,period tracker,period calendar,period,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/pw/app/clear-wave-water-eject/id1557211189?uo=4
2,Tea App - Brew Perfect Teas,New Discovery,POCKET IMPLEMENTATION S.R.L.,Food & Drink,0.0,0,2025-07-04,Free,tea,teas,brewing,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bubble tea,tea idrink,milk tea,teasear,asmr slime,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/pw/app/tea-app-brew-perfect-teas/id6747925058?uo=4
3,Flightradar24 | Flight Tracker,Trending,Flightradar24 AB,Travel,4.9672,61,2012-06-03,Free,flight,aircraft,flightradar24,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,hotel flight,skyscanner flights,flight hotel,tripcom flight,flights hotels,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/flightradar24-flight-tracker/id382233851?uo=4
4,Offline Music Player-MP3&Video,Trending,Studio Infinity,Utilities,0.0,0,2021-04-16,Free,music,offline,player,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,music player,mp3 player,player,and podcasts,soundcloud the,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/pw/app/offline-music-player-mp3-video/id1563131490?uo=4
5,OmeTV – Video Chat Alternative,Trending,Bad Kitty's Dad,Social Networking,4.70732,82,2019-03-16,Free,ometv,https,chat,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,snapchat chat,chat with,ometv,chat,snapchat,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/pw/app/ometv-video-chat-alternative/id1252974010?uo=4
6,Dodo - Webview,Trending,Dipakkumar Panchotiya,Developer Tools,0.0,0,2025-04-24,Free,webview,browser,full,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,monolith webview,webview testkit,browser and,bolt browser,brave browser,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/dodo-webview/id6744821792?uo=4
7,LIKENEW: Laundry and Dryclean,New Discovery,ONLINEMARTSLTD,Lifestyle,5.0,2,2025-06-05,Free,laundry,likenew,cleaning,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,meow laundry,likenew vendedor,likenew laundry,it cleaning,cleaning the,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/likenew-laundry-and-dryclean/id6746805480?uo=4
8,Clear Wave - Tone Generator,Trending,Gaurav Babbar,Music,0.0,0,2022-03-25,Free,subscription,period,testing,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tracker period,flo period,period tracker,period calendar,testing system,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/clear-wave-tone-generator/id1611971588?uo=4
9,Fiber AL,Trending,Fiber.al SH.P.K,Social Networking,0.0,0,2022-08-21,Free,fiber,al,statuses,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,fiber friend,fatbeam fiber,fiber,globeone get,more from,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/pw/app/fiber-al/id1635154174?uo=4
10,Salaam Bank - Mobile Banking,Trending,Salaam Somali Bank,Finance,4.71429,14,2025-02-09,Free,salaam,banking,financial,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mobile banking,financial times,banking,financial,manage pay,100.0,100.0,90.0,90.0,75.0,https://apps.apple.com/pw/app/salaam-bank-mobile-banking/id6741698367?uo=4
11,ChatGPT,Trending,OpenAI,Productivity,4.84128,1216,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest version,latest,gpt assistant,chat 40,chatai gpt,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/pw/app/chatgpt/id6448311069?uo=4
12,Phone Doctor Plus,Trending,Idea Mobile Tech inc.,Utilities,0.0,0,2012-12-10,Free,doctor,plus,please,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,doctor games,recharge please,order please,please drawstory,burger please,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/phone-doctor-plus/id565111904?uo=4
13,"ten ten - your friends, on tap",Trending,Ten Ten,Social Networking,4.81386,274,2022-09-29,Free,friends,talk,mode,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,militia mode,mode editor,mode major,portrait mode,battle mode,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/ten-ten-your-friends-on-tap/id1481768339?uo=4
14,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.4,5,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/pw/app/shein-shopping-online/id878577184?uo=4
15,Blur Background Photo Effect,Trending,Shiho Sadamizu,Photo & Video,4.66667,6,2021-09-16,Free,mosaic,blur,want,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,beautyplusselfie photo,snapcalc maths,day fitness,itranslate translator,radar live,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/pw/app/blur-background-photo-effect/id1579215073?uo=4
16,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.66667,9,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,movies box,movies,itunes store,prime video,amazon prime,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/pw/app/moviebox-movies-tv-shows/id6746160403?uo=4
17,Essential Words - 4000,Trending,Son Le,Education,4.0,1,2023-06-07,Free,words,essential,language,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,,,,,,,,,,,https://apps.apple.com/pw/app/essential-words-4000/id6449967910?uo=4
18,Manus AI,Trending,BUTTERFLY EFFECT PTE. LTD.,Productivity,4.8,10,2025-03-27,Free,manus,ai,tasks,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mcmanus pubs,manus academy,manusaiai,mcmanus,manus,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/pw/app/manus-ai/id6740909540?uo=4
19,Meitu- Photo & Video Editor,Trending,"Xiamen Meitu Technology Co., Ltd.",Photo & Video,5.0,1,2012-06-01,Free,meitu,vip,photo,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,meitu photo,meitu,perfect365 makeup,glam videophoto,photo editor,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/pw/app/meitu-photo-video-editor/id416048305?uo=4
20,DahabPlus,Trending,Dahabshiil,Finance,4.9,10,2020-02-13,Free,dahabplus,money,security,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dahabplus djibouti,dahabplus,cyberghost safe,super vpn,best proxy,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/pw/app/dahabplus/id1498782612?uo=4
21,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.75201,1117,2012-06-13,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp business,whatsapp messenger,voice calls,imointernational calls,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/whatsapp-messenger/id310633997?uo=4
22,Google - More ways to search,Trending,Google,Utilities,4.79336,271,2024-01-05,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/google-more-ways-to-search/id284815942?uo=4
23,Threads,Trending,"Instagram, Inc.",Social Networking,4.74286,70,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,clean tweetsthreads,threads,tweetsthreads,for whatsapp,telegram messenger,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/pw/app/threads/id6446901002?uo=4
24,WAAFI Business,Trending,Salaam African Bank,Finance,0.0,0,2025-03-13,Free,business,waafi,management,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,whatsapp business,waafi app,waafi market,business,waafi,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/pw/app/waafi-business/id6742458768?uo=4
25,YouTube,Trending,Google,Photo & Video,4.73116,2124,2012-09-11,Free,youtube,videos,available,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for youtube,youtube video,safe youtube,youtube studio,videos music,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/youtube/id544007664?uo=4
26,Kick - Live Streaming,Trending,Kick Streaming,Photo & Video,3.66667,3,2023-03-26,Free,kick,live,streaming,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,crazy kick,kick fun,kick the,kick,mobile football,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/pw/app/kick-live-streaming/id6446202561?uo=4
27,Microsoft Teams,Trending,Microsoft Corporation,Business,4.86667,15,2016-11-02,Free,microsoft,teams,microsoft teams,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,microsoft teams,teams,scanner app,tsubasa dream,notion notes,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/pw/app/microsoft-teams/id1113153706?uo=4
28,Tinder Dating App: Meet & Date,Trending,Tinder LLC,Lifestyle,4.68492,73,2012-08-03,Free,tinder,date,people,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tinder dating,impossible date,date tricky,meet people,tinder,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/pw/app/tinder-dating-app-meet-date/id547702041?uo=4
29,VPN - Super Unlimited Proxy ™,Trending,Mobile Jump Pte Ltd,Productivity,4.74247,365,2018-05-15,Free,vpn,servers,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,turbo vpn,proxy ovpnspider,nordvpn vpn,vpn fast,vpn proxy,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/vpn-super-unlimited-proxy/id1370293473?uo=4
30,Netflix,Trending,"Netflix, Inc.",Entertainment,4.79556,450,2016-01-06,Free,netflix,films,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,netflix stories,netflix,films,game unleashed,squid game,100.0,90.0,90.0,75.0,75.0,https://apps.apple.com/pw/app/netflix/id363590051?uo=4
31,Clean Now: Phone Storage Kit,Trending,OneTapRemore,Utilities,0.0,0,2025-03-18,Free,clean,device,contacts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cleaner clean,upcleaner clean,cleanup clean,clean storage,clean photo,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/clean-now-phone-storage-kit/id6743194785?uo=4
32,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.68889,45,2013-08-14,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,travel data,use with,data,plus mobile,1tb cloud,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/pw/app/telegram-messenger/id686449807?uo=4
33,Muzz: Muslim Marriage & Social,Trending,MUZZ LTD,Lifestyle,4.79021,143,2015-03-04,Free,muzz,muslims,muslim,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,xisnul muslim,muzz muslim,muslim marriage,muslim pro,muslim munaazkar,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/muzz-muslim-marriage-social/id969997496?uo=4
34,Google Chrome,Trending,Google,Utilities,4.78102,411,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,google translate,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/google-chrome/id535886823?uo=4
35,Velvet VPN,Trending,"ATTA Development, LLC",Utilities,0.0,0,2024-09-19,Free,tv,subscription,vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,turbo vpn,proxy ovpnspider,nordvpn vpn,vpn fast,vpn proxy,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/pw/app/velvet-vpn/id6657977998?uo=4
