Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Wolt Delivery: Food and more,Trending,Wolt Oy,Food & Drink,3.13184,3618,2015-06-24,Free,wolt,order,food,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,wolt delivery,wolt courier,food and,and order,foodpanda food,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ro/app/wolt-delivery-food-and-more/id943905271?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.87568,81406,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,latest deals,compare latest,chatgpt,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ro/app/chatgpt/id6448311069?uo=4
3,"Beach, Please!",Trending,Andrei Hagi,Entertainment,4.0,16,2024-07-09,Free,beach,please,festival,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,beach buggy,beach war,boom beach,beach please,recharge please,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ro/app/beach-please/id6517347898?uo=4
4,Pluxee,New Discovery,Pluxee International,Lifestyle,4.82759,116,2025-06-02,Free,pluxee,и,на,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pluxee cashback,pluxee polska,cibus pluxee,pluxee,belfius mobile,100.0,100.0,100.0,90.0,75.0,https://apps.apple.com/ro/app/pluxee/id6504407951?uo=4
5,Bump - map for friends,Trending,amo,Social Networking,4.96414,7612,2023-12-19,Free,friends,map,bump,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,map for,bump pop,color bump,maps,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ro/app/bump-map-for-friends/id6471519217?uo=4
6,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.76387,19239,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cryptocom buy,alibabacom b2b,bookingcom travel,unicorn https,alibabacom,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ro/app/temu-shop-like-a-billionaire/id1641486558?uo=4
7,Trendyol: Fashion & Trends,Trending,trendyol.com,Shopping,4.88244,119815,2012-05-10,Free,trendyol,fashion,collection,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,trendyol go,trendyol seller,trendyol fashion,solitaire collection,trendyol,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/ro/app/trendyol-fashion-trends/id524362642?uo=4
8,SAMEDAY,Trending,Sameday Romania,Utilities,4.85124,32583,2023-09-11,Free,la,în,de,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,car marketplace,marketplace,info transport,transport bucharest,shopping online,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ro/app/sameday/id6448175790?uo=4
9,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.71414,15735,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,device tracker,lost device,sheinshopping,device,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/ro/app/shein-shopping-online/id878577184?uo=4
10,SocialAut,Trending,Felipe Avila Parra,Social Networking,3.0,5,2025-01-23,Free,delete,posts,automatically,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,delete one,delete contacts,automatically using,measures automatically,fluently automatically,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ro/app/socialaut/id6738157030?uo=4
11,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.85116,120527,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bolt food,bolt browser,bolt request,bolt driver,unicorn https,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ro/app/bolt-request-a-ride/id675033630?uo=4
12,eMAG.ro,Trending,eMAG International,Shopping,4.78006,333714,2014-11-26,Free,și,de,la,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,car marketplace,marketplace,google maps,snapchat chat,with friends,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/ro/app/emag-ro/id935571974?uo=4
13,Google Maps,Trending,Google,Navigation,4.76393,123539,2012-12-13,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,bereal photos,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/ro/app/google-maps/id585027354?uo=4
