Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.75891,3675,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,with chatgpt,iphonelatest and,for iphonelatest,chatgpt,latesttambola,100,100,100,90,90,https://apps.apple.com/rw/app/chatgpt/id6448311069?uo=4
2,Google Maps,Trending,Google,Navigation,4.70261,1725,2020-08-21,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,live maps,gps maps,inner maps,maps network,real gang,100,100,100,100,100,https://apps.apple.com/rw/app/google-maps/id585027354?uo=4
3,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.26471,34,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,netshort,drama shorts,soapbox drama,reels short,chishortchinese minidrama,90,75,75,75,75,https://apps.apple.com/rw/app/netshort-popular-dramas-tv/id6504849169?uo=4
4,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.41818,110,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,mtvyour personal,mtvyour,remote control,universal remote,itunes store,100,90,75,75,75,https://apps.apple.com/rw/app/moviebox-movies-tv-shows/id6746160403?uo=4
5,Threads,Trending,"Instagram, Inc.",Social Networking,4.5465,602,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram followers,instagram feed,vigilant threads,threads marketplace,100,100,100,100,100,https://apps.apple.com/rw/app/threads/id6446901002?uo=4
6,Google - More ways to search,Trending,Google,Utilities,4.67068,580,2024-01-05,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google drive,google chrome,google arts,google cloud,google deo,100,100,100,100,100,https://apps.apple.com/rw/app/google-more-ways-to-search/id284815942?uo=4
7,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.79995,4029,2020-04-10,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,tiktok maker,save tiktok,tiktok videos,for tiktok,tiktok video,100,100,100,100,100,https://apps.apple.com/rw/app/tiktok-videos-music-live/id835599320?uo=4
8,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.5124,9073,2020-04-10,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsappfb,for whatsapp,fb whatsapp,whatsapp and,whatsapp messenger,100,100,100,100,100,https://apps.apple.com/rw/app/whatsapp-messenger/id310633997?uo=4
9,Instagram,Trending,"Instagram, Inc.",Photo & Video,4.62711,10258,2020-04-10,Free,instagram,videos,connect,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagram,instagram followers,instagram feed,tobievoice noteshareconnect,instagram,100,100,100,100,90,https://apps.apple.com/rw/app/instagram/id389801252?uo=4
10,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.57717,473,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,the game,poker pokerist,texas holdem,game dev,dev story,75,75,75,75,75,https://apps.apple.com/rw/app/capcut-photo-video-editor/id1500855883?uo=4
11,Music Player for youtube,Trending,Brahim el khoulagui,Utilities,4.37422,2244,2023-11-21,Free,music,player,privacy,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,nexusprivacy first,privacy control,nexusprivacy,privacy,tor browser,100,100,90,90,75,https://apps.apple.com/rw/app/music-player-for-youtube/id6470715364?uo=4
12,Gmail - Email by Google,Trending,Google,Productivity,4.74791,1432,2020-04-13,Free,google,gmail,mail,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google drive,google chrome,google arts,google cloud,google deo,100,100,100,100,100,https://apps.apple.com/rw/app/gmail-email-by-google/id422689480?uo=4
13,Snapchat: Chat with friends,Trending,"Snap, Inc.",Photo & Video,4.65764,3654,2020-04-09,Free,friends,snapchat,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for snapchat,snapchat chat,tobievoice noteshareconnect,snapchat,noteshareconnect,100,100,100,90,90,https://apps.apple.com/rw/app/snapchat-chat-with-friends/id447188370?uo=4
14,MovieBox – Movie & TV Shows,New Discovery,Sanchi Shukla,Entertainment,4.53846,26,2025-06-10,Free,moviebox,membership,series,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,moviebox pro,mgm membership,membership rewards,private membership,series the,100,100,100,100,100,https://apps.apple.com/rw/app/moviebox-movie-tv-shows/id6746546850?uo=4
15,Facebook,Trending,"Meta Platforms, Inc.",Social Networking,4.524,4498,2020-04-10,Free,facebook,people,ai,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lil david,live chat,chat often,party game,have never,75,75,75,75,75,https://apps.apple.com/rw/app/facebook/id284882215?uo=4
16,Pinterest: Lifestyle Ideas,Trending,Pinterest,Lifestyle,4.68787,2515,2020-04-10,Free,pinterest,ideas,inspiration,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,trip ideas,room ideas,photoshoot ideas,video ideas,ideas flx,100,100,100,100,100,https://apps.apple.com/rw/app/pinterest-lifestyle-ideas/id429047995?uo=4
17,Blackhole Spliter,Trending,PROGMORE FOR WEB DESIGN AND MANAGEMENT,Utilities,4.73381,139,2022-05-17,Free,videos,blackhole,spliter,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,spliter app,blackhole spliter,after spliter,epubspliter,awesometipandbillspliter,100,100,100,90,90,https://apps.apple.com/rw/app/blackhole-spliter/id1624635075?uo=4
18,Telegram Messenger,Trending,Telegram FZ-LLC,Social Networking,3.70707,99,2020-04-17,Free,telegram,data,use,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,telegram messenger,leadertelegram eedition,beach presstelegram,presstelegram prep,telegram,100,100,100,100,90,https://apps.apple.com/rw/app/telegram-messenger/id686449807?uo=4
19,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.53448,3364,2020-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsappfb,for whatsapp,fb whatsapp,whatsapp and,whatsapp messenger,100,100,100,100,100,https://apps.apple.com/rw/app/whatsapp-business/id1386412985?uo=4
20,Google Chrome,Trending,Google,Utilities,4.67265,2507,2020-04-14,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chromebattery now,chrome radio,for chrome,chrome and,and chrome,100,100,100,100,100,https://apps.apple.com/rw/app/google-chrome/id535886823?uo=4
21,Audiomack - Play Music Offline,Trending,"Audiomack, Inc.",Music,4.68655,9255,2020-04-10,Free,music,audiomack,listen,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,audiomack creatorupload,urdu listen,listen and,listen your,audiomack,100,100,100,100,90,https://apps.apple.com/rw/app/audiomack-play-music-offline/id921765888?uo=4
22,Clean Now: Phone Storage Kit,Trending,OneTapRemore,Utilities,5.0,1,2025-03-18,Free,clean,device,contacts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,clean currency,cleaner clean,quick cleanerclean,clean your,device finder,100,100,100,100,100,https://apps.apple.com/rw/app/clean-now-phone-storage-kit/id6743194785?uo=4
23,CamScanner - PDF Scanner App,Trending,"INTSIG Information Co., Ltd",Productivity,4.61123,1834,2020-04-10,Free,camscanner,pdf,scan,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,pdf studio,gurupdf converter,vpn pdf,pdf docs,fill pdf,100,100,100,100,100,https://apps.apple.com/rw/app/camscanner-pdf-scanner-app/id388627783?uo=4
24,Spotify: Music and Podcasts,Trending,Spotify,Music,4.66526,10662,2021-02-25,Free,music,spotify,podcasts,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,apple podcasts,jewish podcastsnews,podcastsnews,podcasts,news and,100,100,90,90,75,https://apps.apple.com/rw/app/spotify-music-and-podcasts/id324684580?uo=4
25,IremboApp,Trending,Irembo Ltd,Lifestyle,5.0,8,2025-03-19,Free,iremboapp,essential,services,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,purecalcessential calculator,essentialyour innerwear,walletessential crypto,education services,general services,100,100,100,100,100,https://apps.apple.com/rw/app/iremboapp/id6738236272?uo=4
26,Bible,Trending,Life.Church,Reference,4.79614,5651,2020-04-18,Free,bible,friends,verse,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,english bible,bible puzzle,bible apptranslator,biblesimple english,online bible,100,100,100,100,100,https://apps.apple.com/rw/app/bible/id282935706?uo=4
27,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.02198,91,2020-04-10,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sheinshopping online,idle shopping,shopping tycoon,device finder,stealthllm ondevice,100,100,100,100,100,https://apps.apple.com/rw/app/shein-shopping-online/id878577184?uo=4
28,X,Trending,X Corp.,News,4.57648,9381,2020-04-09,Free,x,content,join,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lajoin,joinme,join,defense war,war force,90,90,90,75,75,https://apps.apple.com/rw/app/x/id333903271?uo=4
29,Mix VPN - Fast & Unlimited,Trending,MixVpn,Utilities,4.0,4,2023-09-25,Free,vpn,mix,mix vpn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,cat vpn,turbo vpn,super vpn,vpn super,vpn unlimited,100,100,100,100,100,https://apps.apple.com/rw/app/mix-vpn-fast-unlimited/id6463403383?uo=4
30,Equity Mobile,Trending,Equity Group Holding,Finance,4.72567,3638,2021-07-01,Free,equity,pay,view,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,paytoday mobile,senpay agent,senpay mechant,piclive view,street view,100,100,100,100,100,https://apps.apple.com/rw/app/equity-mobile/id1569017982?uo=4
31,Music : Offline Player,New Discovery,Jerome Martinage,Music,4.51851,27,2025-06-12,Free,music,discover,trending,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,discover kuantan,yalla discover,discover,book events,the art,100,100,90,75,75,https://apps.apple.com/rw/app/music-offline-player/id6746770085?uo=4
32,Kinyarwanda Bible. Biblia Yera,Trending,Oleg Shukalovich,Book,4.66758,731,2020-04-10,Free,kinyarwanda,rwanda,bible,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,kinyarwandaenglish dictionary,kinyarwanda app,yera kinyarwanda,kinyarwanda bible,kinyarwandadeutsch wrterbuch,100,100,100,100,100,https://apps.apple.com/rw/app/kinyarwanda-bible-biblia-yera/id983260300?uo=4
33,MTN MoMo,Trending,MTN,Finance,2.70455,44,2020-04-20,Free,momo,money,mtn,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,momonest baby,organizer money,money win,money organizer,pachinko money,100,100,100,100,100,https://apps.apple.com/rw/app/mtn-momo/id1474080783?uo=4
34,Bank of Kigali Mobile Banking,Trending,BK Group Plc,Finance,4.18045,133,2022-10-02,Free,bank,kigali,banking,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,arab bank,mortgage bank,bank simulator,byline bank,bank 20,100,100,100,100,100,https://apps.apple.com/rw/app/bank-of-kigali-mobile-banking/id1567010529?uo=4
35,Zoom Workplace,Trending,"Zoom Communications, Inc.",Business,4.6318,239,2020-04-13,Free,zoom,workplace,zoom workplace,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chieaseworkplace chinese,practical workplace,workplace email,convenie workplace,workplace wellness,100,100,100,100,100,https://apps.apple.com/rw/app/zoom-workplace/id546505307?uo=4
36,Kinyarwanda Bible(Biblia Yera),Trending,RAVINDHIRAN SUMITHRA,Book,4.39499,200,2020-06-08,Free,bible,kinyarwanda,verses,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,english bible,bible puzzle,bible apptranslator,biblesimple english,online bible,100,100,100,100,100,https://apps.apple.com/rw/app/kinyarwanda-bible-biblia-yera/id1517378787?uo=4
37,Bible Chat: The Holy Scripture,Trending,Bookvitals APP SRL,Reference,4.84415,154,2023-05-11,Free,bible,faith,scripture,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,english bible,bible puzzle,bible apptranslator,biblesimple english,online bible,100,100,100,100,100,https://apps.apple.com/rw/app/bible-chat-the-holy-scripture/id6448849666?uo=4
38,Google Meet,Trending,Google,Social Networking,3.85714,14,2024-07-30,Free,meet,video,google,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,travel meet,meet planner,google drive,google chrome,google arts,100,100,100,100,100,https://apps.apple.com/rw/app/google-meet/id1096918571?uo=4
39,Themelia: Theme & Widget,Trending,WOOHOO LIMITED,Graphics & Design,3.6,5,2023-10-04,Free,themelia,screen,themes,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,themelia theme,themes wallpaperthemes,daily themes,themelia,wallpaperthemes,100,100,100,90,90,https://apps.apple.com/rw/app/themelia-theme-widget/id6467189759?uo=4
40,Flo Period & Cycles Tracker,Trending,FLO HEALTH UK LIMITED,Health & Fitness,4.58033,1811,2020-04-10,Free,flo,health,cycle,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,healthcare doctors,cycle tracking,sleep cycle,cycle calculator,cherry cycle,100,100,100,100,100,https://apps.apple.com/rw/app/flo-period-cycles-tracker/id1038369065?uo=4
41,VidMate !,Trending,Le Manh Tien,Photo & Video,2.75,12,2022-08-24,Free,video,subscription,vid,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,stampcrop vid,smart video,video tools,video generator,vidcall,100,100,100,100,90,https://apps.apple.com/rw/app/vidmate/id1640960419?uo=4
