Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,手机克隆-换机助手&安云手机换机,Trending,泉东 葛,Utilities,0.0,0,2024-07-28,Free,换新手机,照片,视频,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,road fun,video creator,snake rise,restore old,rise run,75.0,75.0,75.0,75.0,75.0,https://apps.apple.com/sc/app/%E6%89%8B%E6%9C%BA%E5%85%8B%E9%9A%86-%E6%8D%A2%E6%9C%BA%E5%8A%A9%E6%89%8B-%E5%AE%89%E4%BA%91%E6%89%8B%E6%9C%BA%E6%8D%A2%E6%9C%BA/id6560117810?uo=4
2,ChatGPT,Trending,OpenAI,Productivity,4.80976,410,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt,assistant evo,instant chatbot,chat chai,chat 40,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/sc/app/chatgpt/id6448311069?uo=4
3,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.35714,14,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,shows,apple podcasts,dstv stream,shazam find,find music,90.0,75.0,75.0,75.0,75.0,https://apps.apple.com/sc/app/moviebox-movies-tv-shows/id6746160403?uo=4
4,Threads,Trending,"Instagram, Inc.",Social Networking,4.6125,80,2023-07-05,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,unicorn https,instagrambeat,instagram,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/sc/app/threads/id6446901002?uo=4
5,AliExpress Shopping App,Trending,Alibaba,Shopping,4.57704,331,2012-06-01,Free,aliexpress,shopping,items,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,aliexpress seller,aliexpress shopping,shopping app,sheinshopping online,shopping made,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sc/app/aliexpress-shopping-app/id436672029?uo=4
6,Google Maps,Trending,Google,Navigation,4.6756,373,2013-07-17,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,offline maps,maps gps,maps,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/sc/app/google-maps/id585027354?uo=4
7,Google - More ways to search,Trending,Google,Utilities,4.58209,201,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google drive,google chrome,camera remote,vintage camera,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sc/app/google-more-ways-to-search/id284815942?uo=4
8,Google Chrome,Trending,Google,Utilities,4.62275,167,2012-06-28,Free,chrome,google,search,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google chrome,chrome valley,google maps,google drive,chrome,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/sc/app/google-chrome/id535886823?uo=4
9,SPTC,Trending,EM-TECHNOLOGY PTE. LTD,Navigation,2.0,6,2021-09-04,Free,bus,sptc,travel,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,bus simulator,bus out,bus escape,sptc smart,travel deals,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sc/app/sptc/id1524913069?uo=4
10,SeyID Seychelles,Trending,Seychelles,Productivity,2.5,2,2022-11-09,Free,seyid,seychelles,digital,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,seyid alsadr,seyid seychelles,digital widgets,seyid,digital,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/sc/app/seyid-seychelles/id6444177999?uo=4
