Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,ChatGPT,Trending,OpenAI,Productivity,4.84921,23623,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,chatgpt robot,vector chatgpt,latest deals,compare latest,chatgpt,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/sk/app/chatgpt/id6448311069?uo=4
2,TasteTown,Trending,TasteTown,Food & Drink,4.87596,129,2024-09-03,Free,tastetown,discover,exclusive,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,discover fashion,tastetown,discover,allexclusive,and podcasts,100.0,90.0,90.0,90.0,75.0,https://apps.apple.com/sk/app/tastetown/id6504561628?uo=4
3,Temu: Shop Like a Billionaire,Trending,Temu,Shopping,4.81564,5983,2022-08-31,Free,temu,com,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,https,1111 faster,network debug,vpnlat unlimited,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/sk/app/temu-shop-like-a-billionaire/id1641486558?uo=4
4,Weather & Radar - Pollen info,Trending,WetterOnline - Meteorologische Dienstleistungen GmbH,Weather,4.69161,34570,2012-08-01,Free,weather,radar,weather radar,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,weather forecast,accuweather weather,radar live,weather radar,accuweather,100.0,100.0,100.0,100.0,90.0,https://apps.apple.com/sk/app/weather-radar-pollen-info/id545993260?uo=4
5,SHEIN-Shopping Online,Trending,ROADGET BUSINESS PTE. LTD.,Shopping,4.74225,2871,2014-05-20,Free,shein,shopping,device,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,device tracker,lost device,device,player games,wunderfind find,100.0,100.0,90.0,75.0,75.0,https://apps.apple.com/sk/app/shein-shopping-online/id878577184?uo=4
6,Allegro,Trending,Allegro Sp. z o.o.,Shopping,4.81508,5489,2009-03-07,Free,allegro,pay,purchases,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,allegro lokalnie,allegro,porovnva cien,srovnva cen,heurekacz,100.0,90.0,75.0,75.0,65.0,https://apps.apple.com/sk/app/allegro/id305659772?uo=4
7,Revolut - Mobile Finance,Trending,Revolut Ltd,Finance,4.88192,23764,2015-03-01,Free,money,fees,revolut,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,invest money,money games,tycoon money,revolut business,revolut 18,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sk/app/revolut-mobile-finance/id932493382?uo=4
8,"Strava: Run, Bike, Walk",Trending,"Strava, Inc.",Health & Fitness,4.68824,1947,2011-03-24,Free,strava,subscription,data,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,data manager,data,google sheets,microsoft excel,smart transfer,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/sk/app/strava-run-bike-walk/id426826309?uo=4
9,Threads,Trending,"Instagram, Inc.",Social Networking,4.65636,2491,2023-12-14,Free,instagram,threads,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for instagrambeat,for instagram,unicorn https,instagrambeat,instagram,100.0,100.0,100.0,90.0,90.0,https://apps.apple.com/sk/app/threads/id6446901002?uo=4
10,Bolt: Request a Ride,Trending,BOLT TECHNOLOGY OU,Travel,4.85212,29718,2013-07-24,Free,bolt,ride,https,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,unicorn https,https,1111 faster,network debug,vpnlat unlimited,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/sk/app/bolt-request-a-ride/id675033630?uo=4
11,Google Maps,Trending,Google,Navigation,4.70261,26854,2012-12-13,Free,maps,real,explore,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,mapsme offline,mapycom maps,offline maps,maps gps,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sk/app/google-maps/id585027354?uo=4
12,Google - More ways to search,Trending,Google,Utilities,4.62122,10370,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,job search,fotorus camera,vintage camera,camera studio,camera remote,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sk/app/google-more-ways-to-search/id284815942?uo=4
