Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,MovieBox – Movie & TV Shows,New Discovery,Sanchi Shukla,Entertainment,4.62069,203,2025-06-10,Free,moviebox,membership,series,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,audio series,series shows,web series,series,hbox movies,100,100,100,90,75,https://apps.apple.com/sl/app/moviebox-movie-tv-shows/id6746546850?uo=4
2,Orange Max it - Sierra Leone,Trending,Orange Sierra Leone,Productivity,3.54945,91,2022-10-26,Free,orange,max,sierra,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,orange money,orange max,sierra leone,fire max,bank sierra,100,100,100,100,100,https://apps.apple.com/sl/app/orange-max-it-sierra-leone/id6443607903?uo=4
3,MovieBox : Movies & TV Shows,New Discovery,Janki Akabari,Entertainment,4.61942,515,2025-05-24,Free,tv,movies,shows,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,movies box,movies,shows,prime video,dstv stream,100,90,90,75,75,https://apps.apple.com/sl/app/moviebox-movies-tv-shows/id6746160403?uo=4
4,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.58833,1834,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,capitalcom trading,alibabacom b2b,bookingcom travel,videos music,100,100,100,100,100,https://apps.apple.com/sl/app/capcut-photo-video-editor/id1500855883?uo=4
5,1xBet.sl: Sports Betting,New Discovery,GLOBAL ONLINE BETTING (SL) LIMITED,Sports,3.83333,6,2025-06-17,Free,sports,1xbet,bet,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sports fc,sports scores,live sports,betting tips,betway sports,100,100,100,100,100,https://apps.apple.com/sl/app/1xbet-sl-sports-betting/id6744679374?uo=4
6,WhatsApp Messenger,Trending,WhatsApp Inc.,Social Networking,4.3976,17920,2012-06-13,Free,whatsapp,calls,share,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp messenger,whatsapp business,voice calls,100,100,100,100,100,https://apps.apple.com/sl/app/whatsapp-messenger/id310633997?uo=4
7,"TikTok - Videos, Music & LIVE",Trending,TikTok Ltd.,Entertainment,4.77493,13947,2014-04-02,Free,videos,tiktok,music,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,videos music,savetiktok video,tiktok studio,save tiktok,tiktok videos,100,100,100,100,100,https://apps.apple.com/sl/app/tiktok-videos-music-live/id835599320?uo=4
8,NetShort - Popular Dramas & TV,Trending,NETSTORY PTE. LTD.,Entertainment,4.19298,57,2024-07-13,Free,netshort,agreement,subscription,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,netshort,drama shorts,soapbox drama,reels short,popular dramas,90,75,75,75,75,https://apps.apple.com/sl/app/netshort-popular-dramas-tv/id6504849169?uo=4
9,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.40455,9052,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp messenger,whatsapp business,build and,100,100,100,100,100,https://apps.apple.com/sl/app/whatsapp-business/id1386412985?uo=4
10,ChatGPT,Trending,OpenAI,Productivity,4.73217,3323,2023-05-30,Free,chatgpt,openai,latest,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,latest status,quotes latest,web latest,latest version,chatgpt,100,100,100,100,90,https://apps.apple.com/sl/app/chatgpt/id6448311069?uo=4
