Rank,AppName,Status,Developer,Category,Rating,RatingCount,ReleaseDate,Price,Keyword 1,Keyword 2,Keyword 3,Keyword 1 Competitive,Keyword 1 Opportunity_Score,Keyword 1 Popularity,Keyword 1 Quality,Keyword 1 Top_10_Chance,Keyword 1 Volume,Keyword 2 Competitive,Keyword 2 Opportunity_Score,Keyword 2 Popularity,Keyword 2 Quality,Keyword 2 Top_10_Chance,Keyword 2 Volume,Keyword 3 Competitive,Keyword 3 Opportunity_Score,Keyword 3 Popularity,Keyword 3 Quality,Keyword 3 Top_10_Chance,Keyword 3 Volume,Suggestion 1,Suggestion 2,Suggestion 3,Suggestion 4,Suggestion 5,Suggestion 1 Score,Suggestion 2 Score,Suggestion 3 Score,Suggestion 4 Score,Suggestion 5 Score,AppStoreLink
1,Mico - Widget & Wallpaper,Trending,Unbing International Limited,Graphics & Design,4.65646,1339,2022-09-15,Free,screen,widgets,widget,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,lock screen,apowermirror screen,screen mirroring,top widgets,poug widgetschargewallpaper,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sn/app/mico-widget-wallpaper/id1640653011?uo=4
2,NGL: ask me anything,Trending,DeepMoji,Lifestyle,4.41892,21789,2021-12-10,Free,ngl,link,pro,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,anything ngl,ngl ask,tplink tether,pro quran,muslim pro,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sn/app/ngl-ask-me-anything/id1596550932?uo=4
3,TraceDream,New Discovery,Hanh Thi Dao,Utilities,3.5,2,2025-06-11,Free,dream,dreams,tracedream,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,dream league,dream,league 2024,league soccer,mobile football,100.0,90.0,75.0,75.0,75.0,https://apps.apple.com/sn/app/tracedream/id6747133572?uo=4
4,1xBet Senegal Sports Betting,New Discovery,SERVICE ONLINE INTERNATIONAL,Sports,3.65882,170,2025-05-18,Free,sports,betting,bet,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,sports betting,sports fc,betting tips,betting senegal,football betting,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sn/app/1xbet-senegal-sports-betting/id6743954331?uo=4
5,Deleted Message & Backup,Trending,Gizem Yildirim,Social Networking,4.39382,744,2024-01-31,Free,deleted,message,messages,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,deleted messages,deleted message,deleted photos,recover deleted,birthday messages,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sn/app/deleted-message-backup/id6476809450?uo=4
6,Radio Senegal,Trending,WALABOK LLC,Music,3.69231,13,2019-02-01,Free,de,radio,nous,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,xender file,radio live,senegal radio,radio app,chez nous,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sn/app/radio-senegal/id1450181712?uo=4
7,"Yango: taxi, food, delivery",Trending,YHub ZAF (Pty) Ltd,Travel,4.72238,75131,2018-10-04,Free,yango,ride,service,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,yango lite,yango pro,yango maps,lite yango,yango deli,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sn/app/yango-taxi-food-delivery/id1437157286?uo=4
8,CapCut - Photo & Video Editor,Trending,Bytedance Pte. Ltd,Photo & Video,4.50947,12935,2020-04-14,Free,capcut,com,video,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,video editor,videos music,capcut,video,videos,100.0,100.0,90.0,90.0,90.0,https://apps.apple.com/sn/app/capcut-photo-video-editor/id1500855883?uo=4
9,Google - More ways to search,Trending,Google,Utilities,4.4264,12350,2019-02-12,Free,google,search,camera,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,google maps,google chrome,google drive,google photos,job search,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sn/app/google-more-ways-to-search/id284815942?uo=4
10,WhatsApp Business,Trending,WhatsApp Inc.,Business,4.41038,56911,2019-04-10,Free,whatsapp,business,build,100,37,70,70,14,60,100,37,70,70,14,60,100,37,70,70,14,60,for whatsapp,whatsapp app,whatsapp business,whatsapp messenger,wave business,100.0,100.0,100.0,100.0,100.0,https://apps.apple.com/sn/app/whatsapp-business/id1386412985?uo=4
